timestamp_us;ecg_value
0;-0.14500
2777777;-0.14500
5555554;-0.14500
8333331;-0.14500
11111108;-0.14500
13888885;-0.14500
16666662;-0.14500
19444439;-0.14500
22222216;-0.12000
24999993;-0.13500
27777770;-0.14500
30555547;-0.15000
33333324;-0.16000
36111101;-0.15500
38888878;-0.16000
41666655;-0.17500
44444432;-0.18000
47222209;-0.18500
49999986;-0.17000
52777763;-0.15500
55555540;-0.17500
58333317;-0.18000
61111094;-0.19000
63888871;-0.18000
66666648;-0.15500
69444425;-0.13500
72222202;-0.15500
74999979;-0.19000
77777756;-0.20500
80555533;-0.23500
83333310;-0.22500
86111087;-0.24500
88888864;-0.25000
91666641;-0.26000
94444418;-0.27500
97222195;-0.27500
99999972;-0.27500
102777749;-0.26500
105555526;-0.25500
108333303;-0.26500
111111080;-0.27500
113888857;-0.29000
116666634;-0.29000
119444411;-0.29000
122222188;-0.29000
124999965;-0.28500
127777742;-0.29500
130555519;-0.30500
133333296;-0.28500
136111073;-0.27500
138888850;-0.27500
141666627;-0.28000
144444404;-0.28500
147222181;-0.30500
149999958;-0.29000
152777735;-0.30000
155555512;-0.28000
158333289;-0.29000
161111066;-0.30000
163888843;-0.31500
166666620;-0.32000
169444397;-0.33500
172222174;-0.36000
174999951;-0.38500
177777728;-0.38500
180555505;-0.40500
183333282;-0.45500
186111059;-0.48500
188888836;-0.48500
191666613;-0.42500
194444390;-0.33000
197222167;-0.22000
199999944;-0.07000
202777721;0.12000
205555498;0.37500
208333275;0.62000
211111052;0.78000
213888829;0.84000
216666606;0.76500
219444383;0.52000
222222160;0.17000
224999937;-0.16500
227777714;-0.36500
230555491;-0.43500
233333268;-0.42500
236111045;-0.37000
238888822;-0.33000
241666599;-0.32500
244444376;-0.33500
247222153;-0.34500
249999930;-0.33000
252777707;-0.32500
255555484;-0.31500
258333261;-0.31000
261111038;-0.32000
263888815;-0.33500
266666592;-0.34000
269444369;-0.32500
272222146;-0.34500
274999923;-0.33500
277777700;-0.33000
280555477;-0.33500
283333254;-0.33000
286111031;-0.32500
288888808;-0.33000
291666585;-0.33000
294444362;-0.34500
297222139;-0.35500
299999916;-0.33500
302777693;-0.32500
305555470;-0.30500
308333247;-0.32000
311111024;-0.32000
313888801;-0.33000
316666578;-0.34000
319444355;-0.33500
322222132;-0.34000
324999909;-0.34500
327777686;-0.35500
330555463;-0.35500
333333240;-0.34000
336111017;-0.33000
338888794;-0.33000
341666571;-0.33000
344444348;-0.34000
347222125;-0.35000
