ts,MLII,V5
0,-0.145,-0.065
2777777,-0.145,-0.065
5555554,-0.145,-0.065
8333331,-0.145,-0.065
11111108,-0.145,-0.065
13888885,-0.145,-0.065
16666662,-0.145,-0.065
19444439,-0.145,-0.065
22222216,-0.12,-0.08
24999993,-0.135,-0.08
27777770,-0.145,-0.085
30555547,-0.15,-0.085
33333324,-0.16,-0.075
36111101,-0.155,-0.07
38888878,-0.16,-0.07
41666655,-0.175,-0.065
44444432,-0.18,-0.055
47222209,-0.185,-0.05
49999986,-0.17,-0.05
52777763,-0.155,-0.04
55555540,-0.175,-0.04
58333317,-0.18,-0.055
61111094,-0.19,-0.075
63888871,-0.18,-0.08
66666648,-0.155,-0.085
69444425,-0.135,-0.07
72222202,-0.155,-0.08
74999979,-0.19,-0.08
77777756,-0.205,-0.09
80555533,-0.235,-0.095
83333310,-0.225,-0.09
86111087,-0.245,-0.095
88888864,-0.25,-0.11
91666641,-0.26,-0.12
94444418,-0.275,-0.145
97222195,-0.275,-0.135
99999972,-0.275,-0.105
102777749,-0.265,-0.095
105555526,-0.255,-0.105
108333303,-0.265,-0.12
111111080,-0.275,-0.135
113888857,-0.29,-0.125
116666634,-0.29,-0.125
119444411,-0.29,-0.115
122222188,-0.29,-0.115
124999965,-0.285,-0.125
127777742,-0.295,-0.14
130555519,-0.305,-0.14
133333296,-0.285,-0.13
136111073,-0.275,-0.125
138888850,-0.275,-0.14
141666627,-0.28,-0.145
144444404,-0.285,-0.15
147222181,-0.305,-0.15
149999958,-0.29,-0.13
152777735,-0.3,-0.115
155555512,-0.28,-0.125
158333289,-0.29,-0.135
161111066,-0.3,-0.16
163888843,-0.315,-0.195
166666620,-0.32,-0.2
169444397,-0.335,-0.205
172222174,-0.36,-0.225
174999951,-0.385,-0.255
177777728,-0.385,-0.3
180555505,-0.405,-0.29
183333282,-0.455,-0.235
186111059,-0.485,-0.13
188888836,-0.485,-0.035
191666613,-0.425,0.05
194444390,-0.33,0.12
197222167,-0.22,0.2
199999944,-0.07,0.31
202777721,0.12,0.435
205555498,0.375,0.535
208333275,0.62,0.58
211111052,0.78,0.475
213888829,0.84,0.21
216666606,0.765,-0.085
219444383,0.52,-0.23
222222160,0.17,-0.25
224999937,-0.165,-0.215
227777714,-0.365,-0.18
230555491,-0.435,-0.185
233333268,-0.425,-0.16
236111045,-0.37,-0.15
238888822,-0.33,-0.15
241666599,-0.325,-0.18
244444376,-0.335,-0.18
247222153,-0.345,-0.16
249999930,-0.33,-0.165
252777707,-0.325,-0.17
255555484,-0.315,-0.165
258333261,-0.31,-0.185
261111038,-0.32,-0.185
263888815,-0.335,-0.185
266666592,-0.34,-0.17
269444369,-0.325,-0.16
272222146,-0.345,-0.155
274999923,-0.335,-0.175
277777700,-0.33,-0.195
280555477,-0.335,-0.185
283333254,-0.33,-0.185
286111031,-0.325,-0.175
288888808,-0.33,-0.175
291666585,-0.33,-0.195
294444362,-0.345,-0.19
297222139,-0.355,-0.18
299999916,-0.335,-0.165
302777693,-0.325,-0.17
305555470,-0.305,-0.17
308333247,-0.32,-0.17
