time,time_delta_seconds,room_temp
2024-11-20 00:00:00+00:00,0.0,23.8
2024-11-20 00:01:00+00:00,60.0,23.8
2024-11-20 00:02:00+00:00,120.0,23.8
2024-11-20 00:03:00+00:00,180.0,23.8
2024-11-20 00:04:00+00:00,240.0,23.7
2024-11-20 00:05:00+00:00,300.0,23.8
2024-11-20 00:06:00+00:00,360.0,23.8
2024-11-20 00:07:00+00:00,420.0,23.8
2024-11-20 00:08:00+00:00,480.0,23.9
2024-11-20 00:09:00+00:00,540.0,23.8
2024-11-20 00:10:00+00:00,600.0,23.9
2024-11-20 00:11:00+00:00,660.0,23.9
2024-11-20 00:12:00+00:00,720.0,23.9
2024-11-20 00:13:00+00:00,780.0,23.8
2024-11-20 00:14:00+00:00,840.0,23.8
2024-11-20 00:15:00+00:00,900.0,23.9
2024-11-20 00:16:00+00:00,960.0,23.8
2024-11-20 00:17:00+00:00,1020.0,23.7
2024-11-20 00:18:00+00:00,1080.0,23.9
2024-11-20 00:19:00+00:00,1140.0,23.8
2024-11-20 00:20:00+00:00,1200.0,23.9
2024-11-20 00:21:00+00:00,1260.0,23.9
2024-11-20 00:22:00+00:00,1320.0,23.8
2024-11-20 00:24:00+00:00,1440.0,23.9
2024-11-20 00:25:00+00:00,1500.0,23.9
2024-11-20 00:26:00+00:00,1560.0,23.9
2024-11-20 00:27:00+00:00,1620.0,23.8
2024-11-20 00:28:00+00:00,1680.0,23.8
2024-11-20 00:29:00+00:00,1740.0,23.8
2024-11-20 00:30:00+00:00,1800.0,23.8
2024-11-20 00:31:00+00:00,1860.0,23.8
2024-11-20 00:32:00+00:00,1920.0,23.8
2024-11-20 00:33:00+00:00,1980.0,23.8
2024-11-20 00:35:00+00:00,2100.0,23.9
2024-11-20 00:36:00+00:00,2160.0,23.8
2024-11-20 00:37:00+00:00,2220.0,23.8
2024-11-20 00:38:00+00:00,2280.0,23.8
2024-11-20 00:39:00+00:00,2340.0,23.8
2024-11-20 00:40:00+00:00,2400.0,23.8
2024-11-20 00:41:00+00:00,2460.0,23.9
2024-11-20 00:42:00+00:00,2520.0,23.8
2024-11-20 00:43:00+00:00,2580.0,23.8
2024-11-20 00:44:00+00:00,2640.0,23.8
2024-11-20 00:45:00+00:00,2700.0,23.7
2024-11-20 00:46:00+00:00,2760.0,23.8
2024-11-20 00:47:00+00:00,2820.0,23.8
2024-11-20 00:48:00+00:00,2880.0,23.8
2024-11-20 00:50:00+00:00,3000.0,23.8
2024-11-20 00:51:00+00:00,3060.0,23.8
2024-11-20 00:52:00+00:00,3120.0,23.8
2024-11-20 00:53:00+00:00,3180.0,23.8
2024-11-20 00:54:00+00:00,3240.0,23.8
2024-11-20 00:55:00+00:00,3300.0,23.8
2024-11-20 00:56:00+00:00,3360.0,23.8
2024-11-20 00:57:00+00:00,3420.0,23.7
2024-11-20 00:58:00+00:00,3480.0,23.7
2024-11-20 00:59:00+00:00,3540.0,23.8
2024-11-20 01:00:00+00:00,3600.0,23.8
2024-11-20 01:01:00+00:00,3660.0,23.8
2024-11-20 01:02:00+00:00,3720.0,23.8
2024-11-20 01:03:00+00:00,3780.0,23.8
2024-11-20 01:04:00+00:00,3840.0,23.8
2024-11-20 01:05:00+00:00,3900.0,23.8
2024-11-20 01:06:00+00:00,3960.0,23.7
2024-11-20 01:07:00+00:00,4020.0,23.8
2024-11-20 01:08:00+00:00,4080.0,23.9
2024-11-20 01:09:00+00:00,4140.0,23.8
2024-11-20 01:10:00+00:00,4200.0,23.8
2024-11-20 01:11:00+00:00,4260.0,23.7
2024-11-20 01:12:00+00:00,4320.0,23.6
2024-11-20 01:13:00+00:00,4380.0,23.7
2024-11-20 01:14:00+00:00,4440.0,23.8
2024-11-20 01:15:00+00:00,4500.0,23.8
2024-11-20 01:16:00+00:00,4560.0,23.7
2024-11-20 01:18:00+00:00,4680.0,23.7
2024-11-20 01:19:00+00:00,4740.0,23.7
2024-11-20 01:20:00+00:00,4800.0,23.8
2024-11-20 01:21:00+00:00,4860.0,23.6
