id;time_seconds;temperature
288;0;57.39197
289;300;57.69636
290;600;57.98726
291;900;58.04112
292;1200;57.78585
293;1500;57.58252
294;1800;57.32829
295;2100;57.22251
296;2400;57.08161
297;2700;56.96070
298;3000;57.05536
299;3300;57.20339
300;3600;57.27937
301;3900;57.22824
302;4200;57.28328
303;4500;57.38901
304;4800;57.49044
305;5100;57.67041
306;5400;57.87377
307;5700;58.07637
308;6000;58.28960
309;6300;58.59599
310;6600;58.75108
311;6900;58.91517
312;7200;58.98355
313;7500;59.05433
314;7800;59.08252
315;8100;59.11163
316;8400;59.11275
317;8700;58.95893
318;9000;58.88255
319;9300;58.93067
320;9600;58.98373
321;9900;59.04387
322;10200;59.07743
323;10500;59.10507
324;10800;59.11221
325;11100;58.89747
326;11400;58.52573
327;11700;58.27230
328;12000;58.06602
329;12300;58.13958
330;12600;58.28321
331;12900;58.23608
332;13200;57.89325
333;13500;57.66010
334;13800;57.37254
335;14100;57.25724
336;14400;58.53373
337;14700;59.00728
338;15000;59.28427
339;15300;59.41399
340;15600;59.55025
341;15900;59.61342
342;16200;59.67027
343;16500;59.70001
344;16800;59.77371
345;17100;59.92518
346;17400;60.05889
347;17700;60.17305
348;18000;60.31018
349;18300;60.61699
350;18600;60.82098
351;18900;60.93572
352;19200;60.95580
353;19500;60.96794
354;19800;60.97094
355;20100;60.97349
356;20400;60.97437
357;20700;60.97523
358;21000;60.97556
359;21300;60.97588
360;21600;60.97602
361;21900;60.97616
362;22200;60.97616
363;22500;60.97616
364;22800;60.97616
365;23100;60.97616
366;23400;60.97616
367;23700;60.97616
368;24000;60.94321
369;24300;60.81843
370;24600;60.65129
371;24900;60.56971
372;25200;60.48265
373;25500;60.49279
374;25800;60.76024
375;26100;60.88297
376;26400;60.68977
377;26700;60.48083
378;27000;60.19785
379;27300;60.07528
380;27600;60.08549
381;27900;60.14879
382;28200;60.22575
383;28500;60.27033
384;28800;60.23259
385;29100;60.11192
386;29400;60.00835
387;29700;60.01947
388;30000;60.10244
389;30300;60.19757
390;30600;60.24597
391;30900;60.25085
392;31200;60.16229
393;31500;60.01589
394;31800;59.94545
395;32100;59.86887
396;32400;59.83902
397;32700;59.80549
398;33000;59.79264
399;33300;59.78629
400;33600;59.83888
401;33900;60.00594
402;34200;60.10990
403;34500;60.20339
404;34800;60.25599
405;35100;60.29424
406;35400;60.31272
407;35700;60.21889
408;36000;60.07646
409;36300;59.98657
410;36600;59.89321
411;36900;59.85063
412;37200;59.81272
413;37500;59.79747
414;37800;59.76485
415;38100;59.66955
416;38400;59.48668
417;38700;59.40268
418;39000;59.30209
419;39300;59.26017
420;39600;59.21776
421;39900;59.19911
422;40200;59.18218
423;40500;59.17394
424;40800;59.16715
425;41100;59.16355
426;41400;59.16097
427;41700;59.15834
428;42000;59.07305
429;42300;58.92084
430;42600;58.81830
431;42900;58.72332
432;43200;58.67791
433;43500;58.63280
434;43800;58.61155
