timestamp_ms;ecg_value
0.000;-0.14500
2.778;-0.14500
5.556;-0.14500
8.333;-0.14500
11.111;-0.14500
13.889;-0.14500
16.667;-0.14500
19.444;-0.14500
22.222;-0.12000
25.000;-0.13500
27.778;-0.14500
30.556;-0.15000
33.333;-0.16000
36.111;-0.15500
38.889;-0.16000
41.667;-0.17500
44.444;-0.18000
47.222;-0.18500
50.000;-0.17000
52.778;-0.15500
55.556;-0.17500
58.333;-0.18000
61.111;-0.19000
63.889;-0.18000
66.667;-0.15500
69.444;-0.13500
72.222;-0.15500
75.000;-0.19000
77.778;-0.20500
80.556;-0.23500
83.333;-0.22500
86.111;-0.24500
88.889;-0.25000
91.667;-0.26000
94.444;-0.27500
97.222;-0.27500
100.000;-0.27500
102.778;-0.26500
105.556;-0.25500
108.333;-0.26500
111.111;-0.27500
113.889;-0.29000
116.667;-0.29000
119.444;-0.29000
122.222;-0.29000
125.000;-0.28500
127.778;-0.29500
130.556;-0.30500
133.333;-0.28500
136.111;-0.27500
138.889;-0.27500
141.667;-0.28000
144.444;-0.28500
147.222;-0.30500
150.000;-0.29000
152.778;-0.30000
155.556;-0.28000
158.333;-0.29000
161.111;-0.30000
163.889;-0.31500
166.667;-0.32000
169.444;-0.33500
172.222;-0.36000
175.000;-0.38500
177.778;-0.38500
180.556;-0.40500
183.333;-0.45500
186.111;-0.48500
188.889;-0.48500
191.667;-0.42500
194.444;-0.33000
197.222;-0.22000
200.000;-0.07000
202.778;0.12000
205.555;0.37500
208.333;0.62000
211.111;0.78000
213.889;0.84000
216.667;0.76500
219.444;0.52000
222.222;0.17000
225.000;-0.16500
227.778;-0.36500
230.555;-0.43500
233.333;-0.42500
236.111;-0.37000
238.889;-0.33000
241.667;-0.32500
244.444;-0.33500
247.222;-0.34500
250.000;-0.33000
252.778;-0.32500
255.555;-0.31500
258.333;-0.31000
261.111;-0.32000
263.889;-0.33500
266.667;-0.34000
269.444;-0.32500
272.222;-0.34500
275.000;-0.33500
277.778;-0.33000
280.555;-0.33500
283.333;-0.33000
286.111;-0.32500
288.889;-0.33000
291.667;-0.33000
294.444;-0.34500
297.222;-0.35500
300.000;-0.33500
302.778;-0.32500
305.555;-0.30500
308.333;-0.32000
311.111;-0.32000
313.889;-0.33000
