time_seconds;temperature
0;21.78000
300;21.61000
600;21.75000
900;21.68000
1200;21.85000
1500;21.80000
1800;21.68000
2100;21.78000
2400;21.73000
2700;21.63000
3000;21.73000
3300;21.75000
3600;21.71000
3900;21.68000
4200;21.68000
4500;21.66000
4800;21.73000
5100;21.56000
5400;21.68000
5700;21.63000
6000;21.75000
6300;21.71000
6600;21.73000
6900;21.71000
7200;21.78000
7500;21.71000
7800;21.66000
8100;21.56000
8400;21.51000
8700;21.73000
9000;21.68000
9300;21.59000
9600;21.85000
9900;21.78000
10200;21.68000
10500;21.71000
10800;21.73000
11100;21.75000
11400;21.75000
11700;21.71000
12000;21.61000
12300;21.73000
12600;21.66000
12900;21.51000
13200;21.71000
13500;21.61000
13800;21.68000
14100;21.63000
14400;21.63000
14700;21.66000
15000;21.66000
15300;21.71000
15600;21.66000
15900;21.68000
16200;21.63000
16500;21.61000
16800;21.61000
17100;21.51000
17400;21.63000
17700;21.61000
18000;21.71000
18300;21.61000
18600;21.51000
18900;22.44000
19200;21.66000
19500;21.68000
19800;21.71000
20100;21.71000
20400;21.61000
20700;21.61000
21000;21.63000
21300;21.56000
21600;21.47000
21900;21.56000
22200;21.59000
22500;21.61000
22800;21.63000
23100;21.71000
23400;21.71000
23700;21.63000
24000;21.61000
24300;21.71000
24600;21.59000
24900;21.73000
25200;21.51000
25500;21.63000
25800;21.63000
26100;21.73000
26400;21.68000
26700;21.83000
27000;21.68000
27300;21.73000
27600;21.61000
27900;21.73000
28200;21.71000
28500;21.63000
28800;21.71000
29100;21.85000
29400;21.73000
29700;21.78000
30000;21.78000
30300;21.51000
30600;21.75000
30900;21.66000
31200;21.80000
31500;21.73000
31800;21.71000
32100;21.73000
32400;21.75000
32700;21.87000
33000;21.75000
33300;21.75000
33600;21.73000
33900;21.73000
34200;21.78000
34500;21.75000
34800;21.73000
35100;21.73000
35400;21.63000
35700;21.78000
36000;21.71000
36300;21.75000
36600;21.83000
36900;21.68000
37200;21.80000
37500;21.78000
37800;21.92000
38100;21.78000
38400;21.80000
38700;21.80000
39000;21.80000
39300;21.75000
39600;21.92000
39900;21.90000
40200;21.83000
40500;21.95000
40800;21.95000
41100;21.95000
41400;21.85000
41700;21.85000
42000;24.17000
42300;21.83000
42600;21.92000
42900;21.83000
43200;21.97000
43500;21.80000
43800;21.85000
44100;21.87000
44400;21.95000
44700;22.29000
45000;22.08000
45300;22.04000
45600;21.97000
45900;21.99000
46200;21.95000
46500;21.87000
46800;21.90000
47100;21.95000
47400;21.92000
47700;21.75000
48000;21.83000
48300;21.85000
48600;21.75000
48900;21.63000
49200;21.85000
49500;21.73000
49800;21.71000
50100;21.73000
50400;21.75000
50700;21.99000
51000;21.78000
51300;22.08000
51600;22.33000
51900;22.13000
52200;21.99000
52500;21.28000
52800;21.32000
53100;21.54000
53400;21.73000
53700;21.73000
54000;21.78000
54300;21.68000
54600;22.10000
54900;21.75000
55200;21.78000
55500;21.92000
55800;22.22000
56100;22.04000
56400;21.97000
56700;22.04000
57000;22.08000
57300;22.06000
57600;22.17000
57900;22.19000
58200;22.19000
58500;21.85000
58800;21.51000
59100;21.61000
59400;21.49000
59700;21.85000
60000;21.95000
60300;21.92000
60600;22.15000
60900;22.04000
61200;21.80000
61500;21.83000
61800;21.63000
62100;21.51000
62400;21.44000
62700;21.75000
63000;21.56000
63300;21.49000
63600;21.49000
63900;21.59000
64200;21.44000
64500;21.39000
64800;21.44000
65100;21.44000
65400;21.49000
65700;21.51000
66000;21.49000
66300;21.44000
66600;21.42000
66900;21.37000
67200;21.49000
67500;21.54000
67800;21.44000
68100;21.47000
68400;21.47000
68700;21.35000
69000;21.37000
69300;21.37000
69600;21.37000
69900;21.51000
70200;21.28000
70500;21.47000
70800;21.35000
71100;21.47000
71400;21.51000
71700;21.61000
72000;21.85000
72300;21.87000
72600;21.80000
72900;21.80000
73200;21.85000
73500;21.87000
73800;21.78000
74100;21.73000
74400;21.61000
74700;21.39000
75000;21.39000
75300;21.59000
75600;21.54000
75900;21.51000
76200;21.47000
76500;21.54000
76800;21.44000
77100;21.42000
77400;21.32000
77700;21.42000
78000;21.56000
78300;21.44000
78600;21.42000
78900;21.32000
79200;21.47000
79500;21.49000
79800;21.37000
80100;21.49000
80400;21.32000
80700;21.37000
81000;21.47000
81300;21.35000
81600;21.37000
81900;21.54000
82200;21.37000
82500;21.39000
82800;21.35000
83100;21.37000
83400;21.35000
83700;21.47000
84000;21.39000
84300;21.21000
84600;21.35000
84900;21.39000
85200;21.21000
85500;21.37000
85800;21.25000
86100;21.35000
