time_seconds;temperature
0;22.01000
300;21.80000
600;21.97000
900;21.87000
1200;21.97000
1500;21.87000
1800;21.85000
2100;21.75000
2400;21.85000
2700;21.83000
3000;21.80000
3300;21.85000
3600;22.10000
3900;21.71000
4200;21.78000
4500;21.66000
4800;21.78000
5100;21.78000
5400;21.66000
5700;21.73000
6000;21.56000
6300;21.83000
6600;21.73000
6900;21.66000
7200;21.63000
7500;21.61000
7800;21.51000
8100;21.61000
8400;21.61000
8700;21.42000
9000;21.56000
9300;21.80000
9600;21.63000
9900;21.54000
10200;21.66000
10500;21.54000
10800;21.56000
11100;21.59000
11400;21.51000
11700;21.61000
12000;21.49000
12300;21.47000
12600;21.51000
12900;21.59000
13200;21.47000
13500;21.56000
13800;21.54000
14100;21.44000
14400;21.49000
14700;21.51000
15000;21.42000
15300;21.39000
15600;21.42000
15900;21.42000
16200;21.44000
16500;21.44000
16800;21.49000
17100;21.42000
17400;21.42000
17700;21.39000
18000;21.49000
18300;21.37000
18600;21.54000
18900;21.39000
19200;21.47000
19500;21.42000
19800;21.32000
20100;21.44000
20400;21.44000
20700;21.35000
21000;21.35000
21300;21.44000
21600;21.44000
21900;21.35000
22200;21.37000
22500;21.30000
22800;21.44000
23100;21.42000
23400;21.42000
23700;21.32000
24000;21.42000
24300;21.42000
24600;21.35000
24900;21.37000
25200;21.39000
25500;21.30000
25800;21.37000
26100;21.37000
26400;21.42000
26700;21.44000
27000;21.49000
27300;21.39000
27600;21.28000
27900;21.32000
28200;21.37000
28500;21.37000
28800;21.80000
29100;21.49000
29400;21.59000
29700;21.47000
30000;21.37000
30300;21.47000
30600;21.47000
30900;21.39000
31200;21.44000
31500;21.44000
31800;21.51000
32100;21.42000
32400;21.39000
32700;21.47000
33000;21.47000
33300;21.42000
33600;21.37000
33900;21.37000
34200;21.35000
34500;21.35000
34800;21.25000
35100;21.35000
35400;21.39000
35700;21.42000
36000;21.25000
36300;21.37000
36600;21.44000
36900;21.39000
37200;21.30000
37500;21.19000
37800;21.37000
38100;21.28000
38400;21.49000
38700;21.35000
39000;21.39000
39300;21.61000
39600;21.35000
39900;21.30000
40200;21.21000
40500;21.32000
40800;21.28000
41100;21.28000
41400;21.21000
41700;21.35000
42000;21.37000
42300;21.30000
42600;21.28000
42900;21.19000
43200;21.28000
43500;21.32000
43800;21.32000
44100;21.42000
44400;21.32000
44700;21.32000
45000;21.37000
45300;21.28000
45600;21.32000
45900;21.56000
46200;21.68000
46500;21.83000
46800;21.68000
47100;21.68000
47400;21.71000
47700;21.87000
48000;21.78000
48300;21.80000
48600;21.85000
48900;21.90000
49200;21.97000
49500;21.90000
49800;21.92000
50100;21.90000
50400;21.95000
50700;21.99000
51000;21.85000
51300;21.95000
51600;21.95000
51900;21.97000
52200;21.99000
52500;21.95000
52800;21.90000
53100;21.97000
53400;21.87000
53700;21.87000
54000;21.80000
54300;21.95000
54600;21.75000
54900;21.68000
55200;21.78000
55500;21.61000
55800;21.75000
56100;21.71000
56400;21.73000
56700;21.63000
57000;21.63000
57300;21.63000
57600;21.71000
57900;21.61000
58200;21.61000
58500;21.63000
58800;21.51000
59100;21.68000
59400;21.56000
59700;21.68000
60000;21.66000
60300;21.47000
60600;21.71000
60900;21.66000
61200;21.61000
61500;21.68000
61800;21.49000
62100;21.54000
62400;21.51000
62700;21.51000
63000;21.59000
63300;21.56000
63600;21.56000
63900;21.49000
64200;21.59000
64500;21.51000
64800;21.51000
65100;21.51000
65400;21.51000
65700;21.44000
66000;21.49000
66300;21.49000
66600;21.51000
66900;21.47000
67200;21.51000
67500;21.51000
67800;21.51000
68100;21.44000
68400;21.51000
68700;21.49000
69000;21.54000
69300;21.49000
69600;21.51000
69900;21.39000
70200;21.42000
70500;21.51000
70800;21.37000
71100;21.39000
71400;21.47000
71700;21.44000
72000;21.32000
72300;21.37000
72600;21.39000
72900;21.39000
73200;21.39000
73500;21.39000
73800;21.37000
74100;21.35000
74400;21.37000
74700;20.82000
75000;21.35000
75300;21.47000
75600;21.37000
75900;21.28000
76200;21.30000
76500;21.32000
76800;21.32000
77100;21.30000
77400;21.25000
77700;21.39000
78000;21.32000
78300;21.32000
78600;21.44000
78900;21.35000
79200;21.35000
79500;21.39000
79800;21.35000
80100;21.28000
80400;21.30000
80700;21.21000
81000;21.30000
81300;21.30000
81600;21.35000
81900;21.35000
82200;21.35000
82500;21.30000
82800;21.25000
83100;21.35000
83400;21.35000
83700;21.30000
84000;21.37000
84300;21.28000
84600;21.28000
84900;21.39000
85200;21.28000
85500;21.21000
85800;21.42000
86100;21.21000
