time_seconds;temperature
0;24.24000
300;24.08000
600;24.06000
900;24.17000
1200;24.08000
1500;24.15000
1800;24.01000
2100;24.13000
2400;23.98000
2700;24.01000
3000;23.91000
3300;24.06000
3600;24.06000
3900;23.96000
4200;23.94000
4500;23.94000
4800;23.96000
5100;23.80000
5400;23.98000
5700;23.73000
6000;23.80000
6300;23.82000
6600;23.84000
6900;23.77000
7200;23.84000
7500;23.68000
7800;23.70000
8100;23.80000
8400;23.70000
8700;23.70000
9000;23.70000
9300;23.80000
9600;23.73000
9900;23.73000
10200;23.73000
10500;23.70000
10800;23.63000
11100;23.52000
11400;23.63000
11700;23.48000
12000;23.61000
12300;23.63000
12600;23.63000
12900;23.54000
13200;23.66000
13500;23.52000
13800;23.57000
14100;23.48000
14400;23.43000
14700;23.70000
15000;23.54000
15300;23.54000
15600;23.54000
15900;23.45000
16200;23.45000
16500;23.45000
16800;23.38000
17100;23.48000
17400;23.41000
17700;23.43000
18000;23.34000
18300;23.50000
18600;23.38000
18900;23.54000
19200;23.52000
19500;23.27000
19800;23.43000
20100;23.50000
20400;23.50000
20700;23.45000
21000;23.38000
21300;23.38000
21600;23.38000
21900;23.43000
22200;23.25000
22500;23.38000
22800;23.41000
23100;23.29000
23400;23.32000
23700;23.34000
24000;23.34000
24300;23.38000
24600;23.27000
24900;23.29000
25200;23.27000
25500;23.32000
25800;23.25000
26100;23.25000
26400;23.36000
26700;23.32000
27000;23.32000
27300;23.48000
27600;23.25000
27900;23.34000
28200;23.34000
28500;23.43000
28800;23.32000
29100;23.25000
29400;23.34000
29700;23.38000
30000;23.36000
30300;23.34000
30600;23.23000
30900;23.38000
31200;23.34000
31500;23.25000
31800;23.27000
32100;23.25000
32400;23.36000
32700;23.32000
33000;23.32000
33300;23.34000
33600;23.38000
33900;23.32000
34200;23.32000
34500;23.32000
34800;23.36000
35100;23.25000
35400;23.41000
35700;23.32000
36000;23.36000
36300;23.29000
36600;23.43000
36900;23.43000
37200;23.43000
37500;23.32000
37800;23.38000
38100;23.23000
38400;23.41000
38700;23.41000
39000;23.36000
39300;23.41000
39600;23.27000
39900;23.36000
40200;23.36000
40500;23.36000
40800;23.34000
41100;23.52000
41400;23.38000
41700;23.50000
42000;23.34000
42300;23.36000
42600;23.41000
42900;23.45000
43200;23.50000
43500;23.34000
43800;23.27000
44100;23.38000
44400;23.41000
44700;23.41000
45000;23.41000
45300;23.38000
45600;23.38000
45900;23.54000
46200;23.43000
46500;23.52000
46800;23.48000
47100;23.50000
47400;23.52000
47700;23.38000
48000;23.50000
48300;23.50000
48600;23.48000
48900;23.54000
49200;23.45000
49500;23.54000
49800;23.38000
50100;23.57000
50400;23.57000
50700;23.43000
51000;23.57000
51300;23.52000
51600;23.66000
51900;23.52000
52200;23.57000
52500;23.45000
52800;23.54000
53100;23.61000
53400;23.52000
53700;23.54000
54000;23.54000
54300;23.54000
54600;23.61000
54900;23.52000
55200;23.75000
55500;23.75000
55800;23.75000
56100;23.82000
56400;23.84000
56700;23.84000
57000;24.01000
57300;24.06000
57600;24.03000
57900;24.10000
58200;24.20000
58500;24.36000
58800;24.24000
59100;24.34000
59400;24.32000
59700;24.41000
60000;24.47000
60300;24.47000
60600;24.52000
60900;24.61000
61200;24.61000
61500;24.63000
61800;24.77000
62100;24.81000
62400;24.91000
62700;24.97000
63000;25.04000
63300;25.04000
63600;25.23000
63900;25.14000
64200;25.21000
64500;25.21000
64800;25.28000
65100;25.39000
65400;25.51000
65700;25.63000
66000;25.53000
66300;25.46000
66600;25.56000
66900;25.67000
67200;25.63000
67500;25.67000
67800;25.56000
68100;25.82000
68400;25.82000
68700;25.79000
69000;25.86000
69300;25.86000
69600;26.00000
69900;25.98000
70200;26.08000
70500;25.96000
70800;25.82000
71100;25.89000
71400;26.00000
71700;25.93000
72000;25.96000
72300;25.96000
72600;26.05000
72900;25.84000
73200;25.79000
73500;25.89000
73800;25.77000
74100;25.79000
74400;25.72000
74700;25.67000
75000;25.60000
75300;25.70000
75600;25.67000
75900;25.67000
76200;25.49000
76500;25.44000
76800;25.49000
77100;25.39000
77400;25.46000
77700;25.25000
78000;25.30000
78300;25.30000
78600;25.21000
78900;25.28000
79200;25.11000
79500;25.09000
79800;25.07000
80100;25.02000
80400;24.97000
80700;24.97000
81000;24.86000
81300;24.91000
81600;24.81000
81900;24.84000
82200;24.72000
82500;24.70000
82800;24.84000
83100;24.70000
83400;24.72000
83700;24.66000
84000;24.61000
84300;24.63000
84600;24.56000
84900;24.47000
85200;24.63000
85500;24.56000
85800;24.47000
86100;24.43000
