time_seconds;temperature
0;23.94000
300;23.96000
600;23.94000
900;24.01000
1200;23.84000
1500;23.87000
1800;23.89000
2100;24.01000
2400;23.80000
2700;23.91000
3000;23.84000
3300;23.77000
3600;23.87000
3900;23.82000
4200;23.80000
4500;23.80000
4800;23.54000
5100;23.80000
5400;23.73000
5700;23.59000
6000;23.68000
6300;23.70000
6600;23.77000
6900;23.73000
7200;23.75000
7500;23.75000
7800;23.63000
8100;23.63000
8400;23.68000
8700;23.61000
9000;23.63000
9300;23.57000
9600;23.70000
9900;23.70000
10200;23.50000
10500;23.57000
10800;23.54000
11100;23.57000
11400;23.57000
11700;23.66000
12000;23.52000
12300;23.63000
12600;23.57000
12900;23.54000
13200;23.43000
13500;23.57000
13800;23.54000
14100;23.48000
14400;23.48000
14700;23.41000
15000;23.43000
15300;23.57000
15600;23.54000
15900;23.41000
16200;23.45000
16500;23.36000
16800;23.41000
17100;23.45000
17400;23.41000
17700;23.50000
18000;24.32000
18300;23.63000
18600;23.52000
18900;23.57000
19200;23.57000
19500;23.41000
19800;23.45000
20100;23.41000
20400;23.59000
20700;23.57000
21000;23.48000
21300;23.48000
21600;23.43000
21900;23.52000
22200;23.52000
22500;23.54000
22800;23.43000
23100;23.48000
23400;23.38000
23700;23.34000
24000;23.29000
24300;23.29000
24600;23.50000
24900;23.32000
25200;23.41000
25500;23.38000
25800;23.41000
26100;23.38000
26400;23.38000
26700;23.38000
27000;23.34000
27300;23.32000
27600;23.41000
27900;23.25000
28200;23.25000
28500;23.25000
28800;23.32000
29100;23.29000
29400;23.34000
29700;23.09000
30000;23.16000
30300;23.18000
30600;23.20000
30900;23.34000
31200;23.16000
31500;23.14000
31800;23.20000
32100;23.20000
32400;22.99000
32700;23.06000
33000;23.11000
33300;22.97000
33600;23.14000
33900;23.09000
34200;23.25000
34500;23.23000
34800;22.94000
35100;23.09000
35400;23.06000
35700;23.20000
36000;23.14000
36300;23.11000
36600;23.20000
36900;23.23000
37200;23.06000
37500;23.02000
37800;23.18000
38100;23.23000
38400;23.11000
38700;22.94000
39000;23.04000
39300;22.97000
39600;22.97000
39900;23.14000
40200;22.99000
40500;22.94000
40800;23.04000
41100;22.92000
41400;22.94000
41700;22.87000
42000;22.90000
42300;22.94000
42600;22.99000
42900;23.02000
43200;22.99000
43500;22.92000
43800;23.14000
44100;22.94000
44400;23.02000
44700;22.92000
45000;22.97000
45300;22.87000
45600;22.90000
45900;22.99000
46200;22.92000
46500;22.80000
46800;22.82000
47100;22.78000
47400;22.70000
47700;22.92000
48000;22.80000
48300;22.75000
48600;22.80000
48900;22.78000
49200;22.80000
49500;22.85000
49800;22.85000
50100;23.04000
50400;22.80000
50700;22.80000
51000;22.90000
51300;22.82000
51600;22.92000
51900;22.90000
52200;22.97000
52500;22.90000
52800;22.94000
53100;23.11000
53400;22.92000
53700;22.90000
54000;22.85000
54300;22.92000
54600;23.06000
54900;22.90000
55200;22.92000
55500;22.94000
55800;22.97000
56100;22.97000
56400;23.04000
56700;23.04000
57000;23.02000
57300;23.06000
57600;22.97000
57900;22.90000
58200;23.06000
58500;22.99000
58800;23.14000
59100;22.97000
59400;23.04000
59700;22.99000
60000;22.94000
60300;23.02000
60600;22.99000
60900;23.11000
61200;22.99000
61500;22.92000
61800;22.97000
62100;23.02000
62400;23.20000
62700;23.36000
63000;23.04000
63300;23.09000
63600;23.25000
63900;23.41000
64200;23.23000
64500;23.14000
64800;23.43000
65100;23.38000
65400;23.43000
65700;23.70000
66000;23.50000
66300;23.41000
66600;23.45000
66900;23.48000
67200;23.59000
67500;23.59000
67800;23.54000
68100;23.45000
68400;23.61000
68700;23.50000
69000;23.50000
69300;23.82000
69600;23.63000
69900;23.59000
70200;23.75000
70500;23.70000
70800;23.84000
71100;23.70000
71400;23.54000
71700;23.66000
72000;23.57000
72300;23.59000
72600;23.61000
72900;23.59000
73200;23.52000
73500;23.43000
73800;23.54000
74100;23.48000
74400;23.29000
74700;23.61000
75000;23.43000
75300;23.34000
75600;23.54000
75900;23.70000
76200;23.82000
76500;23.77000
76800;23.80000
77100;23.80000
77400;23.66000
77700;23.80000
78000;23.89000
78300;23.87000
78600;23.73000
78900;23.73000
79200;23.63000
79500;23.70000
79800;23.63000
80100;23.61000
80400;23.61000
80700;23.57000
81000;23.66000
81300;23.66000
81600;23.54000
81900;23.57000
82200;23.54000
82500;23.50000
82800;23.57000
83100;23.59000
83400;23.41000
83700;23.54000
84000;23.45000
84300;23.41000
84600;23.38000
84900;23.43000
85200;23.43000
85500;23.43000
85800;23.45000
86100;23.38000
