time_seconds;temperature
0;21.14000
300;21.19000
600;21.10000
900;21.14000
1200;21.19000
1500;21.16000
1800;21.05000
2100;21.10000
2400;21.21000
2700;21.19000
3000;21.21000
3300;21.16000
3600;21.05000
3900;21.19000
4200;21.14000
4500;21.12000
4800;21.12000
5100;21.12000
5400;20.96000
5700;21.19000
6000;21.28000
6300;21.00000
6600;21.16000
6900;21.16000
7200;21.23000
7500;21.16000
7800;21.14000
8100;21.03000
8400;21.05000
8700;21.14000
9000;21.10000
9300;21.10000
9600;21.14000
9900;21.05000
10200;21.19000
10500;21.12000
10800;21.12000
11100;21.10000
11400;21.07000
11700;21.14000
12000;21.05000
12300;21.05000
12600;21.16000
12900;21.07000
13200;21.00000
13500;21.23000
13800;21.03000
14100;21.03000
14400;21.05000
14700;21.03000
15000;21.12000
15300;21.05000
15600;21.14000
15900;21.10000
16200;21.07000
16500;21.07000
16800;21.12000
17100;21.10000
17400;21.05000
17700;21.03000
18000;21.32000
18300;21.16000
18600;21.21000
18900;21.21000
19200;21.14000
19500;21.19000
19800;21.23000
20100;21.14000
20400;21.19000
20700;21.19000
21000;21.21000
21300;21.21000
21600;21.16000
21900;21.16000
22200;21.10000
22500;20.98000
22800;21.12000
23100;20.91000
23400;21.14000
23700;21.07000
24000;21.19000
24300;20.98000
24600;21.00000
24900;21.10000
25200;21.00000
25500;21.07000
25800;20.82000
26100;20.96000
26400;20.89000
26700;20.85000
27000;20.89000
27300;21.03000
27600;21.37000
27900;21.59000
28200;21.63000
28500;21.73000
28800;21.73000
29100;21.63000
29400;21.39000
29700;21.28000
30000;21.28000
30300;21.39000
30600;21.59000
30900;21.66000
31200;21.68000
31500;21.87000
31800;21.99000
32100;22.06000
32400;22.08000
32700;22.13000
33000;22.06000
33300;22.06000
33600;21.99000
33900;21.85000
34200;22.01000
34500;21.87000
34800;21.87000
35100;21.85000
35400;21.87000
35700;21.85000
36000;21.97000
36300;22.06000
36600;21.99000
36900;21.95000
37200;21.92000
37500;22.06000
37800;22.17000
38100;22.33000
38400;22.13000
38700;21.99000
39000;21.97000
39300;22.35000
39600;22.24000
39900;22.35000
40200;22.54000
40500;22.47000
40800;22.44000
41100;22.33000
41400;22.13000
41700;21.90000
42000;21.95000
42300;21.92000
42600;22.10000
42900;22.08000
43200;22.38000
43500;22.40000
43800;22.29000
44100;22.06000
44400;21.87000
44700;22.04000
45000;21.73000
45300;22.17000
45600;22.42000
45900;22.44000
46200;22.56000
46500;22.70000
46800;22.40000
47100;22.26000
47400;22.54000
47700;22.56000
48000;22.78000
48300;22.68000
48600;22.78000
48900;22.68000
49200;22.70000
49500;22.68000
49800;22.85000
50100;22.58000
50400;22.68000
50700;22.75000
51000;22.78000
51300;22.66000
51600;22.58000
51900;22.70000
52200;22.92000
52500;22.90000
52800;22.68000
53100;22.51000
53400;22.66000
53700;22.80000
54000;22.87000
54300;22.80000
54600;22.70000
54900;22.85000
55200;22.94000
55500;22.92000
55800;22.94000
56100;23.04000
56400;22.92000
56700;23.02000
57000;22.92000
57300;22.82000
57600;22.85000
57900;22.92000
58200;22.80000
58500;22.78000
58800;22.90000
59100;22.99000
59400;22.87000
59700;22.99000
60000;22.87000
60300;22.75000
60600;22.38000
60900;22.26000
61200;22.15000
61500;22.08000
61800;22.04000
62100;21.99000
62400;21.97000
62700;21.90000
63000;21.99000
63300;21.97000
63600;21.85000
63900;21.95000
64200;21.80000
64500;21.90000
64800;21.73000
65100;21.90000
65400;21.90000
65700;21.80000
66000;21.85000
66300;21.78000
66600;21.80000
66900;21.92000
67200;21.95000
67500;21.68000
67800;21.78000
68100;21.68000
68400;21.56000
68700;21.73000
69000;21.73000
69300;21.61000
69600;21.56000
69900;21.56000
70200;21.71000
70500;24.06000
70800;22.13000
71100;21.49000
71400;21.61000
71700;21.56000
72000;21.39000
72300;21.54000
72600;21.44000
72900;21.44000
73200;21.47000
73500;21.54000
73800;20.71000
74100;21.51000
74400;21.37000
74700;21.42000
75000;21.35000
75300;21.32000
75600;21.54000
75900;21.49000
76200;21.47000
76500;21.42000
76800;21.49000
77100;21.71000
77400;21.25000
77700;21.51000
78000;21.59000
78300;21.51000
78600;21.54000
78900;21.49000
79200;21.51000
79500;21.51000
79800;21.44000
80100;21.59000
80400;21.47000
80700;21.44000
81000;21.47000
81300;21.51000
81600;21.28000
81900;21.49000
82200;21.47000
82500;21.51000
82800;21.54000
83100;21.47000
83400;21.44000
83700;21.32000
84000;21.39000
84300;21.35000
84600;21.37000
84900;21.42000
85200;21.42000
85500;21.39000
85800;21.35000
86100;21.39000
