time_seconds;temperature
0;24.70000
300;24.45000
600;24.63000
900;24.63000
1200;24.56000
1500;24.68000
1800;24.54000
2100;24.54000
2400;24.54000
2700;24.56000
3000;24.56000
3300;24.66000
3600;24.50000
3900;24.59000
4200;24.63000
4500;24.54000
4800;24.52000
5100;24.50000
5400;24.54000
5700;24.59000
6000;24.54000
6300;24.50000
6600;24.54000
6900;24.52000
7200;24.54000
7500;24.54000
7800;24.66000
8100;24.47000
8400;24.52000
8700;24.59000
9000;24.56000
9300;24.52000
9600;24.50000
9900;25.32000
10200;24.50000
10500;24.61000
10800;24.56000
11100;24.54000
11400;24.56000
11700;24.47000
12000;24.50000
12300;24.43000
12600;24.56000
12900;24.45000
13200;24.50000
13500;24.47000
13800;24.36000
14100;24.52000
14400;24.43000
14700;24.38000
15000;24.38000
15300;24.06000
15600;24.47000
15900;24.56000
16200;24.43000
16500;24.52000
16800;24.45000
17100;24.43000
17400;24.47000
17700;24.47000
18000;24.41000
18300;24.38000
18600;24.38000
18900;24.50000
19200;24.43000
19500;24.52000
19800;24.41000
20100;24.54000
20400;24.45000
20700;24.52000
21000;24.47000
21300;24.47000
21600;24.45000
21900;24.43000
22200;24.36000
22500;24.36000
22800;24.45000
23100;24.50000
23400;24.50000
23700;24.45000
24000;24.36000
24300;24.41000
24600;24.54000
24900;24.52000
25200;24.43000
25500;24.59000
25800;24.45000
26100;24.41000
26400;24.41000
26700;24.47000
27000;24.43000
27300;24.41000
27600;24.43000
27900;24.45000
28200;24.50000
28500;24.32000
28800;24.45000
29100;24.66000
29400;24.43000
29700;24.47000
30000;24.41000
30300;24.56000
30600;24.54000
30900;24.54000
31200;24.54000
31500;24.50000
31800;24.61000
32100;24.68000
32400;24.56000
32700;24.70000
33000;24.50000
33300;24.52000
33600;24.66000
33900;24.61000
34200;24.59000
34500;24.72000
34800;24.77000
35100;24.75000
35400;24.72000
35700;24.75000
36000;24.72000
36300;24.72000
36600;24.88000
36900;24.81000
37200;24.70000
37500;24.79000
37800;24.84000
38100;24.86000
38400;24.81000
38700;24.88000
39000;24.84000
39300;24.81000
39600;24.81000
39900;24.75000
40200;24.97000
40500;25.02000
40800;24.93000
41100;24.93000
41400;25.09000
41700;24.93000
42000;25.07000
42300;24.91000
42600;24.93000
42900;24.93000
43200;24.95000
43500;24.93000
43800;25.16000
44100;25.11000
44400;25.00000
44700;25.00000
45000;25.23000
45300;25.21000
45600;25.00000
45900;25.14000
46200;25.21000
46500;25.21000
46800;25.07000
47100;25.11000
47400;25.28000
47700;25.18000
48000;25.16000
48300;25.28000
48600;25.23000
48900;25.23000
49200;25.25000
49500;25.21000
49800;25.35000
50100;25.25000
50400;25.32000
50700;25.39000
51000;25.37000
51300;25.28000
51600;25.49000
51900;25.42000
52200;25.46000
52500;25.42000
52800;25.32000
53100;25.46000
53400;25.39000
53700;25.56000
54000;25.44000
54300;25.37000
54600;24.97000
54900;25.07000
55200;25.04000
55500;25.14000
55800;25.02000
56100;24.95000
56400;24.95000
56700;24.95000
57000;25.07000
57300;25.07000
57600;25.02000
57900;24.95000
58200;25.07000
58500;25.09000
58800;25.11000
59100;25.00000
59400;25.02000
59700;25.04000
60000;25.18000
60300;25.04000
60600;25.21000
60900;25.02000
61200;25.07000
61500;25.21000
61800;25.11000
62100;25.23000
62400;25.28000
62700;25.21000
63000;25.14000
63300;25.14000
63600;24.91000
63900;25.02000
64200;24.97000
64500;24.91000
64800;24.81000
65100;24.84000
65400;24.72000
65700;24.88000
66000;24.91000
66300;24.70000
66600;24.72000
66900;24.79000
67200;25.04000
67500;25.04000
67800;24.91000
68100;24.97000
68400;25.21000
68700;25.23000
69000;25.14000
69300;25.00000
69600;25.11000
69900;25.21000
70200;25.09000
70500;25.07000
70800;25.35000
71100;25.39000
71400;25.44000
71700;25.32000
72000;25.44000
72300;25.39000
72600;25.39000
72900;25.42000
73200;25.39000
73500;25.44000
73800;25.30000
74100;25.35000
74400;25.39000
74700;25.30000
75000;25.42000
75300;25.35000
75600;25.28000
75900;25.35000
76200;25.21000
76500;25.35000
76800;25.30000
77100;25.28000
77400;25.14000
77700;25.18000
78000;25.23000
78300;25.11000
78600;25.25000
78900;25.32000
79200;25.21000
79500;25.28000
79800;25.16000
80100;25.28000
80400;25.30000
80700;25.21000
81000;25.09000
81300;25.25000
81600;25.18000
81900;25.11000
82200;25.16000
82500;25.11000
82800;25.21000
83100;25.09000
83400;25.18000
83700;25.21000
84000;25.23000
84300;25.23000
84600;25.09000
84900;25.11000
85200;25.30000
85500;25.14000
85800;25.18000
86100;25.07000
