time_seconds;temperature
0;21.12000
300;20.94000
600;20.98000
900;21.16000
1200;20.91000
1500;20.89000
1800;21.03000
2100;20.89000
2400;20.98000
2700;20.98000
3000;21.07000
3300;21.07000
3600;21.05000
3900;20.89000
4200;20.98000
4500;20.96000
4800;20.89000
5100;21.05000
5400;20.87000
5700;20.96000
6000;20.91000
6300;21.03000
6600;20.96000
6900;20.80000
7200;20.98000
7500;20.94000
7800;20.85000
8100;20.87000
8400;20.91000
8700;20.91000
9000;20.87000
9300;20.87000
9600;20.94000
9900;20.76000
10200;20.89000
10500;20.80000
10800;20.85000
11100;20.94000
11400;20.96000
11700;20.80000
12000;20.96000
12300;20.91000
12600;20.80000
12900;20.85000
13200;20.80000
13500;20.85000
13800;20.91000
14100;20.89000
14400;20.85000
14700;20.91000
15000;20.85000
15300;20.87000
15600;21.03000
15900;20.85000
16200;20.78000
16500;20.82000
16800;20.80000
17100;20.89000
17400;20.82000
17700;20.85000
18000;20.89000
18300;20.73000
18600;20.68000
18900;20.82000
19200;20.68000
19500;20.85000
19800;20.78000
20100;20.71000
20400;20.94000
20700;20.80000
21000;20.80000
21300;20.78000
21600;20.85000
21900;20.78000
22200;20.89000
22500;20.94000
22800;20.91000
23100;20.76000
23400;21.05000
23700;20.91000
24000;20.85000
24300;20.78000
24600;20.91000
24900;20.87000
25200;21.14000
25500;21.25000
25800;21.21000
26100;20.03000
26400;21.23000
26700;21.30000
27000;21.25000
27300;21.07000
27600;21.16000
27900;21.12000
28200;21.03000
28500;21.21000
28800;21.30000
29100;21.30000
29400;21.30000
29700;21.63000
30000;21.61000
30300;21.78000
30600;21.83000
30900;21.85000
31200;21.87000
31500;21.90000
31800;21.92000
32100;22.06000
32400;21.90000
32700;22.13000
33000;21.99000
33300;21.87000
33600;21.90000
33900;22.01000
34200;21.99000
34500;21.90000
34800;21.85000
35100;21.95000
35400;21.95000
35700;21.87000
36000;21.85000
36300;22.06000
36600;22.04000
36900;21.90000
37200;21.95000
37500;21.99000
37800;22.08000
38100;22.10000
38400;22.10000
38700;22.01000
39000;22.17000
39300;22.47000
39600;22.17000
39900;22.26000
40200;22.26000
40500;22.31000
40800;22.15000
41100;21.97000
41400;21.97000
41700;22.01000
42000;22.01000
42300;22.17000
42600;22.19000
42900;22.29000
43200;22.24000
43500;22.19000
43800;22.22000
44100;22.26000
44400;22.17000
44700;22.10000
45000;22.29000
45300;22.19000
45600;22.29000
45900;22.24000
46200;22.31000
46500;22.22000
46800;22.26000
47100;22.29000
47400;22.19000
47700;22.22000
48000;22.33000
48300;22.29000
48600;22.35000
48900;22.35000
49200;22.63000
49500;22.63000
49800;22.63000
50100;22.75000
50400;22.70000
50700;22.78000
51000;22.80000
51300;22.80000
51600;22.75000
51900;22.82000
52200;22.82000
52500;22.82000
52800;22.85000
53100;22.97000
53400;23.04000
53700;22.99000
54000;23.06000
54300;23.14000
54600;23.04000
54900;23.06000
55200;23.14000
55500;23.16000
55800;23.04000
56100;22.90000
56400;23.16000
56700;23.11000
57000;23.14000
57300;23.20000
57600;23.32000
57900;23.25000
58200;23.14000
58500;23.18000
58800;23.16000
59100;23.20000
59400;23.16000
59700;23.16000
60000;23.16000
60300;23.09000
60600;23.16000
60900;22.94000
61200;22.92000
61500;23.02000
61800;22.78000
62100;22.90000
62400;22.82000
62700;22.85000
63000;22.75000
63300;22.58000
63600;22.66000
63900;22.68000
64200;22.58000
64500;22.66000
64800;22.58000
65100;22.47000
65400;22.51000
65700;22.44000
66000;22.54000
66300;22.44000
66600;22.33000
66900;22.54000
67200;22.44000
67500;22.47000
67800;22.47000
68100;22.35000
68400;22.31000
68700;22.42000
69000;22.19000
69300;22.29000
69600;22.29000
69900;22.13000
70200;22.19000
70500;22.19000
70800;22.17000
71100;22.19000
71400;22.17000
71700;22.06000
72000;22.15000
72300;22.08000
72600;22.08000
72900;22.10000
73200;22.08000
73500;21.99000
73800;21.95000
74100;22.04000
74400;21.99000
74700;22.06000
75000;22.01000
75300;21.95000
75600;21.97000
75900;22.01000
76200;21.87000
76500;21.92000
76800;21.97000
77100;21.87000
77400;21.80000
77700;21.87000
78000;21.85000
78300;21.83000
78600;21.92000
78900;21.90000
79200;21.85000
79500;21.83000
79800;21.75000
80100;21.73000
80400;21.73000
80700;21.63000
81000;21.80000
81300;21.73000
81600;21.71000
81900;21.85000
82200;21.71000
82500;21.75000
