time_seconds;temperature
0;20.80000
300;20.85000
600;20.91000
900;20.78000
1200;20.82000
1500;20.78000
1800;20.82000
2100;20.80000
2400;20.85000
2700;20.68000
3000;20.82000
3300;20.80000
3600;20.91000
3900;20.82000
4200;20.91000
4500;20.80000
4800;20.71000
5100;20.76000
5400;20.78000
5700;20.82000
6000;20.87000
6300;20.78000
6600;20.89000
6900;20.78000
7200;20.82000
7500;20.82000
7800;20.71000
8100;20.80000
8400;20.82000
8700;20.71000
9000;20.73000
9300;20.78000
9600;20.80000
9900;20.73000
10200;20.82000
10500;20.80000
10800;20.89000
11100;20.89000
11400;20.76000
11700;20.85000
12000;20.87000
12300;20.82000
12600;20.76000
12900;20.91000
13200;20.71000
13500;20.68000
13800;20.82000
14100;20.78000
14400;20.82000
14700;20.85000
15000;20.87000
15300;20.82000
15600;20.85000
15900;20.91000
16200;20.71000
16500;20.80000
16800;20.91000
17100;20.87000
17400;20.80000
17700;20.82000
18000;20.71000
18300;20.89000
18600;20.94000
18900;20.87000
19200;20.87000
19500;20.73000
19800;20.76000
20100;20.71000
20400;20.85000
20700;20.82000
21000;20.76000
21300;20.78000
21600;20.82000
21900;20.82000
22200;20.80000
22500;20.78000
22800;20.82000
23100;20.87000
23400;20.82000
23700;20.82000
24000;20.76000
24300;20.78000
24600;20.73000
24900;20.68000
25200;20.78000
25500;20.66000
25800;20.85000
26100;20.96000
26400;20.78000
26700;20.76000
27000;20.89000
27300;20.96000
27600;20.82000
27900;20.89000
28200;20.85000
28500;20.87000
28800;21.21000
29100;21.44000
29400;21.42000
29700;21.47000
30000;21.25000
30300;21.21000
30600;21.39000
30900;21.49000
31200;21.61000
31500;21.51000
31800;21.54000
32100;21.30000
32400;21.39000
32700;21.54000
33000;21.44000
33300;21.49000
33600;21.35000
33900;21.51000
34200;21.51000
34500;21.47000
34800;21.44000
35100;21.39000
35400;21.51000
35700;21.39000
36000;21.54000
36300;21.47000
36600;21.59000
36900;21.37000
37200;21.35000
37500;21.37000
37800;21.39000
38100;21.37000
38400;21.35000
38700;21.35000
39000;21.25000
39300;21.16000
39600;21.10000
39900;20.98000
40200;20.96000
40500;20.89000
40800;20.73000
41100;20.89000
41400;20.96000
41700;21.00000
42000;20.91000
42300;20.76000
42600;20.71000
42900;20.71000
43200;20.51000
43500;20.68000
43800;20.54000
44100;20.68000
44400;20.61000
44700;20.78000
45000;20.36000
45300;20.44000
45600;20.66000
45900;20.73000
46200;20.39000
46500;20.66000
46800;20.41000
47100;20.56000
47400;20.46000
47700;20.73000
48000;20.51000
48300;20.51000
48600;20.51000
48900;20.51000
49200;20.54000
49500;20.41000
49800;20.32000
50100;20.58000
50400;20.58000
50700;20.44000
51000;20.36000
51300;20.58000
51600;20.56000
51900;20.61000
52200;20.73000
52500;20.58000
52800;20.58000
53100;20.66000
53400;20.78000
53700;20.78000
54000;20.89000
54300;20.87000
54600;20.89000
54900;20.98000
55200;20.87000
55500;20.87000
55800;21.10000
56100;21.14000
56400;21.19000
56700;21.16000
57000;21.21000
57300;21.10000
57600;21.51000
57900;21.47000
58200;21.35000
58500;21.73000
58800;21.90000
59100;22.04000
59400;21.97000
59700;22.06000
60000;22.10000
60300;22.10000
60600;22.19000
60900;22.22000
61200;22.17000
61500;22.31000
61800;22.15000
62100;22.29000
62400;22.38000
62700;22.51000
63000;22.38000
63300;22.40000
63600;22.44000
63900;22.47000
64200;22.31000
64500;22.31000
64800;22.31000
65100;22.29000
65400;22.22000
65700;22.29000
66000;22.15000
66300;22.22000
66600;22.10000
66900;22.15000
67200;22.04000
67500;22.06000
67800;22.19000
68100;22.04000
68400;21.99000
68700;21.97000
69000;21.87000
69300;21.97000
69600;21.95000
69900;21.78000
70200;21.83000
70500;21.90000
70800;21.78000
71100;21.90000
71400;21.80000
71700;21.83000
72000;21.73000
72300;21.83000
72600;21.80000
72900;21.75000
73200;21.85000
73500;21.71000
73800;21.75000
74100;21.66000
74400;21.61000
74700;21.66000
75000;21.61000
75300;21.80000
75600;21.68000
75900;21.66000
76200;21.66000
76500;21.51000
76800;21.71000
77100;21.59000
77400;21.61000
77700;21.54000
78000;21.51000
78300;21.51000
78600;21.54000
78900;21.56000
79200;21.61000
79500;21.39000
79800;21.61000
80100;21.39000
80400;21.47000
80700;21.54000
81000;21.39000
81300;21.59000
81600;21.49000
81900;21.49000
82200;21.59000
82500;21.49000
82800;21.32000
83100;21.39000
83400;21.54000
83700;21.42000
84000;21.42000
84300;21.30000
84600;21.39000
84900;21.49000
85200;21.39000
85500;21.44000
85800;21.44000
86100;21.47000
