time_seconds;temperature
0;26.76000
300;26.87000
600;26.83000
900;26.64000
1200;26.69000
1500;26.73000
1800;26.78000
2100;26.69000
2400;26.62000
2700;26.57000
3000;26.57000
3300;26.55000
3600;26.48000
3900;26.39000
4200;26.51000
4500;26.23000
4800;26.35000
5100;26.42000
5400;26.37000
5700;26.42000
6000;26.32000
6300;26.19000
6600;26.28000
6900;26.23000
7200;26.19000
7500;26.17000
7800;26.14000
8100;26.14000
8400;26.21000
8700;26.08000
9000;26.17000
9300;26.08000
9600;26.17000
9900;26.08000
10200;25.98000
10500;25.91000
10800;25.89000
11100;25.93000
11400;26.08000
11700;25.84000
12000;25.93000
12300;25.93000
12600;26.00000
12900;25.77000
13200;25.74000
13500;25.77000
13800;25.72000
14100;25.60000
14400;25.70000
14700;25.60000
15000;25.65000
15300;25.60000
15600;25.53000
15900;25.67000
16200;25.56000
16500;25.53000
16800;25.70000
17100;25.67000
17400;25.53000
17700;25.53000
18000;25.56000
18300;25.56000
18600;25.46000
18900;25.46000
19200;25.44000
19500;25.53000
19800;25.65000
20100;25.53000
20400;25.65000
20700;25.58000
21000;25.58000
21300;25.49000
21600;25.60000
21900;25.67000
22200;25.65000
22500;25.60000
22800;25.60000
23100;25.65000
23400;25.63000
23700;25.51000
24000;25.53000
24300;25.49000
24600;25.56000
24900;25.56000
25200;25.60000
25500;25.44000
25800;25.58000
26100;25.58000
26400;25.53000
26700;25.63000
27000;25.53000
27300;25.56000
27600;25.67000
27900;25.67000
28200;25.67000
28500;25.60000
28800;25.63000
29100;24.10000
29400;23.66000
29700;23.54000
30000;23.54000
30300;24.03000
30600;24.56000
30900;24.70000
31200;24.63000
31500;24.54000
31800;24.56000
32100;24.59000
32400;24.61000
32700;24.66000
33000;23.52000
33300;23.48000
33600;23.57000
33900;23.77000
34200;24.56000
34500;24.79000
34800;24.81000
35100;24.70000
35400;24.88000
35700;24.79000
36000;24.91000
36300;24.66000
36600;23.96000
36900;23.73000
37200;23.87000
37500;23.94000
37800;23.94000
38100;23.87000
38400;23.89000
38700;23.94000
39000;24.01000
39300;24.01000
39600;24.10000
39900;24.15000
40200;24.10000
40500;24.15000
40800;24.17000
41100;24.20000
41400;24.24000
41700;24.24000
42000;24.32000
42300;24.20000
42600;24.22000
42900;24.20000
43200;24.22000
43500;24.24000
43800;25.28000
44100;25.77000
44400;25.79000
44700;25.89000
45000;25.11000
45300;24.50000
45600;24.45000
45900;24.34000
46200;24.38000
46500;24.36000
46800;24.47000
47100;24.45000
47400;24.43000
47700;24.43000
48000;24.38000
48300;24.52000
48600;24.43000
48900;24.56000
49200;24.59000
49500;24.77000
49800;24.63000
50100;24.66000
50400;24.68000
50700;24.56000
51000;24.68000
51300;24.68000
51600;24.66000
51900;24.61000
52200;24.72000
52500;24.45000
52800;24.66000
53100;24.81000
53400;24.61000
53700;24.66000
54000;24.86000
54300;24.81000
54600;24.59000
54900;24.79000
55200;24.61000
55500;24.66000
55800;24.70000
56100;24.70000
56400;24.68000
56700;24.77000
57000;24.63000
57300;24.75000
57600;24.77000
57900;24.68000
58200;24.77000
58500;24.79000
58800;24.77000
59100;24.79000
59400;24.95000
59700;24.88000
60000;24.88000
60300;24.88000
60600;24.93000
60900;24.95000
61200;25.02000
61500;25.00000
61800;25.96000
62100;26.30000
62400;26.44000
62700;26.57000
63000;26.51000
63300;26.60000
63600;26.42000
63900;26.55000
64200;26.39000
64500;26.57000
64800;26.44000
65100;26.48000
65400;26.57000
65700;26.44000
66000;26.62000
66300;26.32000
66600;26.42000
66900;26.53000
67200;26.48000
67500;26.48000
67800;26.35000
68100;26.35000
68400;26.39000
68700;26.51000
69000;26.57000
69300;26.42000
69600;26.46000
69900;26.46000
70200;26.71000
70500;26.73000
70800;26.55000
71100;26.73000
71400;26.62000
71700;26.62000
72000;26.60000
72300;26.62000
72600;26.55000
72900;26.60000
73200;26.55000
73500;26.64000
73800;26.55000
74100;26.46000
74400;26.55000
74700;26.46000
75000;26.48000
75300;26.44000
75600;25.21000
75900;24.63000
76200;24.61000
76500;24.66000
76800;24.56000
77100;24.77000
77400;24.61000
77700;24.61000
78000;24.63000
78300;24.52000
78600;24.70000
78900;24.61000
79200;24.56000
79500;24.52000
79800;24.50000
80100;24.54000
80400;24.47000
80700;24.56000
81000;24.56000
81300;24.54000
81600;24.56000
81900;24.52000
82200;24.43000
82500;24.45000
82800;26.08000
83100;26.46000
83400;26.37000
83700;26.37000
84000;26.42000
84300;26.26000
84600;26.17000
84900;26.30000
85200;26.28000
85500;26.28000
85800;26.28000
86100;26.30000
