time_seconds;temperature
0;25.79000
300;25.72000
600;25.58000
900;25.58000
1200;25.63000
1500;25.79000
1800;25.65000
2100;25.84000
2400;25.72000
2700;25.86000
3000;26.03000
3300;25.96000
3600;26.03000
3900;25.82000
4200;25.67000
4500;25.53000
4800;25.28000
5100;25.39000
5400;24.75000
5700;24.27000
6000;24.17000
6300;23.77000
6600;23.98000
6900;24.47000
7200;24.52000
7500;24.01000
7800;23.52000
8100;24.03000
8400;23.94000
8700;24.01000
9000;23.54000
9300;23.04000
9600;23.57000
9900;24.38000
10200;24.45000
10500;24.72000
10800;24.29000
11100;24.47000
11400;24.17000
11700;23.84000
12000;23.70000
12300;24.59000
12600;24.22000
12900;24.08000
13200;24.32000
13500;24.36000
13800;24.32000
14100;24.70000
14400;24.54000
14700;24.15000
15000;24.43000
15300;24.38000
15600;24.13000
15900;23.52000
16200;23.59000
16500;23.52000
16800;24.52000
17100;24.68000
17400;24.06000
17700;24.45000
18000;23.57000
18300;24.66000
18600;24.81000
18900;24.81000
19200;24.41000
19500;24.70000
19800;25.11000
20100;25.28000
20400;25.25000
20700;25.14000
21000;24.91000
21300;25.07000
21600;24.93000
21900;24.91000
22200;24.93000
22500;24.79000
22800;24.91000
23100;24.95000
23400;23.63000
23700;24.13000
24000;24.50000
24300;23.96000
24600;24.54000
24900;24.81000
25200;24.75000
25500;25.04000
25800;25.21000
26100;24.68000
26400;23.54000
26700;23.41000
27000;23.50000
27300;23.84000
27600;24.20000
27900;24.15000
28200;24.63000
28500;24.63000
28800;24.08000
29100;24.15000
29400;23.27000
29700;23.27000
30000;23.48000
30300;23.41000
30600;23.25000
30900;23.02000
31200;22.87000
31500;22.61000
31800;22.61000
32100;22.66000
32400;22.66000
32700;22.58000
33000;22.85000
33300;22.26000
33600;22.42000
33900;22.31000
34200;22.38000
34500;22.29000
34800;22.31000
35100;22.47000
35400;22.47000
35700;22.42000
36000;22.90000
36300;22.94000
36600;23.09000
36900;23.14000
37200;23.09000
37500;23.20000
37800;23.20000
38100;23.32000
38400;23.14000
38700;23.23000
39000;23.66000
39300;23.29000
39600;23.36000
39900;23.29000
40200;23.23000
40500;23.20000
40800;23.43000
41100;23.06000
41400;22.42000
41700;22.29000
42000;22.33000
42300;22.22000
42600;22.58000
42900;23.20000
43200;23.80000
43500;24.47000
43800;25.00000
44100;25.30000
44400;25.32000
44700;25.53000
45000;25.58000
45300;25.49000
45600;25.79000
45900;25.84000
46200;25.79000
46500;25.84000
46800;26.03000
47100;25.96000
47400;26.00000
47700;26.12000
48000;26.03000
48300;26.03000
48600;26.17000
48900;26.26000
49200;26.35000
49500;26.14000
49800;26.32000
50100;26.23000
50400;26.39000
50700;26.32000
51000;26.23000
51300;26.35000
51600;26.51000
51900;26.37000
52200;26.39000
52500;26.35000
52800;26.42000
53100;26.35000
53400;26.44000
53700;26.44000
54000;26.39000
54300;26.53000
54600;26.51000
54900;26.46000
55200;26.55000
55500;26.37000
55800;26.55000
56100;26.57000
56400;26.51000
56700;26.60000
57000;26.62000
57300;26.53000
57600;26.53000
57900;26.57000
58200;26.67000
58500;26.67000
58800;26.78000
59100;26.62000
59400;26.71000
59700;26.71000
60000;26.80000
60300;26.67000
60600;26.69000
60900;26.69000
61200;26.69000
61500;26.62000
61800;26.78000
62100;26.67000
62400;26.85000
62700;26.76000
63000;26.67000
63300;26.69000
63600;26.32000
63900;25.32000
64200;25.07000
64500;24.97000
64800;25.07000
65100;24.84000
65400;24.91000
65700;24.91000
66000;24.91000
66300;24.84000
66600;24.97000
66900;24.88000
67200;24.86000
67500;24.86000
67800;24.91000
68100;24.81000
68400;24.93000
68700;24.72000
69000;24.91000
69300;24.93000
69600;24.77000
69900;24.81000
70200;24.84000
70500;24.84000
70800;24.84000
71100;24.77000
71400;24.75000
71700;26.42000
72000;26.53000
72300;26.71000
72600;26.64000
72900;26.62000
73200;26.67000
73500;26.57000
73800;26.67000
74100;26.67000
74400;26.78000
74700;26.67000
75000;26.62000
75300;26.73000
75600;25.58000
75900;25.11000
76200;25.04000
76500;25.14000
76800;25.09000
77100;25.14000
77400;25.00000
77700;25.11000
78000;25.04000
78300;24.91000
78600;24.77000
78900;24.72000
79200;24.61000
79500;24.61000
79800;24.61000
80100;24.66000
80400;24.66000
80700;24.59000
81000;24.56000
81300;24.61000
81600;24.52000
81900;24.45000
82200;24.63000
82500;24.68000
82800;26.35000
83100;26.46000
83400;26.53000
83700;26.44000
84000;26.35000
84300;26.46000
84600;26.44000
84900;26.37000
85200;25.23000
85500;24.93000
85800;24.81000
86100;24.61000
