time_seconds;temperature
0;24.93000
300;24.86000
600;24.86000
900;24.88000
1200;24.91000
1500;24.81000
1800;24.93000
2100;24.81000
2400;24.81000
2700;24.88000
3000;24.77000
3300;24.75000
3600;24.77000
3900;24.75000
4200;24.81000
4500;24.81000
4800;24.79000
5100;24.61000
5400;24.72000
5700;24.79000
6000;24.70000
6300;24.72000
6600;24.63000
6900;24.68000
7200;24.84000
7500;24.61000
7800;24.72000
8100;24.63000
8400;24.79000
8700;24.63000
9000;24.70000
9300;24.72000
9600;24.68000
9900;24.63000
10200;24.63000
10500;24.63000
10800;24.59000
11100;24.61000
11400;24.59000
11700;24.66000
12000;24.63000
12300;24.61000
12600;24.61000
12900;24.63000
13200;24.59000
13500;24.50000
13800;24.70000
14100;24.56000
14400;24.59000
14700;24.59000
15000;24.50000
15300;24.66000
15600;24.56000
15900;24.63000
16200;24.59000
16500;24.54000
16800;24.56000
17100;24.41000
17400;24.52000
17700;24.59000
18000;24.84000
18300;24.50000
18600;24.63000
18900;24.68000
19200;24.81000
19500;24.81000
19800;24.70000
20100;24.75000
20400;24.91000
20700;24.84000
21000;24.91000
21300;24.79000
21600;24.70000
21900;24.86000
22200;24.86000
22500;24.84000
22800;24.81000
23100;24.79000
23400;24.91000
23700;24.81000
24000;24.86000
24300;24.63000
24600;24.75000
24900;24.59000
25200;24.50000
25500;24.61000
25800;24.72000
26100;24.47000
26400;24.66000
26700;24.66000
27000;24.45000
27300;24.59000
27600;24.54000
27900;24.52000
28200;24.63000
28500;24.41000
28800;24.29000
29100;24.08000
29400;24.03000
29700;24.17000
30000;24.06000
30300;23.96000
30600;23.89000
30900;23.91000
31200;23.82000
31500;23.80000
31800;23.91000
32100;24.03000
32400;23.94000
32700;23.75000
33000;23.63000
33300;23.73000
33600;23.73000
33900;23.70000
34200;23.77000
34500;23.77000
34800;23.80000
35100;23.91000
35400;23.77000
35700;23.89000
36000;24.32000
36300;24.38000
36600;24.27000
36900;24.34000
37200;24.32000
37500;24.22000
37800;24.29000
38100;24.52000
38400;24.41000
38700;24.41000
39000;24.41000
39300;24.38000
39600;24.32000
39900;23.96000
40200;24.20000
40500;23.98000
40800;24.70000
41100;23.59000
41400;23.84000
41700;24.27000
42000;23.84000
42300;24.01000
42600;24.17000
42900;24.08000
43200;24.22000
43500;24.22000
43800;24.10000
44100;24.24000
44400;24.36000
44700;24.36000
45000;24.24000
45300;24.08000
45600;24.59000
45900;24.32000
46200;24.03000
46500;23.70000
46800;23.98000
47100;24.10000
47400;24.13000
47700;24.32000
48000;24.22000
48300;24.41000
48600;24.72000
48900;24.54000
49200;24.66000
49500;25.14000
49800;24.59000
50100;24.59000
50400;24.56000
50700;24.70000
51000;24.91000
51300;25.23000
51600;24.72000
51900;24.88000
52200;25.00000
52500;24.93000
52800;24.79000
53100;24.59000
53400;24.88000
53700;24.66000
54000;25.04000
54300;24.88000
54600;24.77000
54900;25.09000
55200;24.88000
55500;24.88000
55800;24.66000
56100;24.88000
56400;25.35000
56700;25.04000
57000;24.86000
57300;25.11000
57600;25.07000
57900;24.97000
58200;25.23000
58500;24.88000
58800;25.00000
59100;24.88000
59400;25.11000
59700;25.07000
60000;25.39000
60300;25.07000
60600;25.44000
60900;25.25000
61200;25.14000
61500;25.21000
61800;25.25000
62100;25.16000
62400;25.11000
62700;25.11000
63000;25.21000
63300;25.32000
63600;25.32000
63900;25.32000
64200;25.39000
64500;25.23000
64800;25.23000
65100;25.35000
65400;25.44000
65700;25.25000
66000;25.56000
66300;25.56000
66600;25.67000
66900;25.46000
67200;25.53000
67500;25.53000
67800;25.77000
68100;25.67000
68400;25.79000
68700;25.89000
69000;25.74000
69300;26.19000
69600;26.17000
69900;25.82000
70200;25.72000
70500;25.72000
70800;25.67000
71100;25.77000
71400;25.58000
71700;25.82000
72000;25.60000
72300;25.84000
72600;25.79000
72900;25.65000
73200;25.56000
73500;25.60000
73800;25.49000
74100;25.46000
74400;25.30000
74700;25.39000
75000;25.14000
75300;25.11000
75600;25.23000
75900;24.97000
76200;24.79000
76500;24.79000
76800;24.93000
77100;24.72000
77400;24.70000
77700;24.72000
78000;24.36000
78300;24.54000
78600;24.41000
78900;24.20000
79200;24.10000
79500;24.17000
79800;24.32000
80100;24.34000
80400;24.10000
80700;23.96000
81000;23.96000
81300;23.96000
81600;23.82000
81900;23.98000
82200;24.03000
82500;23.87000
82800;25.02000
83100;25.02000
83400;24.93000
83700;24.70000
84000;24.77000
84300;24.77000
84600;24.77000
84900;24.70000
85200;24.81000
85500;25.14000
85800;25.35000
86100;25.67000
