time_seconds;temperature
0;20.68000
300;20.68000
600;20.56000
900;20.71000
1200;20.71000
1500;20.61000
1800;20.85000
2100;20.78000
2400;20.78000
2700;20.66000
3000;20.87000
3300;20.87000
3600;20.61000
3900;20.71000
4200;20.76000
4500;20.66000
4800;20.73000
5100;20.68000
5400;20.58000
5700;20.61000
6000;20.63000
6300;20.66000
6600;20.58000
6900;20.63000
7200;20.54000
7500;20.71000
7800;20.61000
8100;20.63000
8400;20.61000
8700;20.68000
9000;20.66000
9300;20.58000
9600;20.56000
9900;20.58000
10200;20.58000
10500;20.56000
10800;20.71000
11100;20.66000
11400;20.58000
11700;20.66000
12000;20.54000
12300;20.61000
12600;20.66000
12900;20.61000
13200;20.73000
13500;20.58000
13800;20.63000
14100;20.61000
14400;20.89000
14700;20.73000
15000;20.78000
15300;20.71000
15600;20.66000
15900;20.68000
16200;20.73000
16500;20.68000
16800;20.63000
17100;20.73000
17400;20.71000
17700;20.68000
18000;20.68000
18300;20.68000
18600;20.66000
18900;20.66000
19200;20.63000
19500;20.91000
19800;20.78000
20100;20.76000
20400;20.63000
20700;20.63000
21000;20.68000
21300;20.71000
21600;20.58000
21900;20.58000
22200;20.71000
22500;20.58000
22800;20.61000
23100;20.66000
23400;20.54000
23700;20.71000
24000;20.58000
24300;20.61000
24600;20.66000
24900;20.87000
25200;20.56000
25500;20.56000
25800;20.68000
26100;20.66000
26400;20.78000
26700;20.76000
27000;20.58000
27300;20.63000
27600;20.71000
27900;20.63000
28200;20.68000
28500;20.56000
28800;20.58000
29100;20.68000
29400;20.66000
29700;20.51000
30000;20.56000
30300;20.46000
30600;20.61000
30900;20.51000
31200;20.68000
31500;20.51000
31800;20.63000
32100;20.63000
32400;20.76000
32700;20.63000
33000;20.71000
33300;20.63000
33600;20.66000
33900;20.54000
34200;20.73000
34500;20.91000
34800;20.73000
35100;20.61000
35400;20.73000
35700;20.85000
36000;20.80000
36300;20.80000
36600;20.73000
36900;20.80000
37200;20.66000
37500;20.63000
37800;20.78000
38100;20.68000
38400;20.85000
38700;20.80000
39000;20.58000
39300;20.66000
39600;20.82000
39900;20.73000
40200;20.76000
40500;20.68000
40800;20.85000
41100;20.73000
41400;20.76000
41700;20.89000
42000;20.78000
42300;20.87000
42600;20.87000
42900;20.71000
43200;20.73000
43500;20.78000
43800;20.80000
44100;20.89000
44400;20.78000
44700;20.91000
45000;20.82000
45300;20.73000
45600;20.78000
45900;20.80000
46200;21.00000
46500;20.85000
46800;20.71000
47100;20.91000
47400;20.91000
47700;20.89000
48000;20.78000
48300;20.98000
48600;20.87000
48900;20.85000
49200;20.91000
49500;20.91000
49800;20.91000
50100;21.07000
50400;20.98000
50700;20.96000
51000;20.91000
51300;20.98000
51600;20.98000
51900;20.98000
52200;20.94000
52500;20.98000
52800;21.05000
53100;21.07000
53400;21.07000
53700;20.91000
54000;20.91000
54300;20.96000
54600;21.03000
54900;20.87000
55200;20.89000
55500;21.00000
55800;20.85000
56100;20.89000
56400;20.91000
56700;20.96000
57000;20.98000
57300;21.00000
57600;21.10000
57900;20.91000
58200;21.00000
58500;21.03000
58800;21.16000
59100;21.03000
59400;21.05000
59700;20.94000
60000;20.98000
60300;20.85000
60600;21.07000
60900;20.96000
61200;20.80000
61500;20.82000
61800;20.89000
62100;20.80000
62400;20.89000
62700;20.89000
63000;20.87000
63300;20.87000
63600;20.96000
63900;20.87000
64200;20.87000
64500;20.82000
64800;20.80000
65100;20.91000
65400;20.82000
65700;20.82000
66000;20.76000
66300;20.85000
66600;20.87000
66900;20.76000
67200;20.89000
67500;20.89000
67800;20.82000
68100;20.80000
68400;20.82000
68700;20.82000
69000;20.87000
69300;20.73000
69600;20.87000
69900;20.73000
70200;20.94000
70500;20.89000
70800;20.89000
71100;20.91000
71400;20.73000
71700;20.85000
72000;20.96000
72300;20.71000
72600;20.71000
72900;20.78000
73200;20.68000
73500;20.85000
73800;20.76000
74100;20.89000
74400;20.73000
74700;20.78000
75000;20.68000
75300;20.78000
75600;20.78000
75900;20.63000
76200;20.78000
76500;20.78000
76800;20.76000
77100;20.76000
77400;20.89000
77700;20.78000
78000;20.80000
78300;20.71000
78600;20.71000
78900;20.68000
79200;20.78000
79500;20.71000
79800;20.71000
80100;20.68000
80400;20.73000
80700;20.66000
81000;20.78000
81300;20.68000
81600;20.68000
81900;20.80000
82200;20.80000
82500;20.73000
82800;20.63000
83100;20.66000
83400;20.73000
83700;20.71000
84000;20.61000
84300;20.78000
84600;20.63000
84900;20.63000
85200;20.68000
85500;20.66000
85800;20.68000
86100;20.10000
