time_seconds;temperature
0;22.06000
300;22.10000
600;22.19000
900;22.06000
1200;22.01000
1500;22.06000
1800;22.08000
2100;22.04000
2400;22.06000
2700;22.10000
3000;22.10000
3300;21.99000
3600;22.04000
3900;22.10000
4200;21.92000
4500;22.06000
4800;22.08000
5100;22.06000
5400;22.17000
5700;22.10000
6000;21.99000
6300;21.97000
6600;21.97000
6900;22.08000
7200;22.10000
7500;21.97000
7800;22.08000
8100;21.95000
8400;21.97000
8700;21.95000
9000;22.04000
9300;21.97000
9600;21.99000
9900;21.95000
10200;21.95000
10500;22.06000
10800;21.99000
11100;21.99000
11400;22.06000
11700;21.97000
12000;21.97000
12300;21.95000
12600;21.90000
12900;21.87000
13200;21.92000
13500;22.01000
13800;21.95000
14100;21.87000
14400;21.85000
14700;21.97000
15000;21.97000
15300;21.92000
15600;21.90000
15900;21.95000
16200;21.85000
16500;21.90000
16800;22.01000
17100;21.92000
17400;22.01000
17700;21.92000
18000;22.58000
18300;22.82000
18600;23.04000
18900;23.06000
19200;23.02000
19500;22.94000
19800;22.94000
20100;22.94000
20400;22.87000
20700;22.75000
21000;23.02000
21300;22.92000
21600;22.70000
21900;22.80000
22200;22.80000
22500;22.80000
22800;22.75000
23100;22.70000
23400;22.82000
23700;22.75000
24000;22.70000
24300;22.78000
24600;22.58000
24900;22.70000
25200;22.70000
25500;22.61000
25800;22.68000
26100;22.58000
26400;22.66000
26700;22.54000
27000;22.44000
27300;22.58000
27600;22.51000
27900;22.54000
28200;22.58000
28500;22.56000
28800;22.47000
29100;22.10000
29400;21.95000
29700;22.08000
30000;22.08000
30300;22.10000
30600;22.13000
30900;22.19000
31200;22.22000
31500;22.44000
31800;22.54000
32100;22.73000
32400;22.82000
32700;23.02000
33000;23.02000
33300;22.94000
33600;23.02000
33900;23.04000
34200;22.94000
34500;22.97000
34800;22.97000
35100;22.97000
35400;23.06000
35700;22.97000
36000;22.82000
36300;22.90000
36600;23.16000
36900;22.90000
37200;23.06000
37500;23.09000
37800;22.82000
38100;23.04000
38400;23.20000
38700;23.06000
39000;23.09000
39300;23.20000
39600;23.06000
39900;23.14000
40200;23.16000
40500;23.18000
40800;23.14000
41100;23.27000
41400;23.20000
41700;23.16000
42000;23.06000
42300;23.09000
42600;23.27000
42900;23.23000
43200;23.11000
43500;23.34000
43800;23.29000
44100;23.25000
44400;23.82000
44700;23.29000
45000;23.25000
45300;23.36000
45600;23.27000
45900;23.27000
46200;23.41000
46500;23.32000
46800;23.32000
47100;23.41000
47400;23.32000
47700;23.45000
48000;23.38000
48300;23.41000
48600;23.38000
48900;23.45000
49200;23.50000
49500;23.43000
49800;23.25000
50100;22.87000
50400;22.99000
50700;23.32000
51000;23.38000
51300;23.45000
51600;23.20000
51900;23.20000
52200;22.99000
52500;23.14000
52800;23.18000
53100;23.18000
53400;23.20000
53700;23.25000
54000;23.14000
54300;23.23000
54600;23.14000
54900;23.02000
55200;22.85000
55500;22.94000
55800;22.90000
56100;22.87000
56400;22.99000
56700;23.06000
57000;23.09000
57300;22.94000
57600;22.87000
57900;23.20000
58200;23.11000
58500;22.92000
58800;23.14000
59100;23.06000
59400;23.02000
59700;23.16000
60000;23.25000
60300;23.02000
60600;22.94000
60900;22.92000
61200;23.94000
61500;23.04000
61800;23.16000
62100;23.11000
62400;23.02000
62700;23.06000
63000;22.97000
63300;23.14000
63600;23.16000
63900;25.46000
64200;23.23000
64500;23.14000
64800;23.16000
65100;23.18000
65400;23.20000
65700;23.23000
66000;23.20000
66300;23.23000
66600;23.25000
66900;23.11000
67200;23.14000
67500;23.16000
67800;23.29000
68100;23.23000
68400;23.14000
68700;23.04000
69000;23.14000
69300;23.04000
69600;23.18000
69900;23.11000
70200;23.09000
70500;22.99000
70800;23.09000
71100;23.25000
71400;23.06000
71700;22.94000
72000;22.97000
72300;23.04000
72600;23.11000
72900;22.90000
73200;22.82000
73500;22.92000
73800;23.02000
74100;23.09000
74400;22.85000
74700;22.90000
75000;22.80000
75300;23.02000
75600;22.47000
75900;22.33000
76200;22.19000
76500;22.24000
76800;22.33000
77100;22.31000
77400;22.04000
77700;22.17000
78000;22.17000
78300;22.24000
78600;22.10000
78900;22.06000
79200;21.97000
79500;21.97000
79800;21.92000
80100;21.99000
80400;22.10000
80700;22.06000
81000;21.97000
81300;21.99000
81600;21.97000
81900;21.92000
82200;21.95000
82500;22.04000
82800;21.85000
83100;21.95000
83400;22.04000
83700;22.04000
84000;22.01000
84300;21.95000
84600;21.90000
84900;21.92000
85200;21.83000
85500;21.85000
85800;21.95000
86100;21.80000
