time_seconds;temperature
0;60.85312
300;60.67145
600;60.67406
900;60.67532
1200;60.67591
1500;60.67621
1800;60.67624
2100;60.67624
2400;60.67624
2700;60.67624
3000;60.67624
3300;60.67624
3600;60.67624
3900;60.67624
4200;60.67624
4500;60.67624
4800;60.69962
5100;60.95196
5400;61.19947
5700;61.33575
6000;61.40267
6300;61.43505
6600;61.45072
6900;61.45820
7200;61.46181
7500;61.46354
7800;61.46437
8100;61.46478
8400;61.46489
8700;61.46489
9000;61.46489
9300;61.46489
9600;61.46489
9900;61.46489
10200;61.46489
10500;61.46489
10800;61.46489
11100;61.46489
11400;61.46489
11700;61.46489
12000;61.46489
12300;61.46489
12600;61.46489
12900;61.46489
13200;61.46489
13500;61.46489
13800;61.46489
14100;61.46489
14400;62.26228
14700;62.26228
15000;62.26228
15300;62.26228
15600;62.26228
15900;62.26228
16200;62.26228
16500;62.26228
16800;62.26228
17100;62.26228
17400;62.26228
17700;62.26228
18000;62.26228
18300;62.26228
18600;62.26228
18900;62.26228
19200;62.26228
19500;62.26228
19800;62.26228
20100;62.26228
20400;62.26228
20700;62.26228
21000;62.26228
21300;62.26228
21600;62.26228
21900;62.26228
22200;62.26228
22500;62.26228
22800;62.26228
23100;62.26228
23400;62.26228
23700;62.26228
24000;62.26228
24300;62.26228
24600;62.26228
24900;62.26228
25200;62.26228
25500;62.28418
25800;62.48852
26100;62.68210
26400;62.78733
26700;62.83899
27000;62.86012
27300;62.71842
27600;62.50642
27900;62.38246
28200;62.32060
28500;62.29048
28800;62.27596
29100;62.26898
29400;62.26561
29700;62.26401
30000;62.26324
30300;62.26287
30600;62.26273
30900;62.26273
31200;62.26273
31500;62.23529
31800;62.01901
32100;61.82012
32400;61.71410
32700;61.66152
33000;61.63609
33300;61.62382
33600;61.61797
33900;61.61512
34200;61.61378
34500;61.61312
34800;61.57464
35100;61.34764
35400;61.16544
35700;61.06720
36000;61.01960
36300;60.99664
36600;60.98608
36900;60.97923
37200;60.84215
37500;60.61936
37800;60.48907
38100;60.42294
38400;60.39150
38700;60.37594
39000;60.33768
39300;60.12603
39600;59.94649
39900;59.85039
40200;59.80321
40500;59.78026
40800;59.76932
41100;59.76398
41400;59.76146
41700;59.75885
42000;59.63039
42300;59.41267
42600;59.28271
42900;59.21744
43200;59.18570
43500;59.17053
43800;59.16312
44100;59.15963
44400;59.15793
44700;59.15167
45000;59.00040
45300;58.79609
45600;58.67882
45900;58.62018
46200;58.59179
46500;58.57816
46800;58.57155
47100;58.56841
47400;58.56688
47700;58.56615
48000;58.56580
48300;58.56563
48600;58.56557
48900;58.56557
49200;58.56031
49500;58.40595
49800;58.20314
50100;58.08717
50400;58.02870
50700;58.00087
51000;57.98708
51300;57.98064
51600;57.97745
51900;57.97596
52200;57.97523
52500;57.97489
52800;57.97472
53100;57.97467
53400;57.97467
53700;57.97467
54000;57.97467
54300;57.97467
54600;57.97467
54900;57.97467
55200;57.97467
55500;57.97467
55800;57.97467
56100;57.97467
56400;57.97467
56700;57.97467
57000;57.97467
57300;57.97467
57600;57.97467
57900;57.97467
58200;57.97467
58500;57.97467
58800;57.97467
59100;57.97467
59400;57.97467
59700;57.97467
60000;57.97467
60300;57.97467
60600;57.97467
60900;57.97467
61200;57.97772
61500;58.11916
61800;58.32623
62100;58.53981
62400;58.81839
62700;58.98935
63000;59.07573
63300;59.11762
63600;59.13779
63900;59.14745
64200;59.15207
64500;59.15430
64800;59.15536
65100;59.15588
65400;59.15612
65700;59.15624
66000;59.18773
66300;59.39397
66600;59.57317
66900;59.66830
67200;59.71524
67500;59.73806
67800;59.74893
68100;59.75422
68400;59.75673
68700;59.75795
69000;59.75853
69300;59.75882
69600;59.75888
69900;59.76123
70200;59.89770
70500;60.11354
70800;60.23889
71100;60.30279
71400;60.33318
71700;60.34813
72000;60.35519
72300;60.35865
72600;60.36028
72900;60.36107
73200;60.36144
73500;60.36161
73800;60.36161
74100;60.36161
74400;60.36161
74700;60.36161
75000;60.36161
75300;60.36161
75600;60.36161
75900;60.36161
76200;60.36161
76500;60.36161
76800;60.36161
77100;60.36161
77400;60.36161
77700;60.36161
78000;60.36161
78300;60.36161
78600;60.36161
78900;60.36161
79200;60.36161
79500;60.36161
79800;60.36161
80100;60.36161
80400;60.36161
80700;60.36161
81000;60.36161
81300;60.36161
81600;60.36161
81900;60.36161
82200;60.36161
82500;60.36161
82800;60.36161
83100;60.36161
83400;60.36161
83700;60.36161
84000;60.36161
84300;60.36161
84600;60.36161
84900;60.36161
85200;60.36161
85500;60.36161
85800;60.36161
86100;60.36161
