time_seconds;temperature
0;20.54000
300;20.68000
600;20.66000
900;20.54000
1200;20.56000
1500;20.56000
1800;20.61000
2100;20.44000
2400;20.56000
2700;20.34000
3000;20.51000
3300;20.61000
3600;20.54000
3900;20.71000
4200;20.73000
4500;20.58000
4800;20.44000
5100;20.56000
5400;20.66000
5700;20.51000
6000;20.56000
6300;20.61000
6600;20.51000
6900;20.51000
7200;20.44000
7500;20.56000
7800;20.46000
8100;20.56000
8400;20.51000
8700;20.68000
9000;20.56000
9300;20.51000
9600;20.39000
9900;20.61000
10200;20.68000
10500;20.61000
10800;20.58000
11100;20.58000
11400;20.46000
11700;20.61000
12000;20.51000
12300;20.61000
12600;20.54000
12900;20.61000
13200;20.49000
13500;20.61000
13800;20.44000
14100;20.51000
14400;20.61000
14700;20.51000
15000;20.46000
15300;20.54000
15600;20.39000
15900;20.51000
16200;20.58000
16500;20.58000
16800;20.51000
17100;20.46000
17400;20.46000
17700;20.39000
86400;20.44000
86700;20.36000
87000;20.44000
87300;20.44000
87600;20.56000
87900;20.46000
88200;20.44000
88500;20.41000
88800;20.49000
89100;20.49000
89400;20.41000
89700;20.44000
90000;20.36000
90300;20.39000
90600;20.39000
90900;20.36000
91200;20.46000
91500;20.46000
91800;20.46000
92100;20.46000
92400;20.49000
92700;20.49000
93000;20.39000
93300;20.46000
93600;20.44000
93900;20.46000
94200;20.41000
94500;20.46000
94800;20.36000
95100;20.46000
95400;20.46000
95700;20.41000
96000;20.44000
96300;20.51000
96600;20.34000
96900;20.41000
97200;20.51000
97500;20.34000
97800;20.29000
98100;20.46000
98400;20.36000
98700;20.41000
99000;20.36000
99300;20.49000
99600;20.41000
99900;20.46000
100200;20.34000
100500;20.24000
100800;20.44000
101100;20.49000
101400;20.44000
101700;20.41000
102000;20.41000
102300;20.39000
102600;20.34000
102900;20.49000
103200;20.41000
103500;20.44000
103800;20.41000
104100;20.54000
172800;21.10000
173100;21.10000
173400;21.03000
173700;20.98000
174000;21.05000
174300;21.05000
174600;21.05000
174900;21.03000
175200;20.91000
175500;20.89000
175800;20.89000
176100;21.07000
176400;21.00000
176700;20.89000
177000;20.87000
177300;20.98000
177600;20.94000
177900;20.98000
178200;20.94000
178500;20.96000
178800;20.98000
179100;21.00000
179400;21.12000
179700;20.91000
180000;20.94000
180300;21.03000
180600;20.94000
180900;20.91000
181200;20.94000
181500;20.94000
181800;20.85000
182100;20.94000
182400;20.82000
182700;20.94000
183000;20.96000
183300;20.78000
183600;20.89000
183900;20.85000
184200;20.91000
184500;20.98000
184800;20.96000
185100;20.89000
185400;20.96000
185700;20.89000
186000;20.89000
186300;20.85000
186600;20.87000
186900;20.87000
187200;20.91000
187500;20.78000
187800;20.87000
188100;20.89000
188400;20.85000
188700;20.89000
189000;20.78000
189300;20.91000
189600;20.71000
189900;20.68000
190200;20.85000
190500;20.85000
259200;21.00000
259500;20.98000
259800;20.94000
260100;20.94000
260400;21.05000
260700;21.03000
261000;20.89000
261300;21.03000
261600;20.96000
261900;20.91000
262200;20.91000
262500;20.98000
262800;20.91000
263100;20.89000
263400;20.91000
263700;20.96000
264000;20.85000
264300;20.87000
264600;20.87000
264900;20.98000
265200;20.94000
265500;20.89000
265800;20.94000
266100;20.85000
266400;21.00000
266700;20.91000
267000;20.76000
267300;21.00000
267600;21.00000
267900;20.80000
268200;20.94000
268500;20.87000
268800;20.89000
269100;20.76000
269400;20.87000
269700;20.78000
270000;20.98000
270300;20.82000
270600;20.89000
270900;20.85000
271200;20.78000
271500;20.85000
271800;20.76000
272100;20.94000
272400;20.89000
272700;20.82000
273000;20.78000
273300;20.89000
273600;20.73000
273900;20.76000
274200;20.82000
274500;20.82000
274800;20.82000
275100;20.87000
275400;20.78000
275700;20.80000
276000;20.82000
276300;20.71000
276600;20.76000
276900;20.85000
345600;20.91000
345900;21.03000
346200;20.96000
346500;21.05000
346800;21.03000
347100;20.96000
347400;21.03000
347700;21.03000
348000;20.87000
348300;21.00000
348600;20.98000
348900;21.03000
349200;20.96000
349500;20.96000
349800;20.89000
350100;21.03000
350400;20.87000
350700;20.87000
351000;20.91000
351300;21.05000
351600;20.96000
351900;20.94000
352200;20.87000
352500;20.87000
352800;20.91000
353100;21.03000
353400;20.91000
353700;20.89000
354000;20.76000
354300;20.80000
354600;20.94000
354900;20.98000
355200;20.94000
355500;20.87000
355800;20.89000
356100;20.94000
356400;20.94000
356700;20.96000
357000;20.96000
357300;20.94000
357600;20.87000
357900;21.00000
358200;20.80000
358500;20.91000
358800;20.91000
359100;20.91000
359400;21.07000
359700;20.91000
360000;21.05000
360300;21.03000
360600;20.98000
360900;21.05000
361200;20.89000
361500;20.96000
361800;20.96000
362100;21.03000
362400;21.00000
362700;20.91000
363000;21.00000
363300;20.96000
432000;21.05000
432300;21.10000
432600;21.07000
432900;21.14000
433200;21.10000
433500;21.03000
433800;21.16000
434100;21.05000
434400;21.03000
434700;21.05000
435000;20.98000
435300;21.00000
435600;20.94000
435900;21.05000
436200;21.00000
436500;20.98000
436800;21.03000
437100;21.07000
437400;21.00000
437700;21.05000
438000;21.03000
438300;21.05000
438600;21.03000
438900;20.87000
439200;20.91000
439500;20.94000
439800;20.85000
440100;20.89000
440400;20.91000
440700;21.00000
441000;20.82000
441300;21.00000
441600;20.85000
441900;20.96000
442200;20.96000
442500;20.89000
442800;21.03000
443100;21.03000
443400;21.00000
443700;20.89000
444000;20.89000
444300;20.85000
444600;20.82000
444900;20.89000
445200;20.87000
445500;20.87000
445800;20.94000
446100;20.91000
446400;20.91000
446700;20.82000
447000;20.89000
447300;20.91000
447600;20.96000
447900;20.82000
448200;20.73000
448500;20.94000
448800;20.89000
449100;20.87000
449400;20.91000
449700;20.91000
518400;20.89000
518700;20.87000
519000;20.91000
519300;21.03000
519600;21.05000
519900;21.12000
520200;20.91000
520500;20.94000
520800;20.29000
521100;20.87000
521400;20.98000
521700;20.94000
522000;20.85000
522300;20.96000
522600;20.87000
522900;20.89000
523200;20.89000
523500;20.94000
523800;20.98000
524100;20.98000
524400;20.85000
524700;20.94000
525000;20.98000
525300;20.89000
525600;20.87000
525900;20.87000
526200;20.73000
526500;20.85000
526800;20.89000
527100;20.71000
527400;20.89000
527700;20.76000
528000;20.82000
528300;20.78000
528600;20.85000
528900;20.76000
529200;20.76000
529500;20.80000
529800;20.82000
530100;20.78000
530400;20.85000
530700;20.80000
531000;20.71000
531300;20.76000
531600;20.76000
531900;20.94000
532200;20.66000
532500;20.68000
532800;20.61000
533100;20.78000
533400;20.61000
533700;20.71000
534000;20.73000
534300;20.73000
534600;20.63000
534900;20.73000
535200;20.71000
535500;20.80000
535800;20.76000
536100;20.73000
