time_seconds;temperature
0;40.18166
300;40.18166
600;40.18166
900;40.18166
1200;40.18166
1500;40.18166
1800;40.18166
2100;40.18166
2400;40.18166
2700;40.18166
3000;40.18166
3300;40.18166
3600;40.18166
3900;40.18166
4200;40.18166
4500;40.18166
4800;40.18166
5100;40.18166
5400;40.18166
5700;40.18166
6000;40.18166
6300;40.18166
6600;40.18166
6900;40.18166
7200;40.18166
7500;40.18166
7800;40.18166
8100;40.18166
8400;40.18166
8700;40.18166
9000;40.18166
9300;40.18166
9600;40.18166
9900;40.18166
10200;40.18166
10500;40.18166
10800;40.18166
11100;40.18166
11400;40.18166
11700;40.18166
12000;40.18166
12300;40.18166
12600;40.18166
12900;40.18166
13200;40.18166
13500;40.18166
13800;40.18166
14100;40.18166
14400;40.18166
14700;40.24092
15000;40.38291
15300;40.46601
15600;40.50509
15900;40.52238
16200;40.53016
16500;40.53357
16800;40.53510
17100;40.53578
17400;40.53607
17700;40.53620
86400;40.17751
86700;40.17988
87000;40.18094
87300;40.18140
87600;40.18161
87900;40.18166
88200;40.18166
88500;40.18166
88800;40.18166
89100;40.18166
89400;40.18166
89700;40.18166
90000;40.18166
90300;40.18166
90600;40.19014
90900;40.30886
91200;40.42805
91500;40.48752
91800;40.51474
92100;40.52673
92400;40.53206
92700;40.53442
93000;40.53548
93300;40.53594
93600;40.53615
93900;40.53620
94200;40.53620
94500;40.53620
94800;40.53620
95100;40.53620
95400;40.53620
95700;40.53620
96000;40.53620
96300;40.53620
96600;40.53620
96900;40.53620
97200;40.53620
97500;40.59478
97800;40.73083
98100;40.80982
98400;40.84705
98700;40.86371
99000;40.87126
99300;40.87456
99600;40.87605
99900;40.90464
100200;41.03763
100500;41.13358
100800;41.18055
101100;41.20134
101400;41.21071
101700;41.21483
102000;41.21668
102300;41.21748
102600;41.21784
102900;41.21800
103200;41.21802
103500;41.21802
103800;41.21802
104100;41.21802
172800;39.48620
173100;39.48620
173400;39.48620
173700;39.48620
174000;39.48620
174300;39.48620
174600;39.48620
174900;39.48620
175200;39.48620
175500;39.48620
175800;39.48620
176100;39.53275
176400;39.67265
176700;39.76174
177000;39.80498
177300;39.82454
177600;39.83351
177900;39.84367
178200;39.95147
178500;40.06840
178800;40.12993
179100;40.15808
179400;40.17113
179700;40.21351
180000;40.45729
180300;40.67283
180600;40.78400
180900;40.83469
181200;40.85613
181500;40.77554
