time_seconds;temperature
0;22.35000
300;22.31000
600;22.33000
900;22.29000
1200;22.19000
1500;22.15000
1800;22.29000
2100;22.24000
2400;22.17000
2700;22.10000
3000;22.24000
3300;22.13000
3600;22.19000
3900;22.10000
4200;22.29000
4500;22.33000
4800;22.24000
5100;22.26000
5400;22.17000
5700;22.29000
6000;22.33000
6300;22.10000
6600;22.24000
6900;22.24000
7200;22.19000
7500;22.19000
7800;22.19000
8100;22.35000
8400;22.24000
8700;22.26000
9000;22.22000
9300;22.35000
9600;22.29000
9900;22.08000
10200;22.17000
10500;22.31000
10800;22.33000
11100;22.29000
11400;22.33000
11700;22.29000
12000;22.19000
12300;22.22000
12600;22.19000
12900;22.06000
13200;22.26000
13500;22.13000
13800;22.22000
14100;22.19000
14400;22.29000
14700;22.33000
15000;22.29000
15300;22.22000
15600;22.31000
15900;22.17000
16200;22.22000
16500;22.42000
16800;22.19000
17100;22.38000
17400;22.24000
17700;22.19000
18000;22.24000
18300;22.40000
18600;22.31000
18900;22.24000
19200;22.24000
19500;22.42000
19800;22.26000
20100;22.22000
20400;22.24000
20700;22.29000
21000;22.19000
21300;22.19000
21600;22.19000
21900;22.17000
22200;22.10000
22500;22.13000
22800;22.04000
23100;22.06000
23400;22.04000
23700;22.08000
24000;21.95000
24300;22.06000
24600;22.06000
24900;22.19000
25200;22.04000
25500;22.08000
25800;22.10000
26100;21.97000
26400;22.17000
26700;22.24000
27000;22.38000
27600;22.44000
27900;22.40000
28200;22.33000
28500;22.51000
28800;22.51000
29100;22.42000
29400;22.44000
29700;22.51000
30000;22.51000
30300;22.42000
30600;22.40000
30900;22.42000
31200;22.42000
31500;22.38000
31800;22.68000
32100;22.58000
32400;22.61000
32700;22.08000
33000;22.66000
33300;22.49000
33600;22.58000
33900;22.47000
34200;22.44000
34500;22.58000
34800;22.54000
35100;22.54000
35400;22.58000
35700;22.58000
36000;22.51000
36300;22.66000
36600;22.47000
36900;22.40000
37200;22.56000
37500;22.58000
37800;22.51000
38100;22.80000
38400;22.56000
38700;22.56000
39000;22.58000
39300;22.61000
39600;22.63000
39900;22.51000
40200;22.68000
40500;22.63000
40800;22.63000
41100;22.61000
41400;22.68000
41700;22.63000
42000;22.58000
42300;22.70000
42600;22.70000
42900;22.70000
43200;22.58000
43500;22.70000
43800;22.68000
44100;22.66000
44400;22.58000
44700;22.56000
45000;22.73000
45300;22.75000
45600;22.78000
45900;22.70000
46200;22.78000
46500;22.75000
46800;22.63000
47100;22.58000
47400;22.78000
47700;22.63000
48000;22.61000
48300;22.68000
48600;22.75000
48900;22.80000
49200;22.90000
49500;22.66000
49800;22.66000
50100;22.68000
50400;22.58000
50700;22.70000
51000;22.82000
51600;22.78000
51900;22.85000
52200;22.73000
52500;22.70000
52800;22.90000
53100;22.80000
53400;22.90000
53700;22.68000
54000;22.70000
54300;22.78000
54600;22.87000
54900;22.97000
55200;22.97000
55500;22.99000
55800;22.97000
56100;22.92000
56400;23.04000
56700;23.11000
57000;23.36000
57300;23.25000
57600;23.38000
57900;23.36000
58200;23.32000
58500;23.41000
58800;23.18000
59100;22.99000
59400;22.99000
59700;23.20000
60000;23.09000
60300;22.99000
60600;23.04000
60900;23.04000
61200;23.02000
61500;22.99000
61800;23.14000
62100;23.04000
62400;22.94000
62700;23.11000
63000;22.99000
63300;23.11000
63600;22.99000
63900;22.99000
64200;23.04000
64500;22.90000
64800;22.97000
65100;22.90000
65400;22.85000
65700;22.92000
66000;22.82000
66300;22.90000
66600;22.90000
66900;22.90000
67200;22.87000
67500;22.75000
67800;22.70000
68100;22.92000
68400;22.82000
68700;22.85000
69000;22.87000
69300;22.80000
69600;22.92000
69900;22.92000
70200;22.82000
70500;22.82000
70800;22.80000
71100;22.87000
71400;22.75000
71700;22.97000
72000;22.82000
72300;22.80000
72600;22.80000
72900;22.78000
73200;22.78000
73500;22.70000
73800;22.75000
74100;22.73000
74400;22.63000
74700;22.73000
75000;22.75000
75300;22.78000
75600;22.80000
75900;22.66000
76200;22.58000
76500;22.80000
76800;22.68000
77100;22.80000
77400;22.82000
77700;22.78000
78000;22.73000
78300;22.68000
78600;22.80000
78900;22.68000
79200;22.73000
79500;22.63000
79800;22.70000
80100;22.70000
80400;22.63000
80700;22.78000
81000;22.78000
81300;22.68000
81600;22.63000
81900;22.73000
82200;22.58000
82500;22.66000
82800;23.54000
83100;22.92000
83400;22.92000
83700;22.70000
84000;22.75000
84300;22.73000
84600;22.75000
84900;22.80000
85200;22.73000
85500;22.63000
85800;22.63000
86100;22.66000
