time_seconds;temperature
0;22.56000
300;22.51000
900;22.49000
1200;22.56000
1500;22.61000
1800;22.49000
2100;22.63000
2400;22.40000
2700;22.56000
3000;22.44000
3300;22.44000
3600;22.44000
3900;22.56000
4200;22.42000
4500;22.44000
4800;22.33000
5100;22.38000
5400;22.47000
5700;22.33000
6000;22.35000
6300;22.44000
6600;22.44000
6900;22.33000
7200;22.29000
7500;22.24000
7800;22.26000
8100;22.33000
8400;22.42000
8700;22.29000
9000;22.31000
9300;22.44000
9600;22.31000
9900;22.29000
10200;22.38000
10500;22.38000
10800;22.26000
11100;22.24000
11400;22.15000
11700;22.13000
12000;22.24000
12300;22.19000
12600;22.31000
12900;22.15000
13200;22.01000
13500;22.15000
13800;22.22000
14100;22.29000
14400;22.15000
14700;22.15000
15000;22.01000
15300;22.10000
15600;22.10000
15900;21.97000
16200;22.10000
16500;22.24000
16800;22.24000
17100;22.33000
17400;22.19000
17700;22.31000
18000;23.43000
18300;22.49000
18600;22.26000
18900;22.15000
19200;22.08000
19500;22.19000
19800;22.17000
20100;22.24000
20400;22.26000
20700;22.29000
21000;22.19000
21300;22.35000
21600;22.19000
21900;22.17000
22200;22.08000
22500;22.17000
22800;22.13000
23100;22.17000
23400;22.06000
23700;22.24000
24000;22.22000
24300;22.31000
24600;22.17000
24900;22.10000
25200;22.24000
25500;22.26000
25800;22.15000
26100;22.19000
26400;22.19000
26700;22.08000
27000;22.01000
27300;22.01000
27600;22.04000
27900;22.08000
28200;22.13000
28500;22.19000
28800;22.13000
29100;22.24000
29400;22.17000
29700;22.19000
30000;22.10000
30300;22.08000
30600;22.19000
30900;22.08000
31200;22.06000
31500;22.19000
31800;22.22000
32100;22.22000
32400;22.29000
32700;22.15000
33000;22.31000
33300;22.29000
33600;22.10000
33900;22.15000
34200;22.10000
34500;22.19000
34800;22.13000
35100;22.13000
35400;22.15000
35700;22.17000
36000;22.04000
36300;22.15000
36600;22.01000
36900;22.13000
37200;21.95000
37500;22.06000
37800;22.13000
38100;22.26000
38400;22.19000
38700;21.97000
39000;22.04000
39300;22.04000
39600;22.04000
39900;22.17000
40200;22.06000
40500;22.01000
40800;22.08000
41100;21.97000
41400;21.90000
41700;21.95000
42000;21.97000
42300;21.00000
42600;21.95000
42900;22.10000
43200;22.17000
43500;22.17000
43800;22.13000
44100;22.31000
44400;21.97000
44700;22.26000
45000;22.29000
45300;22.17000
45600;22.29000
45900;22.35000
46200;22.38000
46500;22.24000
46800;22.29000
47100;22.29000
47400;22.44000
47700;22.38000
48000;22.35000
48300;22.29000
48600;22.35000
48900;22.24000
49200;22.31000
49500;22.42000
49800;22.29000
50100;22.33000
50400;22.51000
50700;22.42000
51000;22.44000
51300;22.35000
51600;22.49000
51900;22.47000
52200;22.44000
52500;22.44000
52800;22.51000
53100;22.51000
53400;22.47000
53700;22.54000
54000;22.42000
54300;22.42000
54600;22.49000
54900;22.49000
55200;22.51000
55500;22.44000
55800;22.66000
56100;22.54000
56400;22.56000
56700;22.66000
57000;22.47000
57300;22.58000
57600;22.68000
57900;22.63000
58200;22.73000
58500;22.85000
58800;22.82000
59100;23.04000
59400;23.02000
59700;22.90000
60000;22.75000
60300;22.87000
60600;22.92000
60900;22.97000
61200;22.97000
61500;22.80000
61800;22.94000
62100;22.87000
62400;22.90000
62700;23.09000
63000;22.75000
63300;22.85000
63600;23.04000
63900;22.94000
64200;22.82000
64500;22.85000
64800;22.85000
65100;22.80000
65400;22.78000
65700;22.78000
66000;22.87000
66300;22.80000
66600;22.87000
66900;22.85000
67200;22.75000
67500;22.90000
67800;22.80000
68100;22.80000
68400;22.75000
68700;22.85000
69000;22.63000
69300;22.68000
69600;22.68000
69900;22.68000
70200;22.63000
70500;22.56000
70800;22.51000
71100;22.73000
71400;22.61000
71700;22.51000
72000;22.49000
72300;22.44000
72600;22.47000
72900;22.49000
73200;22.49000
73500;22.38000
73800;22.44000
74100;22.44000
74400;22.38000
74700;22.38000
75000;22.42000
75300;22.24000
75600;22.54000
75900;22.56000
76200;22.70000
76500;22.61000
76800;22.58000
77100;22.54000
77400;22.66000
77700;22.61000
78000;22.51000
78300;22.66000
78600;22.68000
78900;22.61000
79200;22.63000
79500;22.63000
79800;22.80000
80100;22.56000
80400;22.66000
80700;22.58000
81000;22.63000
81300;22.63000
81600;22.73000
81900;22.61000
82200;22.63000
82500;22.68000
82800;23.61000
83100;22.87000
83400;22.63000
83700;22.68000
84000;22.56000
84300;22.47000
84600;22.51000
84900;22.38000
85200;22.49000
85500;22.40000
85800;22.42000
86100;22.35000
86400;22.33000
86700;22.29000
87000;22.29000
87300;22.19000
87600;22.19000
87900;22.33000
88200;22.15000
88500;22.17000
88800;22.10000
89100;22.08000
89400;22.19000
89700;22.15000
90000;22.01000
90300;22.17000
90600;22.13000
90900;22.13000
91200;22.10000
91500;22.13000
91800;22.08000
92100;22.10000
92400;22.01000
92700;22.10000
93000;21.97000
93300;21.95000
93600;21.99000
