time_seconds;temperature
0;18.36000
300;18.31000
600;18.24000
900;18.22000
1200;18.12000
1500;18.24000
1800;18.24000
2100;18.31000
2400;18.26000
2700;18.19000
3000;18.19000
3300;18.31000
3600;17.72000
3900;18.24000
4200;18.29000
4500;18.29000
4800;18.29000
5100;18.24000
5400;18.12000
5700;18.19000
6000;18.24000
6300;18.22000
6600;18.14000
6900;18.24000
7200;18.31000
7500;18.17000
7800;18.22000
8100;18.29000
8400;18.22000
8700;18.14000
9000;18.07000
9300;18.19000
9600;18.14000
9900;18.07000
10200;18.17000
10500;18.03000
10800;18.17000
11100;18.19000
11400;18.12000
11700;18.00000
12000;18.14000
12300;18.10000
12600;18.03000
12900;18.05000
13200;18.07000
13500;18.17000
13800;18.17000
14100;18.22000
14400;18.19000
14700;18.12000
15000;17.98000
15300;18.17000
15600;18.00000
15900;18.17000
16200;18.12000
16500;18.07000
16800;18.10000
17100;18.03000
17400;17.95000
17700;18.10000
18000;18.07000
18300;18.12000
18600;18.05000
18900;17.98000
19200;18.10000
19500;18.05000
19800;18.07000
20100;18.05000
20400;18.03000
20700;18.10000
21000;18.03000
21300;18.03000
21600;18.17000
21900;18.14000
22200;17.95000
22500;18.22000
22800;18.07000
23100;18.22000
23400;17.91000
23700;18.03000
24000;18.12000
24300;18.12000
24600;18.03000
24900;17.98000
25200;18.00000
25500;18.00000
25800;18.10000
26100;18.07000
26400;17.95000
26700;17.95000
27000;18.07000
27300;18.03000
27600;18.05000
27900;18.05000
28200;17.95000
28500;17.98000
28800;17.93000
29100;18.07000
29400;18.03000
29700;18.07000
30000;18.07000
30300;17.95000
30600;18.10000
30900;17.88000
31200;18.03000
31500;17.95000
31800;18.07000
32100;17.95000
32400;18.10000
32700;18.10000
33000;17.98000
33300;18.00000
33600;17.98000
33900;18.00000
34200;18.07000
34500;18.10000
34800;18.03000
35100;18.10000
35400;17.98000
35700;18.07000
36000;18.12000
36300;17.98000
36600;18.10000
36900;18.05000
37200;17.98000
37500;18.00000
37800;18.10000
38100;17.98000
38400;18.10000
38700;18.07000
39000;18.03000
39300;18.07000
39600;17.57000
39900;18.07000
40200;18.05000
40500;18.00000
40800;18.07000
41100;17.88000
41400;18.12000
41700;18.12000
42000;18.05000
42300;18.17000
42600;18.05000
42900;18.07000
43200;18.17000
43500;18.29000
43800;18.41000
44100;18.43000
44400;18.31000
44700;18.46000
45000;18.58000
45300;18.53000
45600;18.60000
45900;18.48000
46200;18.63000
46500;18.63000
46800;18.68000
47100;18.70000
47400;18.75000
47700;18.70000
48000;18.70000
48300;18.82000
48600;18.77000
48900;18.82000
49200;19.02000
49500;19.02000
49800;19.31000
50100;19.57000
50400;19.66000
50700;19.91000
51000;19.87000
51300;20.01000
51600;19.96000
51900;20.05000
52200;20.03000
52500;20.05000
52800;20.05000
53100;20.27000
53400;20.17000
53700;20.22000
54000;20.05000
54300;20.17000
54600;20.29000
54900;20.24000
55200;20.22000
55500;20.34000
55800;20.12000
56100;20.32000
56400;20.32000
56700;20.34000
57000;20.24000
57300;20.29000
57600;20.39000
57900;20.49000
58200;20.51000
58500;20.54000
58800;20.71000
59100;20.56000
59400;20.56000
59700;20.41000
60000;20.56000
60300;20.58000
60600;20.58000
60900;20.49000
61200;20.66000
61500;20.58000
61800;20.66000
62100;20.54000
62400;20.22000
62700;19.98000
63000;19.85000
63300;19.85000
63600;19.68000
63900;19.59000
64200;19.59000
64500;19.96000
64800;19.38000
65100;19.45000
65400;19.35000
65700;19.26000
66000;19.35000
66300;19.16000
66600;19.16000
66900;19.16000
67200;19.11000
67500;19.07000
67800;19.09000
68100;19.09000
68400;18.87000
68700;18.97000
69000;19.07000
69300;18.95000
69600;18.80000
69900;18.97000
70200;18.82000
70500;18.97000
70800;18.97000
71100;18.80000
71400;18.92000
71700;18.75000
72000;18.68000
72300;18.80000
72600;18.87000
72900;18.80000
73200;18.75000
73500;18.75000
73800;18.75000
74100;18.75000
74400;18.70000
74700;18.70000
75000;18.65000
75300;18.77000
75600;18.68000
75900;18.60000
76200;18.65000
76500;18.65000
76800;18.58000
77100;18.60000
77400;18.53000
77700;18.41000
78000;18.58000
78300;18.63000
78600;18.58000
78900;18.53000
79200;18.48000
79500;18.58000
79800;18.51000
80100;18.46000
80400;18.38000
80700;18.31000
81000;18.53000
81300;18.48000
81600;18.31000
81900;18.38000
82200;18.58000
82500;18.51000
82800;18.41000
83100;18.48000
83400;18.34000
83700;18.36000
84000;18.46000
84300;18.41000
84600;18.36000
84900;18.46000
85200;18.26000
85500;18.41000
85800;18.38000
86100;18.34000
