time_seconds;temperature
0;19.73000
300;19.85000
600;19.75000
900;19.66000
1200;19.75000
1500;19.82000
1800;19.80000
2100;19.73000
2400;19.71000
2700;19.71000
3000;19.71000
3300;19.78000
3600;19.71000
3900;19.73000
4200;19.71000
4500;19.57000
4800;19.66000
5100;19.73000
5400;19.66000
5700;19.59000
6000;19.80000
6300;19.61000
6600;19.68000
6900;19.73000
7200;19.59000
7500;19.71000
7800;19.71000
8100;19.64000
8400;19.71000
8700;19.66000
9000;19.66000
9300;19.64000
9600;19.73000
9900;19.66000
10200;19.78000
10500;19.71000
10800;19.71000
11100;19.57000
11400;19.68000
11700;19.61000
12000;19.57000
12300;19.61000
12600;19.50000
12900;19.61000
13200;19.61000
13500;19.75000
13800;19.59000
14100;19.66000
14400;19.61000
14700;19.61000
15000;19.61000
15300;19.43000
15600;19.66000
15900;19.75000
16200;19.55000
16500;19.71000
16800;19.64000
17100;19.57000
17400;19.68000
17700;19.64000
18000;19.64000
18300;19.68000
18600;19.57000
18900;19.75000
19200;19.57000
19500;19.55000
19800;19.52000
20100;19.55000
20400;19.59000
20700;19.64000
21000;19.59000
21300;19.57000
21600;19.61000
21900;19.59000
22200;19.61000
22500;19.59000
22800;19.57000
23100;19.68000
23400;19.61000
23700;19.73000
24000;19.57000
24300;19.45000
24600;19.59000
24900;19.61000
25200;19.68000
25500;19.55000
25800;19.59000
26100;19.73000
26400;19.82000
26700;19.94000
27000;19.98000
27300;20.22000
27600;20.29000
27900;20.34000
28200;20.29000
28500;20.46000
28800;20.44000
29100;20.34000
29400;22.56000
29700;20.22000
30000;20.34000
30300;20.32000
30600;20.51000
30900;20.73000
31200;20.73000
31500;20.80000
31800;20.87000
32100;20.78000
32400;20.78000
32700;20.63000
33000;20.61000
33300;20.54000
33600;20.58000
33900;20.56000
34200;20.61000
34500;20.61000
34800;20.56000
35100;20.39000
35400;20.46000
35700;20.36000
36000;20.22000
36300;20.39000
36600;20.24000
36900;20.32000
37200;20.19000
37500;20.36000
37800;20.29000
38100;20.17000
38400;20.29000
38700;20.12000
39000;20.24000
39300;20.22000
39600;20.34000
39900;20.12000
40200;20.27000
40500;20.19000
40800;20.05000
41100;20.19000
41400;20.22000
41700;20.49000
42000;20.51000
42300;20.56000
42600;20.63000
42900;20.51000
43200;20.66000
43500;20.56000
43800;20.68000
44100;20.73000
44400;20.85000
44700;20.96000
45000;20.73000
45300;20.85000
45600;20.87000
45900;20.73000
46200;20.71000
46500;20.71000
46800;20.61000
47100;20.54000
47400;20.58000
47700;20.54000
48000;20.46000
48300;20.41000
48600;20.46000
48900;20.54000
49200;20.44000
49500;20.49000
49800;20.51000
50100;20.51000
50400;20.61000
50700;20.68000
51000;20.56000
51300;20.51000
51600;20.61000
51900;20.46000
52200;20.56000
52500;20.51000
52800;20.63000
53100;20.56000
53400;20.66000
53700;20.68000
54000;20.61000
54300;20.63000
54600;20.46000
54900;20.58000
55200;20.73000
55500;20.73000
55800;20.78000
56100;20.73000
56400;20.82000
56700;20.71000
57000;21.00000
57300;20.94000
57600;20.85000
57900;20.94000
58200;20.80000
58500;20.82000
58800;20.85000
59100;20.63000
59400;20.63000
59700;20.56000
60000;20.51000
60300;20.66000
60600;20.51000
60900;20.66000
61200;20.78000
61500;20.78000
61800;20.87000
62100;20.63000
62400;20.68000
62700;20.78000
63000;20.73000
63300;20.82000
63600;20.71000
63900;20.63000
64200;20.46000
64500;20.44000
64800;20.49000
65100;20.54000
65400;20.58000
65700;20.49000
66000;20.54000
66300;20.49000
66600;20.51000
66900;20.39000
67200;20.44000
67500;20.46000
67800;20.44000
68100;20.44000
68400;20.29000
68700;20.32000
69000;20.34000
69300;20.19000
69600;20.29000
69900;20.24000
70200;20.36000
70500;20.32000
70800;20.34000
71100;20.32000
71400;20.24000
71700;20.27000
72000;20.17000
72300;20.12000
72600;20.24000
72900;20.12000
73200;20.29000
73500;20.17000
73800;20.24000
74100;20.22000
74400;20.12000
74700;20.22000
75000;20.22000
75300;20.24000
75600;20.12000
75900;20.05000
76200;20.12000
76500;20.29000
76800;20.05000
77100;20.22000
77400;20.05000
77700;20.15000
78000;20.24000
78300;20.05000
78600;20.15000
78900;20.05000
79200;20.03000
79500;20.15000
79800;20.03000
80100;20.05000
80400;20.10000
80700;19.96000
81000;19.94000
81300;19.98000
81600;20.08000
81900;20.08000
82200;20.05000
82500;19.91000
82800;20.03000
83100;20.05000
83400;20.10000
83700;20.08000
84000;19.98000
84300;19.98000
84600;19.87000
84900;20.05000
85200;20.05000
85500;20.01000
85800;20.01000
86100;19.87000
