time_seconds;temperature
0;19.89000
300;20.01000
600;20.01000
900;19.91000
1200;19.91000
1500;20.08000
1800;19.98000
2100;19.94000
2400;19.98000
2700;19.80000
3000;19.80000
3300;19.82000
3600;19.94000
3900;19.80000
4200;19.85000
4500;19.96000
4800;19.87000
5100;19.85000
5400;19.89000
5700;19.89000
6000;19.75000
6300;19.94000
6600;19.94000
6900;19.82000
7200;19.78000
7500;19.98000
7800;19.94000
8100;20.01000
8400;19.98000
8700;19.91000
9000;19.85000
9300;20.12000
9600;19.85000
9900;19.82000
10200;19.80000
10500;19.96000
10800;19.89000
11100;19.94000
11400;19.85000
11700;19.85000
12000;19.80000
12300;19.89000
12600;19.80000
12900;19.89000
13200;19.96000
13500;19.82000
13800;19.87000
14100;19.75000
14400;19.78000
14700;19.87000
15000;19.82000
15300;19.80000
15600;19.87000
15900;19.80000
16200;19.91000
16500;19.91000
16800;19.94000
17100;19.89000
17400;19.91000
17700;19.85000
18000;19.80000
18300;19.87000
18600;19.98000
18900;19.98000
19200;19.87000
19500;19.98000
19800;19.87000
20100;19.96000
20400;19.89000
20700;19.94000
21000;19.80000
21300;20.05000
21600;19.98000
21900;20.05000
22200;19.96000
22500;19.89000
22800;19.89000
23100;19.98000
23400;19.87000
23700;20.05000
24000;19.91000
24300;19.91000
24600;19.87000
24900;19.96000
25200;19.98000
25500;19.91000
25800;19.91000
26100;19.89000
26400;20.03000
26700;19.94000
27000;19.85000
27300;19.80000
27600;19.91000
27900;19.89000
28200;19.89000
28500;19.98000
28800;20.12000
29100;20.68000
29400;20.24000
29700;20.32000
30000;20.44000
30300;20.34000
30600;20.51000
30900;20.41000
31200;20.46000
31500;20.46000
31800;20.51000
32100;20.73000
32400;20.63000
32700;20.41000
33000;20.58000
33300;20.61000
33600;20.58000
33900;20.39000
34200;20.49000
34500;20.41000
34800;20.76000
35100;20.78000
35400;20.68000
35700;20.73000
36000;20.73000
36300;20.89000
36600;20.61000
36900;21.12000
37200;21.07000
37500;21.16000
37800;21.07000
38100;21.12000
38400;21.14000
38700;21.10000
39000;20.94000
39300;21.07000
39600;21.07000
39900;21.00000
40200;20.89000
40500;21.10000
40800;20.94000
41100;20.85000
41400;20.91000
41700;20.94000
42000;20.96000
42300;20.87000
42600;20.89000
42900;20.94000
43200;20.78000
43500;20.78000
43800;20.78000
44100;20.91000
44400;20.76000
44700;20.76000
45000;20.87000
45300;20.76000
45600;20.98000
45900;21.03000
46200;21.03000
46500;21.10000
46800;21.07000
47100;21.00000
47400;20.98000
47700;21.07000
48000;21.05000
48300;21.00000
48600;21.07000
48900;20.91000
49200;20.94000
49500;20.94000
49800;21.03000
50100;21.12000
50400;21.28000
50700;21.21000
51000;21.07000
51300;21.07000
51600;21.16000
51900;21.23000
52200;21.03000
52500;20.91000
52800;20.98000
53100;20.87000
53400;20.98000
53700;21.21000
54000;21.16000
54300;21.23000
54600;21.14000
54900;20.94000
55200;21.00000
55500;20.94000
55800;20.94000
56100;20.78000
56400;20.76000
56700;20.89000
57000;20.91000
57300;20.85000
57600;20.76000
57900;20.58000
58200;20.78000
58500;20.78000
58800;20.82000
59100;20.82000
59400;20.76000
59700;20.56000
60000;20.66000
60300;20.51000
60600;20.54000
60900;20.41000
61200;20.68000
61500;20.58000
61800;20.44000
62100;20.51000
62400;20.39000
62700;20.51000
63000;20.56000
63300;20.54000
63600;20.41000
63900;20.54000
64200;20.44000
64500;20.54000
64800;20.66000
65100;20.76000
65400;20.68000
65700;20.76000
66000;20.73000
66300;20.49000
66600;20.51000
66900;20.58000
67200;20.44000
67500;20.58000
67800;20.44000
68100;20.54000
68400;20.46000
68700;20.46000
69000;20.56000
69300;20.56000
69600;20.51000
69900;20.49000
70200;20.51000
70500;20.41000
70800;20.41000
71100;20.46000
71400;20.46000
71700;20.46000
72000;20.29000
72300;20.34000
72600;20.39000
72900;20.34000
73200;20.34000
73500;20.46000
73800;20.36000
74100;20.46000
74400;20.24000
74700;20.22000
75000;20.29000
75300;20.34000
75600;20.34000
75900;20.29000
76200;20.19000
76500;20.36000
76800;20.36000
77100;20.29000
77400;20.41000
77700;20.32000
78000;20.24000
78300;20.32000
78600;20.12000
78900;20.24000
79200;20.24000
79500;20.27000
79800;20.19000
80100;20.15000
80400;20.22000
80700;20.24000
81000;20.32000
81300;20.19000
81600;20.27000
81900;20.19000
82200;20.34000
82500;20.22000
82800;20.32000
83100;20.19000
83400;20.24000
83700;20.27000
84000;20.27000
84300;20.17000
84600;20.22000
84900;20.17000
85200;20.12000
85500;20.15000
85800;20.27000
86100;20.19000
