time_ms;ecg_value
0;-0.49500
2778;-0.49000
5556;-0.50000
8333;-0.50500
11111;-0.49500
13889;-0.48500
16667;-0.46500
19444;-0.44500
22222;-0.43500
25000;-0.40500
27778;-0.40500
30556;-0.40500
33333;-0.39000
36111;-0.37500
38889;-0.36500
41667;-0.37000
44444;-0.36500
47222;-0.36500
50000;-0.34500
52778;-0.32500
55556;-0.34000
58333;-0.35000
61111;-0.36000
63889;-0.35000
66667;-0.33500
69444;-0.33000
72222;-0.33500
75000;-0.35000
77778;-0.34500
80556;-0.35500
83333;-0.34500
86111;-0.35000
88889;-0.33500
91667;-0.35000
94444;-0.36000
97222;-0.35500
100000;-0.34500
102778;-0.34000
105556;-0.33500
108333;-0.33000
111111;-0.34500
113889;-0.34000
116667;-0.33500
119444;-0.34000
122222;-0.34000
125000;-0.35500
127778;-0.36000
130556;-0.36000
133333;-0.35000
136111;-0.34000
138889;-0.34500
141667;-0.37000
144444;-0.37000
147222;-0.36500
150000;-0.35000
152778;-0.35000
155556;-0.35000
158333;-0.36000
161111;-0.36500
163889;-0.37000
166667;-0.36000
169444;-0.36000
172222;-0.36000
175000;-0.36500
177778;-0.38000
180556;-0.38500
183333;-0.36500
186111;-0.35500
188889;-0.36000
191667;-0.36000
194444;-0.36500
197222;-0.36000
200000;-0.37000
202778;-0.35500
205555;-0.35500
208333;-0.37000
211111;-0.38000
213889;-0.38500
216667;-0.37000
219444;-0.37000
222222;-0.36000
225000;-0.37000
227778;-0.37000
230555;-0.37000
233333;-0.35500
236111;-0.34500
238889;-0.32000
241667;-0.32000
244444;-0.33500
247222;-0.32500
250000;-0.29500
252778;-0.28500
255555;-0.27000
258333;-0.27500
261111;-0.27500
263889;-0.27500
266667;-0.25500
269444;-0.23000
272222;-0.22500
275000;-0.23000
277778;-0.22500
280555;-0.22000
283333;-0.20500
286111;-0.20500
288889;-0.21000
291667;-0.23000
294444;-0.25000
297222;-0.25500
300000;-0.23000
302778;-0.21500
305555;-0.21000
308333;-0.23000
311111;-0.23000
313889;-0.22500
316667;-0.21500
319444;-0.17500
322222;-0.16500
325000;-0.18500
327778;-0.23000
330555;-0.26500
333333;-0.27500
336111;-0.27000
338889;-0.28000
341667;-0.30000
344444;-0.32500
347222;-0.34000
350000;-0.34000
352778;-0.34500
355555;-0.35000
358333;-0.36000
361111;-0.35500
363889;-0.35500
366667;-0.35000
369444;-0.34500
372222;-0.35000
375000;-0.36500
377778;-0.36000
380555;-0.35500
383333;-0.35500
386111;-0.35000
388889;-0.35000
391667;-0.34500
394444;-0.35500
397222;-0.35500
400000;-0.35500
402778;-0.35500
405555;-0.35500
408333;-0.36000
411111;-0.36000
413889;-0.37000
416667;-0.38500
419444;-0.41000
422222;-0.44000
425000;-0.45500
427778;-0.46000
430555;-0.46500
433333;-0.48000
436111;-0.48500
438889;-0.52500
441667;-0.53500
444444;-0.47500
447222;-0.33500
450000;-0.15500
452778;0.05500
455555;0.29000
458333;0.56000
461111;0.83000
463889;1.01000
466667;1.08000
469444;0.97500
472222;0.63500
475000;0.14500
477778;-0.25000
480555;-0.47500
483333;-0.49500
486111;-0.42000
488889;-0.37500
491667;-0.35500
494444;-0.35500
497222;-0.36000
500000;-0.34500
502778;-0.34000
505555;-0.33500
508333;-0.33500
511111;-0.35500
513889;-0.36500
516667;-0.35500
519444;-0.37000
522222;-0.34500
525000;-0.35000
527778;-0.36000
530555;-0.36500
533333;-0.35000
536111;-0.34000
538889;-0.33500
541667;-0.34500
544444;-0.34000
547222;-0.35500
550000;-0.34500
552778;-0.33500
555555;-0.34000
558333;-0.34000
561111;-0.34500
563889;-0.35000
566667;-0.33500
569444;-0.32500
572222;-0.33000
575000;-0.33500
577778;-0.33500
580555;-0.33000
583333;-0.33000
586111;-0.32000
588889;-0.30500
591667;-0.31000
594444;-0.32500
597222;-0.32500
600000;-0.32500
602778;-0.30500
605555;-0.29500
608333;-0.30500
611111;-0.30000
613889;-0.30500
616666;-0.30500
619444;-0.28500
622222;-0.29500
625000;-0.30500
627778;-0.31000
630555;-0.31000
633333;-0.30000
636111;-0.30000
638889;-0.30500
641666;-0.31000
644444;-0.32000
647222;-0.32000
650000;-0.30500
652778;-0.30000
655555;-0.30000
658333;-0.30500
661111;-0.30000
663889;-0.31500
666666;-0.30500
669444;-0.29500
672222;-0.30000
675000;-0.30000
677778;-0.30500
680555;-0.30500
683333;-0.31000
686111;-0.30500
688889;-0.29000
691666;-0.31000
694444;-0.31500
697222;-0.32000
700000;-0.31500
702778;-0.31000
705555;-0.32000
708333;-0.32500
711111;-0.33000
713889;-0.34000
716666;-0.33500
719444;-0.33000
722222;-0.32500
