time_ms;ecg_value
0;-0.08000
2778;-0.09000
5556;-0.09000
8333;-0.07500
11111;-0.05000
13889;-0.05500
16667;-0.09000
19444;-0.12000
22222;-0.13500
25000;-0.16000
27778;-0.17000
30556;-0.18000
33333;-0.18500
36111;-0.19500
38889;-0.20000
41667;-0.20500
44444;-0.20500
47222;-0.20000
50000;-0.19500
52778;-0.20500
55556;-0.20000
58333;-0.21500
61111;-0.21500
63889;-0.21000
66667;-0.19500
69444;-0.19500
72222;-0.20500
75000;-0.21000
77778;-0.21000
80556;-0.20000
83333;-0.19000
86111;-0.19500
88889;-0.20000
91667;-0.20500
94444;-0.20500
97222;-0.20000
100000;-0.21500
102778;-0.25500
105556;-0.30000
108333;-0.33000
111111;-0.35500
113889;-0.37500
116667;-0.39500
119444;-0.36500
122222;-0.28500
125000;-0.14000
127778;0.04500
130556;0.25500
133333;0.53000
136111;0.82500
138889;1.08000
141667;1.21000
144444;1.22500
147222;1.05500
150000;0.65500
152778;0.16000
155556;-0.21500
158333;-0.36500
161111;-0.34500
163889;-0.27000
166667;-0.21000
169444;-0.20500
172222;-0.21000
175000;-0.22500
177778;-0.22500
180556;-0.22000
183333;-0.20500
186111;-0.20000
188889;-0.21500
191667;-0.23500
194444;-0.23000
197222;-0.22500
200000;-0.23000
202778;-0.23000
205555;-0.24000
208333;-0.25000
211111;-0.25000
213889;-0.24000
216667;-0.22500
219444;-0.22500
222222;-0.23000
225000;-0.25000
227778;-0.24000
230555;-0.23500
233333;-0.22500
236111;-0.22500
238889;-0.23500
241667;-0.24500
244444;-0.25000
247222;-0.23500
250000;-0.23000
252778;-0.22000
255555;-0.22000
258333;-0.23500
261111;-0.22500
263889;-0.22000
266667;-0.21000
269444;-0.21500
272222;-0.21500
275000;-0.22500
277778;-0.23500
280555;-0.23500
283333;-0.22000
286111;-0.22000
288889;-0.23000
291667;-0.24500
294444;-0.23500
297222;-0.22000
300000;-0.22000
302778;-0.21500
305555;-0.22500
308333;-0.24500
311111;-0.25000
313889;-0.22500
316667;-0.21000
319444;-0.21000
322222;-0.21500
325000;-0.22500
327778;-0.22000
330555;-0.21500
333333;-0.20000
336111;-0.21000
338889;-0.21500
341667;-0.22000
344444;-0.22500
347222;-0.22000
350000;-0.21500
352778;-0.22000
355555;-0.23000
358333;-0.24500
361111;-0.24000
363889;-0.23000
366667;-0.23000
369444;-0.23500
372222;-0.23000
375000;-0.24500
377778;-0.24500
380555;-0.23500
383333;-0.23000
386111;-0.21500
388889;-0.22500
391667;-0.24000
394444;-0.23000
397222;-0.22500
400000;-0.21000
402778;-0.21500
405555;-0.22000
408333;-0.22500
411111;-0.22000
413889;-0.22000
416667;-0.20000
419444;-0.20500
422222;-0.21500
425000;-0.21500
427778;-0.21000
430555;-0.19500
433333;-0.16000
436111;-0.15000
438889;-0.15500
441667;-0.15500
444444;-0.14000
447222;-0.12000
450000;-0.10500
452778;-0.11000
455555;-0.10500
458333;-0.12000
461111;-0.11000
463889;-0.08500
466667;-0.09000
469444;-0.08500
472222;-0.07500
475000;-0.09500
477778;-0.09500
480555;-0.09000
483333;-0.07500
486111;-0.07500
488889;-0.09000
491667;-0.11000
494444;-0.09500
497222;-0.09500
500000;-0.10000
502778;-0.08000
505555;-0.09000
508333;-0.11500
511111;-0.10500
513889;-0.10000
516667;-0.09000
519444;-0.09500
522222;-0.10000
525000;-0.11500
527778;-0.11500
530555;-0.11500
533333;-0.10500
536111;-0.11000
538889;-0.11500
541667;-0.13000
544444;-0.12000
547222;-0.11000
550000;-0.10500
552778;-0.09000
555555;-0.10500
558333;-0.12500
561111;-0.12500
563889;-0.12500
566667;-0.11000
569444;-0.12000
572222;-0.12500
575000;-0.15000
577778;-0.14500
580555;-0.14500
583333;-0.13000
586111;-0.14000
588889;-0.15000
591667;-0.16500
594444;-0.17000
597222;-0.15500
600000;-0.15500
602778;-0.15500
605555;-0.15000
608333;-0.17000
611111;-0.17500
613889;-0.15500
616666;-0.15000
619444;-0.15000
622222;-0.15500
625000;-0.16000
627778;-0.15000
630555;-0.13500
633333;-0.14000
636111;-0.14000
638889;-0.14500
641666;-0.14500
644444;-0.15000
647222;-0.15000
650000;-0.14000
652778;-0.14000
655555;-0.16000
658333;-0.16000
661111;-0.17000
663889;-0.16000
666666;-0.15000
669444;-0.14500
672222;-0.15000
675000;-0.17500
677778;-0.16000
680555;-0.15000
683333;-0.14500
686111;-0.13500
688889;-0.15000
691666;-0.15500
694444;-0.15500
697222;-0.13500
700000;-0.13000
702778;-0.12000
705555;-0.10500
708333;-0.11000
711111;-0.08000
713889;-0.06500
716666;-0.04500
719444;-0.04500
722222;-0.05500
725000;-0.06000
727778;-0.04500
730555;-0.03500
733333;-0.02000
736111;-0.04000
738889;-0.03000
741666;-0.04500
744444;-0.04000
