time_seconds;ecg_value
0;0.99000
3;1.11000
6;1.13500
8;1.00000
11;0.67000
14;0.22000
17;-0.16000
19;-0.37000
22;-0.41500
25;-0.36500
28;-0.31500
31;-0.29000
33;-0.31000
36;-0.31500
39;-0.31500
42;-0.32000
44;-0.31500
47;-0.32500
50;-0.35000
53;-0.35000
56;-0.33500
58;-0.34000
61;-0.32500
64;-0.34000
67;-0.34500
69;-0.34500
72;-0.35000
75;-0.34000
78;-0.34500
81;-0.35500
83;-0.36000
86;-0.36000
89;-0.35500
92;-0.35000
94;-0.36000
97;-0.35000
100;-0.36500
103;-0.36000
106;-0.34500
108;-0.34000
111;-0.33500
114;-0.34000
117;-0.33500
119;-0.33500
122;-0.33000
125;-0.32500
128;-0.33000
131;-0.34000
133;-0.33500
136;-0.33500
139;-0.33500
142;-0.32500
144;-0.33500
147;-0.34000
150;-0.34500
153;-0.34000
156;-0.33500
158;-0.32500
161;-0.34000
164;-0.35000
167;-0.34000
169;-0.34500
172;-0.33500
175;-0.34000
178;-0.32500
181;-0.35000
183;-0.34500
186;-0.34500
189;-0.34500
192;-0.32500
194;-0.31500
197;-0.33000
200;-0.33000
203;-0.34000
206;-0.32500
208;-0.31500
211;-0.32000
214;-0.32500
217;-0.34000
219;-0.34000
222;-0.32500
225;-0.33000
228;-0.33500
231;-0.34500
233;-0.34500
236;-0.34000
239;-0.34000
242;-0.32000
244;-0.33000
247;-0.33000
250;-0.34500
253;-0.34000
256;-0.33500
258;-0.32500
261;-0.31500
264;-0.32500
267;-0.33000
269;-0.32500
272;-0.32000
275;-0.31000
278;-0.31000
281;-0.31500
283;-0.32000
286;-0.33500
289;-0.32000
292;-0.30000
294;-0.30500
297;-0.30500
300;-0.31500
303;-0.31000
306;-0.29000
308;-0.27500
311;-0.27000
314;-0.26000
317;-0.26000
319;-0.26500
322;-0.25000
325;-0.24000
328;-0.22500
331;-0.23000
333;-0.23000
336;-0.23000
339;-0.21500
342;-0.20000
344;-0.20500
347;-0.20500
350;-0.20500
353;-0.21000
356;-0.19500
358;-0.19000
361;-0.19500
364;-0.20000
367;-0.21000
369;-0.20500
372;-0.20000
375;-0.19000
378;-0.20000
381;-0.22000
383;-0.22500
386;-0.22000
389;-0.22500
392;-0.21000
394;-0.21500
397;-0.23000
400;-0.24000
403;-0.23500
406;-0.22500
408;-0.22000
411;-0.24500
414;-0.24500
417;-0.24500
419;-0.25000
422;-0.24000
425;-0.23500
428;-0.23000
431;-0.24000
433;-0.25000
436;-0.25000
439;-0.24500
442;-0.23000
444;-0.23500
447;-0.24500
450;-0.25500
453;-0.26000
456;-0.27500
458;-0.26000
461;-0.27000
464;-0.27000
467;-0.27000
469;-0.28000
472;-0.27000
475;-0.27000
478;-0.26500
481;-0.29000
483;-0.29000
486;-0.29500
489;-0.28500
492;-0.26500
494;-0.26500
497;-0.27500
500;-0.29500
503;-0.27500
506;-0.27000
508;-0.26000
511;-0.26500
514;-0.27000
517;-0.29000
519;-0.30500
522;-0.28500
525;-0.27500
528;-0.28000
531;-0.29000
533;-0.30000
536;-0.29000
539;-0.28500
542;-0.28500
544;-0.27500
547;-0.28500
550;-0.29000
553;-0.29500
556;-0.27500
558;-0.26500
561;-0.28000
564;-0.27500
567;-0.26500
569;-0.27500
572;-0.27000
575;-0.26500
578;-0.26500
581;-0.26500
583;-0.27000
586;-0.27000
589;-0.25000
592;-0.24000
594;-0.24500
597;-0.24500
600;-0.23000
603;-0.24000
606;-0.22500
608;-0.21000
611;-0.20000
614;-0.20000
617;-0.21000
619;-0.21000
622;-0.19500
625;-0.19000
628;-0.19000
631;-0.19000
633;-0.19000
636;-0.18500
639;-0.17500
642;-0.16000
644;-0.14500
647;-0.15500
650;-0.16500
653;-0.16500
656;-0.15500
658;-0.15000
661;-0.16000
664;-0.18000
667;-0.18500
669;-0.16500
672;-0.15500
675;-0.14500
678;-0.16000
681;-0.15000
683;-0.14500
686;-0.13500
689;-0.13500
692;-0.15500
694;-0.20000
697;-0.23000
700;-0.24500
703;-0.25500
706;-0.26000
708;-0.27500
711;-0.29500
714;-0.30500
717;-0.32000
719;-0.32000
722;-0.30500
725;-0.29500
728;-0.29500
731;-0.30500
733;-0.32000
736;-0.31500
739;-0.32500
742;-0.30500
744;-0.31000
747;-0.32500
750;-0.31000
753;-0.31500
756;-0.31500
758;-0.30500
761;-0.31000
764;-0.32000
767;-0.32500
769;-0.32500
772;-0.32500
775;-0.32500
778;-0.36000
781;-0.40500
783;-0.46000
786;-0.50000
789;-0.50500
792;-0.55500
794;-0.59000
797;-0.61000
800;-0.59500
803;-0.50000
806;-0.41000
808;-0.31500
811;-0.22000
814;-0.12500
817;-0.01000
819;0.16500
822;0.39500
825;0.66000
828;0.86000
831;1.01000
833;1.08000
836;1.04500
839;0.87500
842;0.54000
844;0.12000
847;-0.24000
850;-0.42000
853;-0.45500
856;-0.40500
858;-0.37000
861;-0.33000
864;-0.35000
867;-0.36000
869;-0.37000
872;-0.35500
875;-0.35000
878;-0.35000
881;-0.35500
883;-0.39000
886;-0.39500
889;-0.39000
892;-0.37500
894;-0.37500
897;-0.38500
900;-0.37500
903;-0.36500
906;-0.36500
908;-0.36500
911;-0.37500
914;-0.37500
917;-0.38500
919;-0.38500
922;-0.39000
925;-0.37500
928;-0.37000
931;-0.37500
933;-0.37500
936;-0.39000
939;-0.37500
942;-0.38000
944;-0.39000
947;-0.38500
950;-0.40000
953;-0.40000
956;-0.37500
958;-0.38000
961;-0.38000
964;-0.39000
967;-0.39000
969;-0.38500
972;-0.37500
975;-0.38000
978;-0.37500
981;-0.38500
983;-0.39500
986;-0.40000
989;-0.39000
992;-0.39000
994;-0.38500
997;-0.38000
1000;-0.39000
1003;-0.40000
1006;-0.38500
1008;-0.37500
1011;-0.39000
1014;-0.40000
1017;-0.39500
1019;-0.39000
1022;-0.39000
1025;-0.39000
1028;-0.38500
1031;-0.40000
1033;-0.40000
1036;-0.40000
1039;-0.38500
1042;-0.37000
1044;-0.38000
1047;-0.38500
1050;-0.39500
1053;-0.39000
1056;-0.38500
1058;-0.38000
1061;-0.39000
1064;-0.38500
1067;-0.38500
1069;-0.40500
1072;-0.40000
1075;-0.40000
1078;-0.39000
1081;-0.40500
1083;-0.41500
1086;-0.42000
1089;-0.42500
1092;-0.41000
1094;-0.41500
1097;-0.41500
1100;-0.41500
1103;-0.41000
1106;-0.39500
1108;-0.38500
1111;-0.38000
1114;-0.37500
1117;-0.38000
1119;-0.38000
1122;-0.36500
1125;-0.35000
1128;-0.35000
1131;-0.33500
1133;-0.32500
1136;-0.31000
1139;-0.30500
1142;-0.30000
1144;-0.29000
1147;-0.29500
1150;-0.29000
1153;-0.29500
1156;-0.29500
1158;-0.29500
1161;-0.29000
1164;-0.28000
1167;-0.29000
1169;-0.29500
1172;-0.27500
1175;-0.27500
1178;-0.27500
1181;-0.27500
1183;-0.29000
1186;-0.29000
1189;-0.28000
1192;-0.28500
1194;-0.26500
1197;-0.26500
1200;-0.28000
1203;-0.29000
1206;-0.28500
1208;-0.28000
1211;-0.29000
1214;-0.30000
1217;-0.30500
1219;-0.31500
1222;-0.30500
1225;-0.29500
1228;-0.29500
1231;-0.31000
1233;-0.30500
1236;-0.31500
1239;-0.30500
1242;-0.31000
1244;-0.32000
1247;-0.32500
1250;-0.33000
1253;-0.31500
1256;-0.32000
1258;-0.31500
1261;-0.32000
1264;-0.32000
1267;-0.32000
1269;-0.32500
1272;-0.33000
1275;-0.32000
1278;-0.31500
1281;-0.33000
1283;-0.33000
1286;-0.34000
1289;-0.34500
1292;-0.34000
1294;-0.34500
1297;-0.35000
1300;-0.36000
1303;-0.37000
1306;-0.36000
1308;-0.35000
1311;-0.35000
1314;-0.36000
1317;-0.36000
1319;-0.35500
1322;-0.35000
1325;-0.34500
1328;-0.34500
1331;-0.36000
1333;-0.37500
1336;-0.38000
1339;-0.38000
1342;-0.36500
1344;-0.36500
1347;-0.36000
1350;-0.36500
1353;-0.36000
1356;-0.34000
1358;-0.33500
1361;-0.34500
1364;-0.35000
1367;-0.36500
1369;-0.36500
1372;-0.36000
1375;-0.36000
1378;-0.37000
1381;-0.36500
1383;-0.37000
1386;-0.36500
1389;-0.35000
1392;-0.35500
1394;-0.35500
1397;-0.36000
1400;-0.37000
1403;-0.37000
1406;-0.36000
1408;-0.35000
1411;-0.35000
1414;-0.34000
1417;-0.35000
1419;-0.36000
1422;-0.35000
1425;-0.34000
1428;-0.33500
1431;-0.35000
1433;-0.35000
1436;-0.33500
1439;-0.32500
1442;-0.32500
1444;-0.31500
1447;-0.32500
1450;-0.31500
1453;-0.30500
1456;-0.29500
1458;-0.28000
1461;-0.27500
1464;-0.29000
1467;-0.28500
1469;-0.27500
1472;-0.25000
1475;-0.24000
1478;-0.23000
1481;-0.23000
1483;-0.23000
1486;-0.23500
1489;-0.22500
1492;-0.22500
1494;-0.24000
1497;-0.26000
1500;-0.26000
1503;-0.27000
1506;-0.27000
1508;-0.27500
1511;-0.26000
1514;-0.26000
1517;-0.25500
1519;-0.29000
1522;-0.29000
1525;-0.31000
1528;-0.31500
1531;-0.34000
1533;-0.35500
1536;-0.37500
1539;-0.39000
1542;-0.38500
1544;-0.39000
1547;-0.39000
1550;-0.38500
1553;-0.40000
1556;-0.39000
1558;-0.38500
1561;-0.39000
1564;-0.38500
1567;-0.38500
1569;-0.38500
1572;-0.37500
1575;-0.38000
1578;-0.36500
1581;-0.38500
1583;-0.39500
1586;-0.39500
1589;-0.39500
1592;-0.38500
1594;-0.39000
1597;-0.38500
1600;-0.39500
1603;-0.40500
1606;-0.39500
1608;-0.39500
1611;-0.41000
1614;-0.46000
1617;-0.50000
1619;-0.51500
1622;-0.52000
1625;-0.55500
1628;-0.61000
1631;-0.61000
1633;-0.55500
1636;-0.42500
1639;-0.25500
1642;-0.09000
1644;0.11500
1647;0.39000
1650;0.64500
1653;0.84000
1656;0.95500
1658;0.90500
1661;0.64500
1664;0.22000
