time_seconds;ecg_value
0;-0.33000
3;-0.34000
6;-0.34000
8;-0.33500
11;-0.34500
14;-0.35000
17;-0.39500
19;-0.44000
22;-0.46500
25;-0.48000
28;-0.50500
31;-0.53000
33;-0.47500
36;-0.37500
39;-0.20000
42;-0.02000
44;0.20000
47;0.49000
50;0.77000
53;0.98500
56;1.10000
58;1.07000
61;0.84000
64;0.42000
67;-0.04000
69;-0.35500
72;-0.47000
75;-0.43000
78;-0.37500
81;-0.34500
83;-0.35000
86;-0.36000
89;-0.35000
92;-0.35500
94;-0.35500
97;-0.36500
100;-0.36500
103;-0.38000
106;-0.37500
108;-0.36500
111;-0.36500
114;-0.38000
117;-0.37500
119;-0.38000
122;-0.37500
125;-0.35500
128;-0.35000
131;-0.34000
133;-0.34500
136;-0.36000
139;-0.35000
142;-0.35000
144;-0.34500
147;-0.35000
150;-0.36500
153;-0.38000
156;-0.37000
158;-0.37000
161;-0.36000
164;-0.37000
167;-0.36500
169;-0.37500
172;-0.36500
175;-0.35500
178;-0.35000
181;-0.35500
183;-0.36500
186;-0.37000
189;-0.37500
192;-0.36500
194;-0.36000
197;-0.37000
200;-0.37000
203;-0.38500
206;-0.37000
208;-0.35500
211;-0.35000
214;-0.35500
217;-0.36000
219;-0.36500
222;-0.37000
225;-0.36500
228;-0.36000
231;-0.35500
233;-0.36000
236;-0.38000
239;-0.38000
242;-0.36000
244;-0.35000
247;-0.35000
250;-0.36500
253;-0.37500
256;-0.37000
258;-0.36500
261;-0.36000
264;-0.36500
267;-0.37000
269;-0.37500
272;-0.37500
275;-0.36000
278;-0.36000
281;-0.37000
283;-0.36000
286;-0.38500
289;-0.38000
292;-0.36500
294;-0.36000
297;-0.36500
300;-0.37000
303;-0.38500
306;-0.37500
308;-0.37000
311;-0.36000
314;-0.37000
317;-0.37000
319;-0.37000
322;-0.36500
325;-0.36000
328;-0.35000
331;-0.35000
333;-0.36000
336;-0.35500
339;-0.35000
342;-0.33000
344;-0.30000
347;-0.30500
350;-0.30000
353;-0.29000
356;-0.28500
358;-0.26000
361;-0.25000
364;-0.24500
367;-0.24000
369;-0.25500
372;-0.24500
375;-0.23500
378;-0.22500
381;-0.22000
383;-0.24000
386;-0.24000
389;-0.24500
392;-0.23000
394;-0.22000
397;-0.24000
400;-0.23000
403;-0.25000
406;-0.23500
408;-0.23500
411;-0.22500
414;-0.22500
417;-0.22500
419;-0.24000
422;-0.23000
425;-0.23000
428;-0.22500
431;-0.22500
433;-0.22000
436;-0.25500
439;-0.24500
442;-0.23000
444;-0.24000
447;-0.24000
450;-0.25500
453;-0.25500
456;-0.25000
458;-0.24500
461;-0.24000
464;-0.25000
467;-0.25500
469;-0.27000
472;-0.26500
475;-0.25000
478;-0.25000
481;-0.25500
483;-0.25500
486;-0.28000
489;-0.27500
492;-0.27000
494;-0.26000
497;-0.25000
500;-0.28000
503;-0.27500
506;-0.27500
508;-0.27000
511;-0.26000
514;-0.26500
517;-0.25500
519;-0.28000
522;-0.27000
525;-0.26000
528;-0.26500
531;-0.27000
533;-0.27000
536;-0.29000
539;-0.29500
542;-0.28500
544;-0.27500
547;-0.27000
550;-0.28500
553;-0.30000
556;-0.29500
558;-0.27500
561;-0.27000
564;-0.27500
567;-0.29000
569;-0.30500
572;-0.30000
575;-0.28000
578;-0.26500
581;-0.26000
583;-0.26500
586;-0.28000
589;-0.28000
592;-0.27500
594;-0.26000
597;-0.26500
600;-0.26000
603;-0.27000
606;-0.26500
608;-0.26500
611;-0.25000
614;-0.26000
617;-0.26500
619;-0.26500
622;-0.24500
625;-0.23000
628;-0.21500
631;-0.20000
633;-0.20500
636;-0.20500
639;-0.19500
642;-0.18000
644;-0.16500
647;-0.16500
650;-0.16000
653;-0.16500
656;-0.15500
658;-0.14000
661;-0.13000
664;-0.13500
667;-0.12000
669;-0.15500
672;-0.16500
675;-0.16000
678;-0.15500
681;-0.14000
683;-0.14000
686;-0.15500
689;-0.14000
692;-0.11000
694;-0.09500
697;-0.08500
700;-0.12000
703;-0.17000
706;-0.20000
708;-0.20000
711;-0.19500
714;-0.19500
717;-0.21000
719;-0.25000
722;-0.25500
725;-0.26000
728;-0.26500
731;-0.27500
733;-0.28500
736;-0.29000
739;-0.28500
742;-0.29000
744;-0.29000
747;-0.29500
750;-0.31000
753;-0.32000
756;-0.30500
758;-0.30500
761;-0.30500
764;-0.30000
767;-0.31000
769;-0.31000
772;-0.32000
775;-0.30500
778;-0.29500
781;-0.29000
783;-0.30500
786;-0.32000
789;-0.33500
792;-0.35500
794;-0.38500
797;-0.40000
800;-0.42500
803;-0.45000
806;-0.49500
808;-0.53000
811;-0.49500
814;-0.42500
817;-0.27500
819;-0.12000
822;0.07500
825;0.37500
828;0.68000
831;0.90500
833;1.02500
836;0.99500
839;0.80000
842;0.40500
844;-0.01000
847;-0.31000
850;-0.44500
853;-0.44500
856;-0.39000
858;-0.33500
861;-0.32000
864;-0.35000
867;-0.36000
869;-0.36500
872;-0.35000
875;-0.34000
878;-0.33500
881;-0.34500
883;-0.34500
886;-0.34500
889;-0.35000
892;-0.34500
894;-0.35000
897;-0.34500
900;-0.35000
903;-0.35000
906;-0.35000
908;-0.34500
911;-0.33500
914;-0.32000
917;-0.34000
919;-0.35500
922;-0.35500
925;-0.36500
928;-0.33500
931;-0.32500
933;-0.33500
936;-0.34000
939;-0.35000
942;-0.34000
944;-0.33000
947;-0.34000
950;-0.35500
953;-0.37000
956;-0.37000
958;-0.35000
961;-0.34000
964;-0.34500
967;-0.35000
969;-0.37000
972;-0.36500
975;-0.35000
978;-0.34500
981;-0.33500
983;-0.34000
986;-0.35000
989;-0.35500
992;-0.35500
994;-0.35000
997;-0.35500
1000;-0.36000
1003;-0.37500
1006;-0.36000
1008;-0.34500
1011;-0.34500
1014;-0.34500
1017;-0.36000
1019;-0.37500
1022;-0.36500
1025;-0.35500
1028;-0.34500
1031;-0.34000
1033;-0.35000
1036;-0.35500
1039;-0.35500
1042;-0.34000
1044;-0.33500
1047;-0.34000
1050;-0.36500
1053;-0.36000
1056;-0.37500
1058;-0.37500
1061;-0.36000
1064;-0.37000
1067;-0.37000
1069;-0.38000
1072;-0.38500
1075;-0.37000
1078;-0.36000
1081;-0.37000
1083;-0.39000
1086;-0.39500
1089;-0.38500
1092;-0.37500
1094;-0.37500
1097;-0.37500
1100;-0.38000
1103;-0.38000
1106;-0.37500
1108;-0.36000
1111;-0.35000
1114;-0.35000
1117;-0.36500
1119;-0.37000
1122;-0.34500
1125;-0.33000
1128;-0.31500
1131;-0.30000
1133;-0.30500
1136;-0.30000
1139;-0.29000
1142;-0.28000
1144;-0.26500
1147;-0.27500
1150;-0.26500
1153;-0.26500
1156;-0.26000
1158;-0.24500
1161;-0.24000
1164;-0.24500
1167;-0.24000
1169;-0.25500
1172;-0.24500
1175;-0.23500
1178;-0.23500
1181;-0.22000
1183;-0.22500
1186;-0.25000
1189;-0.24500
1192;-0.23500
1194;-0.22500
1197;-0.23500
1200;-0.24500
1203;-0.25000
1206;-0.24500
1208;-0.23500
1211;-0.23500
1214;-0.23500
1217;-0.25000
1219;-0.27000
1222;-0.27500
1225;-0.26500
1228;-0.27000
1231;-0.26500
1233;-0.27500
1236;-0.27000
1239;-0.27000
1242;-0.25000
1244;-0.26000
1247;-0.28000
1250;-0.27500
1253;-0.28500
1256;-0.27000
1258;-0.26500
1261;-0.27500
1264;-0.28500
1267;-0.28500
1269;-0.31000
1272;-0.29500
1275;-0.28500
1278;-0.26500
1281;-0.27500
1283;-0.28500
1286;-0.30000
1289;-0.29000
1292;-0.29500
1294;-0.28000
1297;-0.28500
1300;-0.30000
1303;-0.31500
1306;-0.31500
1308;-0.30000
1311;-0.29500
1314;-0.30500
1317;-0.31500
1319;-0.31500
1322;-0.31000
1325;-0.30500
1328;-0.30000
1331;-0.29000
1333;-0.30000
1336;-0.31000
1339;-0.31500
1342;-0.30500
1344;-0.30000
1347;-0.29500
1350;-0.30500
1353;-0.31000
1356;-0.31000
1358;-0.30500
1361;-0.29000
1364;-0.28500
1367;-0.29500
1369;-0.31000
1372;-0.29500
1375;-0.29500
1378;-0.28500
1381;-0.27500
1383;-0.30000
1386;-0.31500
1389;-0.30500
1392;-0.31500
1394;-0.30000
1397;-0.30500
1400;-0.31500
1403;-0.32500
1406;-0.32000
1408;-0.30500
1411;-0.28500
1414;-0.29000
1417;-0.29000
1419;-0.29000
1422;-0.27000
1425;-0.25000
1428;-0.24000
1431;-0.24500
1433;-0.24000
1436;-0.25000
1439;-0.24000
1442;-0.22500
1444;-0.20000
1447;-0.20000
1450;-0.20000
1453;-0.20500
1456;-0.19500
1458;-0.19000
1461;-0.17500
1464;-0.17500
1467;-0.18500
1469;-0.19000
1472;-0.19000
1475;-0.18500
1478;-0.18500
1481;-0.18500
1483;-0.18500
1486;-0.21000
1489;-0.20500
1492;-0.20000
1494;-0.19000
1497;-0.18000
1500;-0.19500
1503;-0.20000
1506;-0.20500
1508;-0.18000
1511;-0.17000
1514;-0.19500
1517;-0.23500
1519;-0.25500
1522;-0.28000
1525;-0.27000
1528;-0.28000
1531;-0.29500
1533;-0.32500
1536;-0.34500
1539;-0.33500
1542;-0.31500
1544;-0.30500
1547;-0.31500
1550;-0.34500
1553;-0.35000
1556;-0.36000
1558;-0.35000
1561;-0.33500
1564;-0.34500
1567;-0.35000
1569;-0.36500
1572;-0.35500
1575;-0.35000
1578;-0.35000
1581;-0.35000
1583;-0.34500
1586;-0.37000
1589;-0.36000
1592;-0.36000
1594;-0.36500
1597;-0.39500
1600;-0.45500
1603;-0.48000
1606;-0.49000
1608;-0.52000
1611;-0.55000
1614;-0.50000
