time_seconds;ecg_value
0;-0.34500
3;-0.37000
6;-0.38500
8;-0.40000
11;-0.41000
14;-0.41000
17;-0.43000
19;-0.43500
22;-0.44000
25;-0.43000
28;-0.42500
31;-0.40500
33;-0.41000
36;-0.42000
39;-0.44000
42;-0.42500
44;-0.42500
47;-0.41500
50;-0.42000
53;-0.43000
56;-0.42500
58;-0.43000
61;-0.42500
64;-0.43000
67;-0.43500
69;-0.44500
72;-0.45000
75;-0.44000
78;-0.42500
81;-0.40500
83;-0.41500
86;-0.42500
89;-0.43500
92;-0.45500
94;-0.47500
97;-0.50500
100;-0.52000
103;-0.53000
106;-0.55000
108;-0.58000
111;-0.61500
114;-0.59500
117;-0.53500
119;-0.41500
122;-0.28000
125;-0.10500
128;0.10500
131;0.37000
133;0.61000
136;0.78500
139;0.86000
142;0.79500
144;0.55500
147;0.19000
150;-0.18500
153;-0.43500
156;-0.54000
158;-0.54000
161;-0.52000
164;-0.48000
167;-0.46500
169;-0.45500
172;-0.47000
175;-0.46500
178;-0.45000
181;-0.43500
183;-0.44500
186;-0.47000
189;-0.47000
192;-0.46500
194;-0.46000
197;-0.45000
200;-0.45000
203;-0.47000
206;-0.47000
208;-0.46500
211;-0.44500
214;-0.43500
217;-0.44500
219;-0.45000
222;-0.46000
225;-0.46000
228;-0.46000
231;-0.45000
233;-0.44500
236;-0.45500
239;-0.47000
242;-0.47500
244;-0.45500
247;-0.44500
250;-0.44500
253;-0.45500
256;-0.47000
258;-0.47000
261;-0.45500
264;-0.44500
267;-0.44500
269;-0.45500
272;-0.47000
275;-0.46500
