time_seconds;temperature
0;22.00000
300;21.71696
600;21.44314
900;21.17843
1200;20.92272
1500;20.67591
1800;20.43788
2100;20.20853
2400;19.98774
2700;19.77541
3000;19.57143
3300;19.37568
3600;19.18807
3900;19.00848
4200;18.83680
4500;18.67293
4800;18.51675
5100;18.36815
5400;18.22703
5700;18.09328
6000;17.96679
6300;17.84744
6600;17.73514
6900;17.62977
7200;17.53122
7500;17.43938
7800;17.35415
8100;17.27541
8400;17.20306
8700;17.13699
9000;17.07709
9300;17.02324
9600;16.97535
9900;16.93330
10200;16.89698
10500;16.86628
10800;16.84110
11100;16.82132
11400;16.80684
11700;16.79755
12000;16.79334
12300;16.79410
12600;16.79971
12900;16.81008
13200;16.82510
13500;16.84464
13800;16.86861
14100;16.89690
14400;16.92939
14700;16.96598
15000;17.00656
15300;17.05102
15600;17.09925
15900;17.15114
16200;17.20659
16500;17.26547
16800;17.32770
17100;17.39315
17400;17.46171
17700;17.53329
18000;17.60776
18300;17.68502
18600;17.76496
18900;17.84748
19200;17.93246
19500;18.01979
19800;18.10937
20100;18.20108
20400;18.29482
20700;18.39048
21000;18.48795
21300;18.58711
21600;18.68787
21900;18.79011
22200;18.89372
22500;18.99860
22800;19.10463
23100;19.21171
23400;19.31973
23700;19.42857
24000;19.53813
24300;19.64831
24600;19.75898
24900;19.87005
25200;19.98140
25500;20.09292
25800;20.20451
26100;20.31605
26400;20.42744
26700;20.53857
27000;20.64933
27300;20.75961
27600;20.86930
27900;20.97830
28200;21.08648
28500;21.19375
28800;21.30000
29100;21.40511
29400;21.50898
29700;21.61150
30000;21.71256
30300;21.81204
30600;21.90985
30900;22.00588
31200;22.10000
31500;22.19214
31800;22.28229
32100;22.37047
32400;22.45669
32700;22.54097
33000;22.62332
33300;22.70376
33600;22.78232
33900;22.85899
34200;22.93380
34500;23.00677
34800;23.07791
35100;23.14724
35400;23.21477
35700;23.28053
36000;23.34451
36300;23.40675
36600;23.46726
36900;23.52605
37200;23.58314
37500;23.63855
37800;23.69229
38100;23.74438
38400;23.79483
38700;23.84366
39000;23.89089
39300;23.93654
39600;23.98061
39900;24.02313
40200;24.06411
40500;24.10356
40800;24.14151
41100;24.17797
41400;24.21295
41700;24.24648
42000;24.27856
42300;24.30922
42600;24.33846
42900;24.36632
43200;24.39279
43500;24.41790
43800;24.44167
44100;24.46411
44400;24.48523
44700;24.50506
45000;24.52360
45300;24.54088
45600;24.55691
45900;24.57171
46200;24.58529
46500;24.59767
46800;24.60886
47100;24.61889
47400;24.62776
47700;24.63550
48000;24.64212
48300;24.64763
48600;24.65205
48900;24.65540
49200;24.65770
49500;24.65895
49800;24.65918
50100;24.65841
50400;24.65664
50700;24.65389
51000;24.65019
51300;24.64554
51600;24.63997
51900;24.63349
52200;24.62610
52500;24.61784
52800;24.60872
53100;24.59875
53400;24.58795
53700;24.57634
54000;24.56392
54300;24.55073
54600;24.53677
54900;24.52205
55200;24.50661
55500;24.49044
55800;24.47357
56100;24.45602
56400;24.43780
56700;24.41892
57000;24.39941
57300;24.37927
57600;24.35853
57900;24.33720
58200;24.31530
58500;24.29284
58800;24.26983
59100;24.24631
59400;24.22227
59700;24.19774
60000;24.17274
60300;24.14727
60600;24.12136
60900;24.09502
61200;24.06827
61500;24.04112
61800;24.01359
62100;23.98570
62400;23.95746
62700;23.92889
63000;23.90000
63300;23.87081
63600;23.84134
63900;23.81160
64200;23.78161
64500;23.75139
64800;23.72094
65100;23.69030
65400;23.65946
65700;23.62846
66000;23.59730
66300;23.56600
66600;23.53457
66900;23.50305
67200;23.47143
67500;23.43973
67800;23.40798
68100;23.37619
68400;23.34437
68700;23.31254
69000;23.28072
69300;23.24891
69600;23.21715
69900;23.18544
70200;23.15380
70500;23.12225
70800;23.09080
71100;23.05947
71400;23.02828
71700;22.99723
72000;22.96635
72300;22.93566
72600;22.90516
72900;22.87488
73200;22.84483
73500;22.81503
73800;22.78549
74100;22.75624
74400;22.72727
74700;22.69862
75000;22.67030
75300;22.64232
75600;22.61471
75900;22.58746
76200;22.56061
76500;22.53417
76800;22.50816
77100;22.48258
77400;22.45746
77700;22.43281
78000;22.40866
78300;22.38500
78600;22.36187
78900;22.33928
79200;22.31723
79500;22.29576
79800;22.27488
80100;22.25459
80400;22.23492
80700;22.21589
81000;22.19751
81300;22.17979
81600;22.16275
81900;22.14642
82200;22.13079
82500;22.11590
82800;22.10175
83100;22.08837
83400;22.07576
83700;22.06395
84000;22.05295
84300;22.04278
84600;22.03345
84900;22.02497
85200;22.01738
85500;22.01067
85800;22.00487
86100;22.00000
