time_seconds;temperature
0;19.96000
300;20.22000
600;20.10000
900;19.87000
1200;19.91000
1500;20.01000
1800;20.05000
2100;19.75000
2400;19.91000
2700;19.75000
3000;20.17000
3300;20.56000
3600;20.58000
3900;20.12000
4200;20.08000
4500;19.98000
4800;20.19000
5100;19.85000
5400;20.15000
5700;20.27000
6000;20.27000
6300;20.58000
6600;20.29000
6900;20.56000
7200;19.52000
7500;19.11000
7800;19.31000
8100;19.04000
8400;19.45000
8700;19.11000
9000;19.19000
9300;19.21000
9600;18.85000
9900;18.92000
10200;18.90000
10500;18.97000
10800;18.87000
11100;18.58000
11400;18.60000
11700;18.48000
12000;18.60000
12300;18.36000
12600;18.51000
12900;18.38000
13200;18.31000
13500;18.36000
13800;18.07000
14100;18.10000
14400;18.29000
14700;18.22000
15000;18.34000
15300;18.12000
15600;18.34000
15900;18.46000
16200;18.24000
16500;17.93000
16800;17.95000
17100;18.29000
17400;18.22000
17700;18.38000
18000;18.22000
18300;18.03000
18600;17.93000
18900;18.10000
19200;17.98000
19500;17.98000
19800;17.83000
20100;17.42000
20400;17.59000
20700;17.47000
21000;17.42000
21300;17.72000
21600;17.54000
21900;17.62000
22200;17.69000
22500;17.59000
22800;17.40000
23100;17.64000
23400;17.50000
23700;17.62000
24000;17.37000
24300;17.42000
24600;17.45000
24900;17.30000
25200;17.52000
25500;17.35000
25800;17.64000
26100;17.47000
26400;17.62000
26700;17.40000
27000;17.32000
27300;17.28000
27600;17.52000
27900;17.57000
28200;17.47000
28500;17.62000
28800;17.35000
29100;17.40000
29400;17.47000
29700;17.30000
30000;17.42000
30300;17.40000
30600;17.47000
30900;17.42000
31200;17.45000
31500;17.42000
31800;17.23000
32100;17.20000
32400;17.37000
32700;17.23000
33000;17.40000
33300;17.40000
33600;17.47000
33900;17.37000
34200;17.15000
34500;17.42000
34800;17.47000
35100;17.32000
35400;17.25000
35700;17.42000
36000;17.42000
36300;17.32000
36600;17.32000
36900;17.37000
37200;17.54000
37500;17.50000
37800;17.45000
38100;17.50000
38400;17.37000
38700;17.47000
39000;17.47000
39300;17.45000
39600;17.35000
39900;17.40000
40200;17.40000
40500;17.50000
40800;17.59000
41100;17.57000
41400;17.50000
41700;17.79000
42000;17.69000
42300;17.86000
42600;17.62000
42900;17.62000
43200;17.67000
43500;17.72000
43800;17.74000
44100;17.79000
44400;17.54000
44700;17.67000
45000;17.83000
45300;17.64000
45600;17.50000
45900;17.52000
46200;17.45000
46500;17.37000
46800;17.47000
47100;17.25000
47400;17.45000
47700;17.47000
48000;17.45000
48300;17.37000
48600;17.35000
48900;17.42000
49200;17.42000
49500;17.18000
49800;17.32000
50100;17.30000
50400;17.30000
50700;17.08000
51000;17.28000
51300;17.11000
51600;17.23000
51900;17.30000
52200;17.40000
52500;17.45000
52800;17.35000
53100;17.30000
53400;17.52000
53700;17.30000
54000;17.28000
54300;17.18000
54600;17.18000
54900;17.23000
55200;17.11000
55500;17.08000
55800;17.11000
56100;17.08000
56400;17.25000
56700;17.23000
57000;17.35000
57300;17.01000
57600;17.13000
57900;17.18000
58200;17.20000
58500;17.28000
58800;17.25000
59100;17.25000
59400;17.15000
59700;17.08000
60000;17.01000
60300;17.01000
60600;17.18000
60900;17.47000
61200;17.25000
61500;16.87000
61800;16.96000
62100;16.94000
62400;17.06000
62700;16.94000
63000;16.99000
63300;17.03000
63600;16.99000
63900;16.89000
64200;17.08000
64500;17.28000
64800;17.18000
65100;17.15000
65400;17.13000
65700;16.87000
66000;16.96000
66300;16.91000
66600;17.35000
66900;17.45000
67200;17.81000
67500;17.08000
67800;16.94000
68100;16.68000
68400;17.01000
68700;17.06000
69000;16.84000
69300;16.96000
69600;16.96000
69900;16.87000
70200;16.72000
70500;16.80000
70800;17.01000
71100;17.01000
71400;17.15000
71700;17.03000
72000;17.08000
72300;17.01000
72600;17.20000
72900;17.42000
73200;17.25000
73500;17.23000
73800;17.11000
74100;16.80000
74400;16.94000
74700;16.99000
75000;17.08000
75300;16.91000
75600;16.82000
75900;16.77000
76200;16.94000
76500;16.72000
76800;16.77000
77100;16.99000
77400;17.20000
77700;17.08000
78000;17.08000
78300;16.70000
78600;17.01000
78900;17.11000
79200;16.94000
79500;16.63000
79800;17.11000
80100;16.99000
80400;16.87000
80700;17.08000
81000;16.91000
81300;17.32000
81600;17.20000
81900;17.18000
82200;17.28000
82500;16.91000
82800;17.13000
83100;17.23000
83400;17.42000
83700;17.45000
84000;17.32000
84300;17.25000
84600;17.25000
84900;17.13000
85200;17.08000
85500;17.30000
85800;17.03000
86100;17.01000
