time_seconds;temperature
0;22.61000
300;22.68000
600;22.56000
900;22.66000
1200;22.56000
1500;22.63000
1800;22.51000
2100;22.63000
2400;22.63000
2700;22.61000
3000;22.61000
3300;22.68000
3600;22.58000
3900;22.61000
4200;22.51000
4500;22.47000
4800;22.54000
5100;22.51000
5400;22.58000
5700;22.54000
6000;22.54000
6300;22.51000
6600;22.51000
6900;22.51000
7200;22.54000
7500;22.38000
7800;22.47000
8100;22.51000
8400;22.54000
8700;22.35000
9000;22.54000
9300;22.44000
9600;22.51000
9900;22.56000
10200;22.49000
10500;22.42000
10800;22.49000
11100;22.38000
11400;22.40000
11700;22.35000
12000;22.47000
12300;22.49000
12600;22.40000
12900;22.35000
13200;22.40000
13500;22.44000
13800;22.35000
14100;22.22000
14400;22.40000
14700;22.33000
15000;22.33000
15300;22.31000
15600;22.26000
15900;22.31000
16200;22.40000
16500;22.29000
16800;22.38000
17100;22.33000
17400;22.35000
17700;22.40000
18000;22.35000
18300;22.35000
18600;22.29000
18900;22.35000
19200;22.38000
19500;22.75000
19800;22.97000
20100;22.99000
20400;22.87000
20700;22.99000
21000;22.82000
21300;22.70000
21600;22.80000
21900;22.68000
22200;22.87000
22500;22.92000
22800;22.75000
23100;22.78000
23400;22.56000
23700;22.82000
24000;22.82000
24300;22.78000
24600;22.82000
24900;22.73000
25200;22.66000
25500;22.78000
25800;22.92000
26100;22.78000
26400;22.80000
26700;22.63000
27000;22.85000
27300;22.73000
27600;22.63000
27900;22.70000
28200;22.61000
28500;22.73000
28800;22.61000
29100;22.97000
29400;22.75000
29700;22.94000
30000;22.80000
30300;22.80000
30600;22.85000
30900;22.75000
31200;22.90000
31500;22.87000
31800;22.87000
32100;22.90000
32400;22.90000
32700;22.75000
33000;22.75000
33300;22.85000
33600;22.75000
33900;22.80000
34200;22.87000
34500;22.97000
34800;22.94000
35100;22.80000
35400;22.94000
35700;22.90000
36000;22.85000
36300;22.90000
36600;22.82000
36900;22.85000
37200;22.94000
37500;23.09000
37800;22.94000
38100;22.87000
38400;22.92000
38700;22.82000
39000;23.06000
39300;22.99000
39600;22.99000
39900;22.99000
40200;23.04000
40500;22.99000
40800;22.97000
41100;23.09000
41400;23.02000
41700;23.02000
42000;23.11000
42300;23.16000
42600;23.14000
42900;23.09000
43200;23.16000
43500;23.04000
43800;23.25000
44100;23.04000
44400;23.14000
44700;23.20000
45000;23.18000
45300;23.20000
45600;23.23000
45900;23.09000
46200;23.23000
46500;23.29000
46800;23.23000
47100;23.32000
47400;23.20000
47700;23.34000
48000;23.16000
48300;23.23000
48600;23.32000
48900;23.36000
49200;22.99000
49500;22.85000
49800;22.73000
50100;22.75000
50400;22.85000
50700;22.73000
51000;22.66000
51300;22.78000
51600;22.85000
51900;22.80000
52200;22.73000
52500;22.75000
52800;22.66000
53100;22.68000
53400;22.68000
53700;22.82000
54000;22.80000
54300;22.68000
54600;22.66000
54900;22.68000
55200;22.68000
55500;22.78000
55800;22.75000
56100;22.87000
56400;22.85000
56700;22.85000
57000;22.68000
57300;22.78000
57600;22.70000
57900;22.70000
58200;22.78000
58500;22.73000
58800;22.63000
59100;22.58000
59400;22.75000
59700;22.68000
60000;22.58000
60300;22.61000
60600;22.51000
60900;22.63000
61200;22.61000
61500;22.56000
61800;22.61000
62100;22.66000
62400;22.73000
62700;22.56000
63000;22.63000
63300;22.61000
63600;22.63000
63900;22.61000
64200;22.61000
64500;22.61000
64800;22.61000
65100;22.61000
65400;22.44000
65700;22.54000
66000;22.58000
66300;22.49000
66600;22.58000
66900;22.44000
67200;22.49000
67500;22.56000
67800;22.54000
68100;22.54000
68400;22.38000
68700;22.58000
69000;22.66000
69300;22.47000
69600;22.44000
69900;22.40000
70200;22.44000
70500;22.61000
70800;22.44000
71100;22.42000
71400;22.42000
71700;22.47000
72000;22.47000
72300;22.40000
72600;22.54000
72900;22.44000
73200;22.42000
73500;22.47000
73800;22.42000
74100;22.44000
74400;22.47000
74700;22.44000
75000;23.63000
75300;22.38000
75600;22.47000
75900;22.44000
76200;22.33000
76500;22.35000
76800;22.38000
77100;22.40000
77400;22.24000
77700;22.42000
78000;22.26000
78300;22.29000
78600;22.35000
78900;22.35000
79200;22.38000
79500;22.26000
79800;22.33000
80100;22.35000
80400;22.26000
80700;22.35000
81000;22.26000
81300;22.35000
81600;22.26000
81900;22.40000
82200;22.29000
82500;22.26000
82800;22.22000
83100;22.19000
83400;22.26000
83700;22.38000
84000;22.35000
84300;22.35000
84600;22.35000
84900;22.22000
85200;22.17000
85500;22.40000
85800;22.29000
86100;22.22000
86400;22.38000
86700;22.31000
87000;22.35000
87300;22.24000
87600;22.31000
87900;22.31000
88200;22.19000
88500;22.31000
88800;22.19000
89100;22.17000
89400;22.29000
89700;22.31000
90000;22.19000
90300;22.19000
90600;22.31000
90900;22.13000
91200;22.22000
91500;22.31000
91800;22.26000
92100;22.31000
92400;22.24000
92700;22.29000
93000;22.15000
93300;22.33000
93600;22.19000
93900;22.24000
94200;22.19000
94500;22.33000
94800;22.08000
95100;22.10000
95400;22.08000
95700;22.26000
96000;22.19000
96300;22.22000
96600;22.22000
96900;22.19000
97200;22.19000
97500;22.10000
97800;22.22000
98100;22.24000
98400;22.31000
98700;22.19000
99000;22.17000
99300;22.19000
99600;22.33000
99900;22.19000
100200;22.17000
100500;22.13000
100800;22.06000
101100;22.17000
101400;22.10000
101700;22.10000
102000;22.17000
102300;22.22000
102600;22.13000
102900;22.10000
103200;22.19000
103500;22.22000
103800;22.19000
104100;22.22000
104400;22.24000
104700;22.17000
105000;22.24000
105300;22.17000
105600;22.19000
105900;22.42000
106200;22.35000
106500;22.38000
106800;22.35000
107100;22.22000
107400;22.38000
107700;22.58000
108000;22.44000
108300;22.47000
108600;22.44000
108900;22.44000
109200;22.42000
109500;22.44000
109800;22.38000
110100;22.54000
110400;22.56000
110700;22.38000
111000;22.61000
111300;22.51000
111600;22.51000
111900;22.49000
112200;22.51000
112500;22.49000
112800;22.54000
113100;22.44000
113400;22.51000
113700;22.63000
114000;22.63000
114300;22.61000
114600;22.63000
114900;22.82000
115200;22.73000
115500;22.70000
115800;22.87000
116100;23.06000
116400;23.14000
116700;23.36000
117000;23.38000
117300;23.34000
117600;23.41000
117900;23.29000
118200;23.34000
118500;23.48000
118800;23.43000
119100;23.50000
119400;23.48000
119700;23.54000
120000;23.48000
120300;23.63000
120600;23.38000
120900;23.29000
121200;23.27000
121500;23.38000
121800;23.36000
122100;23.27000
122400;23.27000
122700;23.50000
123000;23.48000
123300;23.27000
123600;23.41000
123900;23.23000
124200;23.34000
124500;23.25000
124800;23.34000
125100;23.20000
125400;23.34000
125700;23.34000
126000;23.59000
126300;23.70000
126600;23.59000
126900;23.66000
127200;23.73000
127500;23.98000
127800;23.98000
128100;24.17000
128400;24.32000
128700;24.41000
129000;24.43000
129300;24.32000
129600;24.50000
129900;24.72000
130200;24.45000
130500;24.38000
130800;24.45000
131100;24.56000
131400;24.68000
131700;24.70000
132000;24.56000
132300;24.56000
132600;24.56000
132900;24.52000
133200;24.63000
133500;24.52000
133800;24.66000
134100;24.66000
134400;24.43000
134700;24.36000
135000;24.20000
135300;24.03000
135600;24.03000
135900;24.06000
136200;24.17000
136500;24.22000
136800;24.10000
137100;24.08000
137400;24.20000
137700;24.17000
138000;23.98000
138300;23.94000
138600;23.94000
138900;23.91000
139200;23.77000
139500;23.91000
139800;23.84000
140100;23.77000
140400;23.84000
140700;23.82000
141000;23.59000
141300;23.66000
141600;23.77000
141900;23.87000
142200;23.89000
142500;23.91000
142800;23.91000
143100;23.84000
143400;23.91000
143700;23.96000
144000;24.03000
144300;23.82000
144600;23.96000
144900;23.82000
145200;23.87000
145500;23.73000
145800;23.73000
146100;23.68000
146400;23.73000
146700;23.75000
147000;23.66000
147300;23.70000
147600;23.54000
147900;23.52000
148200;23.50000
148500;23.48000
148800;23.50000
149100;23.48000
149400;23.43000
149700;23.41000
150000;23.41000
150300;23.38000
150600;23.50000
150900;23.38000
151200;23.29000
151500;23.29000
151800;23.29000
152100;23.29000
152400;23.36000
152700;23.36000
153000;23.23000
153300;23.32000
153600;23.25000
153900;23.25000
154200;23.23000
154500;23.23000
154800;23.11000
155100;23.16000
155400;23.16000
155700;23.16000
156000;23.23000
156300;23.20000
156600;23.16000
156900;23.23000
157200;23.09000
157500;23.09000
157800;23.06000
158100;23.14000
158400;22.99000
158700;23.02000
159000;23.04000
159300;23.02000
159600;23.11000
159900;23.14000
160200;22.94000
160500;22.99000
160800;23.02000
161100;22.94000
161400;22.94000
161700;22.87000
162000;23.06000
162300;22.80000
162600;22.97000
162900;22.99000
163200;23.02000
163500;22.87000
163800;22.92000
164100;22.94000
164400;22.87000
164700;22.94000
165000;22.87000
165300;22.90000
165600;22.90000
165900;22.92000
166200;22.94000
166500;22.80000
166800;22.85000
167100;22.80000
167400;22.90000
167700;22.80000
168000;22.85000
168300;22.85000
168600;22.85000
168900;22.87000
169200;22.85000
169500;22.70000
169800;22.80000
170100;22.75000
170400;22.82000
170700;22.82000
171000;22.78000
171300;22.80000
171600;22.58000
171900;22.80000
172200;22.75000
172500;22.75000
172800;22.61000
173100;22.68000
173400;22.66000
173700;22.70000
174000;22.70000
174300;22.68000
174600;22.63000
174900;22.75000
175200;22.78000
175500;22.78000
175800;22.68000
176100;22.78000
176400;22.61000
176700;22.63000
177000;22.78000
177300;22.73000
177600;22.73000
177900;22.61000
178200;22.73000
178500;22.61000
178800;22.56000
179100;22.73000
179400;22.51000
179700;22.61000
180000;22.73000
180300;22.61000
180600;22.73000
180900;22.54000
181200;22.56000
181500;22.58000
181800;22.63000
182100;22.61000
182400;22.61000
182700;22.58000
183000;22.61000
183300;22.61000
183600;22.73000
183900;22.61000
184200;22.75000
184500;22.58000
184800;22.58000
185100;22.49000
185400;22.49000
185700;22.54000
186000;22.56000
186300;22.54000
186600;22.56000
186900;22.56000
187200;22.56000
187500;22.54000
187800;22.49000
188100;22.58000
188400;22.61000
188700;22.51000
189000;22.40000
189300;22.66000
189600;22.47000
189900;22.47000
190200;22.47000
190500;22.51000
190800;22.54000
191100;22.51000
191400;22.49000
191700;22.61000
192000;22.44000
192300;22.73000
192600;22.85000
192900;22.78000
193200;22.56000
193500;22.66000
193800;22.56000
194100;22.56000
194400;22.66000
194700;22.78000
195000;22.97000
195300;22.70000
195600;22.68000
195900;22.78000
196200;22.80000
196500;22.80000
196800;22.63000
197100;22.80000
197400;22.58000
197700;22.78000
198000;22.82000
198300;22.80000
198600;22.78000
198900;22.75000
199200;22.73000
199500;22.70000
199800;22.68000
200100;22.75000
200400;22.70000
200700;22.78000
201000;22.70000
201300;22.97000
201600;22.78000
201900;22.82000
202200;22.87000
202500;22.90000
202800;23.04000
203100;22.85000
203400;22.87000
203700;22.92000
204000;22.94000
204300;23.09000
204600;23.20000
204900;23.34000
205200;23.18000
205500;23.18000
205800;23.16000
206100;23.04000
206400;23.16000
206700;23.06000
207000;23.20000
207300;23.25000
207600;23.61000
207900;24.06000
208200;24.61000
208500;24.22000
208800;23.50000
209100;24.95000
209400;24.54000
209700;25.18000
210000;25.65000
210300;25.60000
210600;25.53000
210900;25.00000
211200;24.45000
211500;24.54000
211800;25.14000
212100;25.60000
212400;25.60000
212700;25.63000
213000;25.18000
213300;24.43000
213600;24.95000
213900;24.34000
214200;23.84000
214500;24.22000
214800;24.88000
215100;24.95000
215400;24.81000
215700;24.17000
216000;23.91000
216300;23.80000
216600;23.70000
216900;23.63000
217200;23.80000
217500;23.77000
217800;23.84000
218100;23.87000
218400;23.89000
218700;24.08000
219000;23.82000
219300;23.63000
219600;23.63000
219900;23.48000
220200;23.52000
220500;23.52000
220800;23.41000
221100;23.70000
221400;23.38000
221700;23.38000
222000;23.48000
222300;23.48000
222600;23.52000
222900;23.57000
223200;23.54000
223500;23.43000
223800;23.38000
224100;23.43000
224400;23.29000
224700;23.38000
225000;23.36000
225300;23.29000
225600;23.32000
225900;23.41000
226200;23.29000
226500;23.27000
226800;23.29000
227100;23.23000
227400;23.11000
227700;23.25000
228000;23.16000
228300;23.25000
228600;23.14000
228900;23.16000
229200;23.16000
229500;23.14000
229800;23.06000
230100;23.14000
230400;23.18000
230700;23.06000
231000;22.92000
231300;23.20000
231600;23.14000
231900;23.06000
232200;23.06000
232500;22.99000
232800;23.06000
233100;23.16000
233400;22.97000
233700;23.02000
234000;23.06000
234300;23.02000
234600;22.94000
234900;22.92000
235200;22.92000
235500;22.92000
235800;23.09000
236100;22.97000
236400;23.06000
236700;22.92000
237000;22.80000
237300;22.87000
237600;22.87000
237900;22.82000
238200;22.92000
238500;22.80000
238800;22.87000
239100;22.90000
239400;22.90000
239700;22.80000
240000;22.78000
240300;22.68000
240600;22.73000
240900;22.82000
241200;22.80000
241500;22.82000
241800;22.73000
242100;22.82000
242400;22.82000
242700;22.78000
243000;22.82000
243300;22.78000
243600;22.78000
243900;22.70000
244200;22.78000
244500;22.80000
244800;22.70000
245100;22.70000
245400;22.75000
245700;22.66000
246000;22.78000
246300;22.68000
246600;22.75000
246900;22.63000
247200;22.68000
247500;22.63000
247800;22.63000
248100;22.80000
248400;22.78000
248700;22.73000
249000;22.68000
249300;22.68000
249600;22.78000
249900;22.63000
250200;22.66000
250500;22.66000
250800;22.58000
251100;22.68000
251400;22.63000
251700;22.56000
252000;22.70000
252300;22.66000
252600;22.68000
252900;22.66000
253200;22.66000
253500;22.61000
253800;22.56000
254100;22.68000
254400;22.56000
254700;22.54000
255000;22.68000
255300;22.58000
255600;22.61000
255900;22.58000
256200;22.61000
256500;22.63000
256800;22.63000
257100;22.61000
257400;22.47000
257700;22.66000
258000;22.51000
258300;22.51000
258600;22.56000
258900;22.56000
259200;22.68000
259500;22.56000
259800;22.47000
260100;22.61000
260400;22.54000
260700;22.58000
261000;22.58000
261300;22.47000
261600;22.54000
261900;22.63000
262200;22.61000
262500;22.51000
262800;22.58000
263100;22.51000
263400;22.35000
263700;22.58000
264000;22.66000
264300;22.44000
264600;22.54000
264900;22.63000
265200;22.61000
265500;22.56000
265800;22.54000
266100;22.58000
266400;22.54000
266700;22.56000
267000;22.54000
267300;22.58000
267600;22.54000
267900;22.54000
268200;22.51000
268500;22.47000
268800;22.61000
269100;22.51000
269400;22.58000
269700;22.56000
270000;22.54000
270300;22.44000
270600;22.40000
270900;22.49000
271200;22.54000
271500;22.42000
271800;22.49000
272100;22.44000
272400;22.54000
272700;22.42000
273000;22.47000
273300;22.49000
273600;22.44000
273900;22.42000
274200;22.51000
274500;22.49000
274800;22.38000
275100;22.49000
275400;22.42000
275700;22.44000
276000;22.44000
276300;22.42000
276600;22.51000
276900;22.24000
277200;22.31000
277500;22.51000
277800;22.38000
278100;22.40000
278400;22.44000
278700;22.85000
279000;22.90000
279300;23.04000
279600;23.02000
279900;22.97000
280200;23.11000
280500;22.58000
280800;22.51000
281100;22.58000
281400;22.73000
281700;22.78000
282000;22.75000
282300;22.97000
282600;22.99000
282900;23.06000
283200;23.14000
283500;23.23000
283800;23.23000
284100;23.41000
284400;23.29000
284700;23.29000
285000;23.27000
285300;23.29000
285600;23.34000
285900;23.48000
286200;23.34000
286500;23.34000
286800;23.41000
287100;23.54000
287400;23.50000
287700;23.54000
288000;23.57000
288300;23.43000
288600;23.54000
