time_seconds;temperature
0;20.08000
300;20.22000
600;19.98000
900;19.96000
1200;20.12000
1500;20.01000
1800;20.08000
2100;20.01000
2400;19.98000
2700;19.98000
3000;20.05000
3300;19.89000
3600;19.91000
3900;19.96000
4200;20.03000
4500;20.08000
4800;19.87000
5100;20.01000
5400;20.05000
5700;19.89000
6000;20.01000
6300;20.03000
6600;19.98000
6900;19.96000
7200;20.12000
7500;19.91000
7800;19.91000
8100;20.03000
8400;20.15000
8700;20.12000
9000;20.01000
9300;19.96000
9600;19.91000
9900;19.87000
10200;20.01000
10500;20.01000
10800;19.91000
11100;20.05000
11400;19.91000
11700;20.15000
12000;19.91000
12300;20.01000
12600;19.91000
12900;19.98000
13200;19.96000
13500;19.98000
13800;19.96000
14100;19.91000
14400;19.94000
14700;19.98000
15000;19.98000
15300;19.94000
15600;20.05000
15900;21.10000
16200;20.03000
16500;20.36000
16800;20.58000
17100;20.82000
17400;20.85000
17700;21.07000
86400;20.34000
86700;20.34000
87000;20.29000
87300;20.34000
87600;20.24000
87900;20.24000
88200;20.41000
88500;20.36000
88800;20.29000
89100;20.22000
89400;20.29000
89700;20.32000
90000;20.17000
90300;20.36000
90600;20.19000
90900;20.34000
91200;20.29000
91500;20.36000
91800;20.24000
92100;20.39000
92400;20.27000
92700;20.22000
93000;20.19000
93300;20.36000
93600;20.34000
93900;20.32000
94200;20.27000
94500;20.41000
94800;20.49000
95100;20.41000
95400;20.19000
95700;20.39000
96000;20.22000
96300;20.32000
96600;20.24000
96900;20.22000
97200;20.17000
97500;20.27000
97800;20.22000
98100;20.24000
98400;20.27000
98700;20.34000
99000;20.24000
99300;20.27000
99600;20.36000
99900;20.34000
100200;20.36000
100500;20.29000
100800;20.29000
101100;20.27000
101400;20.29000
101700;20.34000
102000;20.34000
102300;20.63000
102600;20.96000
102900;21.07000
103200;21.14000
103500;21.07000
103800;21.28000
104100;21.51000
172800;20.24000
173100;20.22000
173400;20.10000
173700;20.12000
174000;20.17000
174300;20.12000
174600;20.22000
174900;20.22000
175200;20.15000
175500;20.24000
175800;20.12000
176100;20.27000
176400;20.24000
176700;20.19000
177000;20.19000
177300;20.10000
177600;20.19000
177900;20.15000
178200;20.15000
178500;20.19000
178800;20.22000
179100;20.08000
179400;20.12000
179700;20.17000
180000;20.15000
180300;20.10000
180600;20.17000
180900;20.15000
181200;20.05000
181500;20.05000
181800;20.17000
182100;20.12000
182400;20.15000
182700;20.08000
183000;20.03000
183300;20.15000
183600;20.15000
183900;20.08000
184200;20.08000
184500;19.98000
184800;20.12000
185100;20.12000
185400;20.08000
185700;20.03000
186000;20.01000
186300;19.98000
186600;20.01000
186900;20.08000
187200;20.24000
187500;20.29000
187800;20.12000
188100;20.05000
188400;20.15000
188700;20.27000
189000;20.12000
189300;20.24000
189600;20.29000
189900;20.71000
190200;20.89000
190500;20.87000
259200;20.17000
259500;20.17000
259800;20.17000
260100;20.17000
260400;20.12000
260700;20.27000
261000;20.17000
261300;20.24000
261600;20.22000
261900;20.22000
262200;20.32000
262500;20.08000
262800;20.19000
263100;20.05000
263400;20.12000
263700;20.12000
264000;20.15000
264300;20.15000
264600;20.27000
264900;20.05000
265200;20.08000
265500;20.15000
265800;20.10000
266100;20.22000
266400;20.12000
266700;20.17000
267000;20.12000
267300;20.08000
267900;20.15000
268200;20.19000
268500;20.19000
268800;20.17000
269100;20.17000
269400;20.12000
269700;20.22000
270000;20.12000
270300;20.10000
270600;20.22000
270900;20.15000
271200;20.05000
271500;20.15000
271800;19.98000
272100;20.19000
272400;19.98000
272700;20.12000
273000;20.08000
273300;20.08000
273600;20.24000
273900;20.15000
274200;20.01000
274500;19.96000
274800;20.08000
275100;20.19000
275400;20.15000
275700;20.08000
276000;20.01000
276300;19.98000
276600;20.27000
276900;20.34000
277200;20.39000
345900;20.54000
346200;20.66000
346500;20.61000
346800;20.61000
347100;20.54000
347400;20.51000
347700;20.46000
348000;20.54000
348300;20.51000
348600;20.54000
348900;20.58000
349200;20.56000
349500;20.58000
349800;20.46000
350100;20.58000
350400;20.46000
350700;20.51000
351000;20.46000
351300;20.63000
351600;20.44000
351900;20.49000
352200;20.61000
352500;20.49000
352800;20.49000
353100;20.61000
353400;20.68000
353700;20.58000
354000;20.61000
354300;20.66000
354600;20.46000
354900;20.58000
355200;20.63000
355500;20.51000
355800;20.66000
356100;20.56000
356400;20.68000
356700;20.76000
357000;20.66000
357300;20.63000
357600;20.63000
357900;20.66000
358200;20.61000
358500;20.58000
358800;20.63000
359100;20.61000
359400;20.73000
359700;20.68000
360000;20.58000
360300;20.51000
360600;20.56000
360900;20.49000
361200;20.63000
361500;20.87000
361800;20.91000
362100;20.87000
362400;20.78000
362700;20.89000
363000;20.89000
363300;21.05000
363600;21.30000
432300;20.63000
432600;20.73000
432900;20.61000
433200;20.61000
433500;20.71000
433800;20.76000
434100;20.76000
434400;20.63000
434700;20.63000
435000;20.82000
435300;20.76000
435600;20.80000
435900;20.58000
436200;20.78000
436500;20.71000
436800;20.73000
437100;20.68000
437400;20.66000
437700;20.71000
438000;20.80000
438300;20.61000
438600;19.45000
438900;20.85000
439200;20.78000
439500;20.68000
439800;20.73000
440100;20.68000
440400;20.68000
440700;20.66000
441000;20.80000
441300;20.73000
441600;20.56000
441900;20.66000
442200;20.78000
442500;20.68000
442800;20.61000
443100;20.68000
443400;20.71000
443700;20.85000
444000;20.61000
444300;20.73000
444600;20.76000
444900;20.82000
445200;20.66000
445500;20.76000
445800;20.68000
446100;20.71000
446400;20.78000
446700;20.58000
447000;20.73000
447300;20.76000
447600;20.73000
447900;20.68000
448200;20.76000
448500;20.63000
448800;20.66000
449100;20.63000
449400;20.82000
449700;20.68000
450000;20.71000
518700;20.87000
519000;20.78000
519300;20.91000
519600;20.82000
519900;20.89000
520200;20.85000
520500;20.76000
520800;20.85000
