time_seconds;temperature
0;21.12000
300;20.94000
600;20.98000
900;21.16000
1200;20.91000
1500;20.89000
1800;21.03000
2100;20.89000
2400;20.98000
2700;20.98000
3000;21.07000
3300;21.07000
3600;21.05000
3900;20.89000
4200;20.98000
4500;20.96000
4800;20.89000
5100;21.05000
5400;20.87000
5700;20.96000
6000;20.91000
6300;21.03000
6600;20.96000
6900;20.80000
7200;20.98000
7500;20.94000
7800;20.85000
8100;20.87000
8400;20.91000
8700;20.91000
9000;20.87000
9300;20.87000
9600;20.94000
9900;20.76000
10200;20.89000
10500;20.80000
10800;20.85000
11100;20.94000
11400;20.96000
11700;20.80000
12000;20.96000
12300;20.91000
12600;20.80000
12900;20.85000
13200;20.80000
13500;20.85000
13800;20.91000
14100;20.89000
14400;20.85000
14700;20.91000
15000;20.85000
15300;20.87000
15600;21.03000
15900;20.85000
16200;20.78000
16500;20.82000
16800;20.80000
17100;20.89000
17400;20.82000
17700;20.85000
18000;20.89000
