run_id,NR_POS,NR_NEG,TP,FP,TN,FN,precision,recall,f1,PAR,NAR,FP_indices
clean_naiv_s5_k2,20,40,20,0,40,0,1.0000,1.0000,1.0000,100.0000,0.0000,[]
clean_naiv_s5_k2,5,5,1,0,5,4,1.0000,0.2000,0.3333,20.0000,0.0000,[]
clean_naiv_s5_k2,10,10,4,0,10,6,1.0000,0.4000,0.5714,40.0000,0.0000,[]
clean_naiv_s5_k2,10,10,9,0,10,1,1.0000,0.9000,0.9474,90.0000,0.0000,[]
clean_naiv_s5_k2,10,10,9,0,10,1,1.0000,0.9000,0.9474,90.0000,0.0000,[]
clean_naiv_s5_k2,10,10,9,0,10,1,1.0000,0.9000,0.9474,90.0000,0.0000,[]
clean_naiv_s5_k2,10,10,9,0,10,1,1.0000,0.9000,0.9474,90.0000,0.0000,[]
clean_naiv_s5_k2,10,10,9,0,10,1,1.0000,0.9000,0.9474,90.0000,0.0000,[]
clean_naiv_s5_k2,10,10,4,0,10,6,1.0000,0.4000,0.5714,40.0000,0.0000,[]
clean_naiv_s5_k2,10,10,4,0,10,6,1.0000,0.4000,0.5714,40.0000,0.0000,[]
clean_naiv_s5_k2,10,10,4,0,10,6,1.0000,0.4000,0.5714,40.0000,0.0000,[]
clean_naiv_s5_k2,10,10,4,0,10,6,1.0000,0.4000,0.5714,40.0000,0.0000,[]
clean_naiv_s5_k2,10,10,4,0,10,6,1.0000,0.4000,0.5714,40.0000,0.0000,[]
