run_id,NR_POS,NR_NEG,TP,FP,TN,FN,precision,recall,f1,PAR,NAR,FP_indices
noisy_naiv_s5_k2,5,5,3,1,4,2,0.7500,0.6000,0.6667,60.0000,20.0000,[2]
noisy_naiv_s5_k2,10,10,1,2,8,9,0.3333,0.1000,0.1538,10.0000,20.0000,[3, 7]
noisy_naiv_s5_k2,10,10,1,2,8,9,0.3333,0.1000,0.1538,10.0000,20.0000,[3, 7]
noisy_naiv_s5_k2,10,10,1,2,8,9,0.3333,0.1000,0.1538,10.0000,20.0000,[3, 7]
noisy_naiv_s5_k2,10,10,1,2,8,9,0.3333,0.1000,0.1538,10.0000,20.0000,[3, 7]
noisy_naiv_s5_k2,10,10,1,2,8,9,0.3333,0.1000,0.1538,10.0000,20.0000,[3, 7]
noisy_naiv_s5_k2,10,10,1,2,8,9,0.3333,0.1000,0.1538,10.0000,20.0000,[3, 7]
noisy_naiv_s5_k2,10,10,1,2,8,9,0.3333,0.1000,0.1538,10.0000,20.0000,[3, 7]
noisy_naiv_s5_k2,10,10,1,2,8,9,0.3333,0.1000,0.1538,10.0000,20.0000,[3, 7]
noisy_naiv_s5_k2,10,10,1,2,8,9,0.3333,0.1000,0.1538,10.0000,20.0000,[3, 7]
noisy_naiv_s5_k2,10,10,1,2,8,9,0.3333,0.1000,0.1538,10.0000,20.0000,[3, 7]
