run_id,NR_POS,NR_NEG,TP,FP,TN,FN,precision,recall,f1,PAR,NAR,FP_indices
1beat-A-100trace-s5-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-200trace-s5-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-300trace-s5-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-400trace-s5-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-500trace-s5-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-100trace-s5-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-200trace-s5-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-100trace-s10-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-200trace-s10-k4,682,682,4,0,682,678,1.0000,0.0059,0.0117,0.5865,0.0000,[]
1beat-A-300trace-s10-k4,682,682,115,0,682,567,1.0000,0.1686,0.2886,16.8622,0.0000,[]
1beat-A-400trace-s10-k4,682,682,105,0,682,577,1.0000,0.1540,0.2668,15.3959,0.0000,[]
1beat-A-500trace-s10-k4,682,682,127,0,682,555,1.0000,0.1862,0.3140,18.6217,0.0000,[]
1beat-A-100trace-s15-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-200trace-s15-k4,682,682,232,0,682,450,1.0000,0.3402,0.5077,34.0176,0.0000,[]
1beat-A-300trace-s15-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-400trace-s15-k4,682,682,4,0,682,678,1.0000,0.0059,0.0117,0.5865,0.0000,[]
1beat-A-500trace-s15-k4,682,682,182,0,682,500,1.0000,0.2669,0.4213,26.6862,0.0000,[]
1beat-A-600trace-s15-k4,682,682,199,0,682,483,1.0000,0.2918,0.4518,29.1789,0.0000,[]
1beat-A-700trace-s15-k4,682,682,206,0,682,476,1.0000,0.3021,0.4640,30.2053,0.0000,[]
1beat-A-800trace-s15-k4,682,682,46,0,682,636,1.0000,0.0674,0.1264,6.7449,0.0000,[]
1beat-A-900trace-s15-k4,682,682,146,0,682,536,1.0000,0.2141,0.3527,21.4076,0.0000,[]
1beat-A-600trace-s5-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-700trace-s5-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-800trace-s5-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-900trace-s5-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-600trace-s10-k4,682,682,108,0,682,574,1.0000,0.1584,0.2734,15.8358,0.0000,[]
1beat-A-700trace-s10-k4,682,682,116,0,682,566,1.0000,0.1701,0.2907,17.0088,0.0000,[]
1beat-A-800trace-s10-k4,682,682,21,0,682,661,1.0000,0.0308,0.0597,3.0792,0.0000,[]
1beat-A-900trace-s10-k4,682,682,345,0,682,337,1.0000,0.5059,0.6719,50.5865,0.0000,[]
