run_id,NR_POS,NR_NEG,TP,FP,TN,FN,precision,recall,f1,PAR,NAR,FP_indices
1beat-A-100trace-s5-skipmin4-skipmax4-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-200trace-s5-skipmin4-skipmax4-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-300trace-s5-skipmin4-skipmax4-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-400trace-s5-skipmin4-skipmax4-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-500trace-s5-skipmin4-skipmax4-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-600trace-s5-skipmin4-skipmax4-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-700trace-s5-skipmin4-skipmax4-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-800trace-s5-skipmin4-skipmax4-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-900trace-s5-skipmin4-skipmax4-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-1000trace-s5-skipmin4-skipmax4-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-100trace-s10-skipmin4-skipmax4-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-300trace-s10-skipmin4-skipmax4-k4,682,682,8,0,682,674,1.0000,0.0117,0.0232,1.1730,0.0000,[]
1beat-A-400trace-s10-skipmin4-skipmax4-k4,682,682,11,0,682,671,1.0000,0.0161,0.0317,1.6129,0.0000,[]
1beat-A-500trace-s10-skipmin4-skipmax4-k4,682,682,65,0,682,617,1.0000,0.0953,0.1740,9.5308,0.0000,[]
1beat-A-600trace-s10-skipmin4-skipmax4-k4,682,682,138,0,682,544,1.0000,0.2023,0.3366,20.2346,0.0000,[]
1beat-A-700trace-s10-skipmin4-skipmax4-k4,682,682,113,0,682,569,1.0000,0.1657,0.2843,16.5689,0.0000,[]
1beat-A-800trace-s10-skipmin4-skipmax4-k4,682,682,56,0,682,626,1.0000,0.0821,0.1518,8.2111,0.0000,[]
1beat-A-900trace-s10-skipmin4-skipmax4-k4,682,682,87,0,682,595,1.0000,0.1276,0.2263,12.7566,0.0000,[]
1beat-A-1000trace-s10-skipmin4-skipmax4-k4,682,682,210,0,682,472,1.0000,0.3079,0.4709,30.7918,0.0000,[]
1beat-A-500trace-s15-skipmin4-skipmax4-k4,682,682,58,0,682,624,1.0000,0.0850,0.1568,8.5044,0.0000,[]
1beat-A-600trace-s15-skipmin4-skipmax4-k4,682,682,14,0,682,668,1.0000,0.0205,0.0402,2.0528,0.0000,[]
1beat-A-700trace-s15-skipmin4-skipmax4-k4,682,682,6,0,682,676,1.0000,0.0088,0.0174,0.8798,0.0000,[]
1beat-A-800trace-s15-skipmin4-skipmax4-k4,682,682,27,0,682,655,1.0000,0.0396,0.0762,3.9589,0.0000,[]
1beat-A-900trace-s15-skipmin4-skipmax4-k4,682,682,152,0,682,530,1.0000,0.2229,0.3645,22.2874,0.0000,[]
