run_id,NR_POS,NR_NEG,TP,FP,TN,FN,precision,recall,f1,PAR,NAR,FP_indices
1beat-A-100trace-s15-w24-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-100trace-s5-w24-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-200trace-s5-w24-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-300trace-s5-w24-k4,682,682,150,0,682,532,1.0000,0.2199,0.3606,21.9941,0.0000,[]
1beat-A-400trace-s5-w24-k4,682,682,190,0,682,492,1.0000,0.2786,0.4358,27.8592,0.0000,[]
1beat-A-500trace-s5-w24-k4,682,682,190,0,682,492,1.0000,0.2786,0.4358,27.8592,0.0000,[]
1beat-A-100trace-s5-w48-k4,682,682,29,0,682,653,1.0000,0.0425,0.0816,4.2522,0.0000,[]
1beat-A-200trace-s5-w48-k4,682,682,47,0,682,635,1.0000,0.0689,0.1289,6.8915,0.0000,[]
1beat-A-300trace-s5-w48-k4,682,682,54,0,682,628,1.0000,0.0792,0.1467,7.9179,0.0000,[]
1beat-A-400trace-s5-w48-k4,682,682,52,0,682,630,1.0000,0.0762,0.1417,7.6246,0.0000,[]
1beat-A-500trace-s5-w48-k4,682,682,78,0,682,604,1.0000,0.1144,0.2053,11.4370,0.0000,[]
1beat-A-100trace-s5-w288-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-200trace-s5-w288-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-300trace-s5-w288-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-400trace-s5-w288-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-500trace-s5-w288-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-100trace-s10-w24-k4,682,682,8,0,682,674,1.0000,0.0117,0.0232,1.1730,0.0000,[]
1beat-A-200trace-s10-w24-k4,682,682,12,0,682,670,1.0000,0.0176,0.0346,1.7595,0.0000,[]
1beat-A-300trace-s10-w24-k4,682,682,16,0,682,666,1.0000,0.0235,0.0458,2.3460,0.0000,[]
1beat-A-400trace-s10-w24-k4,682,682,18,0,682,664,1.0000,0.0264,0.0514,2.6393,0.0000,[]
1beat-A-500trace-s10-w24-k4,682,682,49,0,682,633,1.0000,0.0718,0.1341,7.1848,0.0000,[]
1beat-A-100trace-s10-w48-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-200trace-s10-w48-k4,682,682,3,0,682,679,1.0000,0.0044,0.0088,0.4399,0.0000,[]
1beat-A-300trace-s10-w48-k4,682,682,34,0,682,648,1.0000,0.0499,0.0950,4.9853,0.0000,[]
1beat-A-400trace-s10-w48-k4,682,682,6,0,682,676,1.0000,0.0088,0.0174,0.8798,0.0000,[]
1beat-A-500trace-s10-w48-k4,682,682,25,0,682,657,1.0000,0.0367,0.0707,3.6657,0.0000,[]
1beat-A-100trace-s10-w288-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-200trace-s10-w288-k4,682,682,6,0,682,676,1.0000,0.0088,0.0174,0.8798,0.0000,[]
1beat-A-300trace-s10-w288-k4,682,682,67,0,682,615,1.0000,0.0982,0.1789,9.8240,0.0000,[]
1beat-A-400trace-s10-w288-k4,682,682,147,0,682,535,1.0000,0.2155,0.3546,21.5543,0.0000,[]
1beat-A-500trace-s10-w288-k4,682,682,55,0,682,627,1.0000,0.0806,0.1493,8.0645,0.0000,[]
1beat-A-600trace-s10-w24-k4,682,682,53,0,682,629,1.0000,0.0777,0.1442,7.7713,0.0000,[]
1beat-A-800trace-s10-w24-k4,682,682,76,0,682,606,1.0000,0.1114,0.2005,11.1437,0.0000,[]
1beat-A-900trace-s10-w24-k4,682,682,64,0,682,618,1.0000,0.0938,0.1716,9.3842,0.0000,[]
1beat-A-1000trace-s10-w24-k4,682,682,90,0,682,592,1.0000,0.1320,0.2332,13.1965,0.0000,[]
1beat-A-600trace-s10-w48-k4,682,682,32,0,682,650,1.0000,0.0469,0.0896,4.6921,0.0000,[]
1beat-A-800trace-s10-w48-k4,682,682,52,0,682,630,1.0000,0.0762,0.1417,7.6246,0.0000,[]
1beat-A-900trace-s10-w48-k4,682,682,48,0,682,634,1.0000,0.0704,0.1315,7.0381,0.0000,[]
1beat-A-1000trace-s10-w48-k4,682,682,46,0,682,636,1.0000,0.0674,0.1264,6.7449,0.0000,[]
