run_id,NR_POS,NR_NEG,TP,FP,TN,FN,precision,recall,f1,PAR,NAR,FP_indices
1day-A-1trace-s5-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-10trace-s5-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-20trace-s5-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-30trace-s5-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-40trace-s5-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-50trace-s5-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s5-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-10trace-s5-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-20trace-s5-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-30trace-s5-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-40trace-s5-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-50trace-s5-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s10-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-10trace-s10-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-20trace-s10-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-30trace-s10-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-40trace-s10-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-50trace-s10-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s10-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-10trace-s10-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-20trace-s10-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-30trace-s10-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-40trace-s10-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-50trace-s10-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s15-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-10trace-s15-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-20trace-s15-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-30trace-s15-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-40trace-s15-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-50trace-s15-w24-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s15-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-10trace-s15-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-20trace-s15-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-30trace-s15-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-40trace-s15-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-50trace-s15-w48-k4,86,88,0,0,88,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
