run_id,NR_POS,NR_NEG,TP,FP,TN,FN,precision,recall,f1,PAR,NAR,FP_indices
1beat-A-1trace-s12-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-1trace-s12-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-1trace-s12-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-1trace-s12-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-1trace-s12-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-1trace-s12-k2,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-2trace-s12-k2,682,682,7,0,682,675,1.0000,0.0103,0.0203,1.0264,0.0000,[]
1beat-A-3trace-s12-k2,682,682,2,0,682,680,1.0000,0.0029,0.0058,0.2933,0.0000,[]
1beat-A-4trace-s12-k2,682,682,5,0,682,677,1.0000,0.0073,0.0146,0.7331,0.0000,[]
1beat-A-5trace-s12-k2,682,682,38,0,682,644,1.0000,0.0557,0.1056,5.5718,0.0000,[]
1beat-A-6trace-s12-k2,682,682,23,0,682,659,1.0000,0.0337,0.0652,3.3724,0.0000,[]
1beat-A-7trace-s12-k2,682,682,25,0,682,657,1.0000,0.0367,0.0707,3.6657,0.0000,[]
1beat-A-8trace-s12-k2,682,682,40,0,682,642,1.0000,0.0587,0.1108,5.8651,0.0000,[]
1beat-A-9trace-s12-k2,682,682,46,0,682,636,1.0000,0.0674,0.1264,6.7449,0.0000,[]
1beat-A-1trace-s12-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-2trace-s12-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-3trace-s12-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-4trace-s12-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-5trace-s12-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-6trace-s12-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-7trace-s12-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-8trace-s12-k4,682,682,5,0,682,677,1.0000,0.0073,0.0146,0.7331,0.0000,[]
1beat-A-9trace-s12-k4,682,682,6,0,682,676,1.0000,0.0088,0.0174,0.8798,0.0000,[]
1beat-A-1trace-s12-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-1trace-s12-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-2trace-s12-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-3trace-s12-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-4trace-s12-k4,682,682,0,0,682,682,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1beat-A-5trace-s12-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-6trace-s12-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
1beat-A-7trace-s12-k4,682,682,1,0,682,681,1.0000,0.0015,0.0029,0.1466,0.0000,[]
