run_id,NR_POS,NR_NEG,TP,FP,TN,FN,precision,recall,f1,PAR,NAR,FP_indices
1day-A-14trace-s6-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-15trace-s6-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-16trace-s6-k4,33,30,0,1,29,33,0.0000,0.0000,0.0000,0.0000,3.3333,[9]
1day-A-1trace-s6-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-2trace-s6-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-3trace-s6-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-4trace-s6-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s8-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-2trace-s8-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-3trace-s8-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-4trace-s8-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-2trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-3trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-4trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-2trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-3trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-4trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-5trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-6trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-7trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-8trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-9trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s6-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-2trace-s6-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-3trace-s6-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-4trace-s6-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-5trace-s6-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-6trace-s6-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-7trace-s6-k4,33,30,1,0,30,32,1.0000,0.0303,0.0588,3.0303,0.0000,[]
1day-A-8trace-s6-k4,33,30,1,0,30,32,1.0000,0.0303,0.0588,3.0303,0.0000,[]
1day-A-9trace-s6-k4,33,30,1,0,30,32,1.0000,0.0303,0.0588,3.0303,0.0000,[]
1day-A-10trace-s6-k4,33,30,1,0,30,32,1.0000,0.0303,0.0588,3.0303,0.0000,[]
1day-A-11trace-s6-k4,33,30,1,0,30,32,1.0000,0.0303,0.0588,3.0303,0.0000,[]
1day-A-12trace-s6-k4,33,30,1,0,30,32,1.0000,0.0303,0.0588,3.0303,0.0000,[]
1day-A-13trace-s6-k4,33,30,1,0,30,32,1.0000,0.0303,0.0588,3.0303,0.0000,[]
1day-A-14trace-s6-k4,33,30,1,0,30,32,1.0000,0.0303,0.0588,3.0303,0.0000,[]
1day-A-15trace-s6-k4,33,30,1,0,30,32,1.0000,0.0303,0.0588,3.0303,0.0000,[]
1day-A-1trace-s6-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s14-k4,33,30,0,0,30,33,0.0000,0.0000,0.0000,0.0000,0.0000,[]
