run_id,NR_POS,NR_NEG,TP,FP,TN,FN,precision,recall,f1,PAR,NAR,FP_indices
1day-A-1trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-2trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-3trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-4trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-5trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-6trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-7trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-8trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-9trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
1day-A-1trace-s12-k4,86,86,0,0,86,86,0.0000,0.0000,0.0000,0.0000,0.0000,[]
