Config,E1,E2,E3,E4,E5,E6,E7,E8,A[]1,A[]2,A1,A2,A3,A4,A5,A6,A7,A8,A9,P1,P2,P3,P4,P5,P6,P7,P8,P9
A-1trace-1day-naiv-s5-k4,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,>= 0.999631,>= 0.999631,<= 0.00036882,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-1trace-1day-naiv-s10-k4,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,>= 0.999631,>= 0.999631,<= 0.00036883,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-1trace-1day-naiv-s15-k4,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0.559483 +/- 0.009779,>= 0.999631,<= 0.00036884,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-10trace-1day-naiv-s5-k4,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0.990753 +/- 0.00191414,>= 0.999632,<= 0.00036885,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-10trace-1day-naiv-s10-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.12531 +/- 0.00653615,>= 0.999633,<= 0.00036886,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-10trace-1day-naiv-s15-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.554784 +/- 0.0097896,>= 0.999634,<= 0.00036887,>= 0.999631,>= 0.999631,>= 0.999631,0.897584 +/- 0.009598945,<= 0.00036882,<= 0.00036882
A-20trace-1day-naiv-s5-k4,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0.9972 +/- 0.00277253,>= 0.999635,<= 0.00036888,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-20trace-1day-naiv-s10-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.107815 +/- 0.00612579,>= 0.999636,<= 0.00036889,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-20trace-1day-naiv-s15-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.0205421 +/- 0.00282241,>= 0.999637,<= 0.00036890,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-30trace-1day-naiv-s5-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.402029 +/- 0.00965859,>= 0.999638,<= 0.00036891,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-30trace-1day-naiv-s10-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.388233 +/- 0.00960056,>= 0.999639,<= 0.00036892,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-30trace-1day-naiv-s15-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.649157 +/- 0.00940226,>= 0.999640,<= 0.00036893,>= 0.999631,>= 0.999631,>= 0.999631,0.969361 +/- 0.00342154,<= 0.00036882,<= 0.00036882
A-40trace-1day-naiv-s5-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.0205421 +/- 0.00282245,>= 0.999641,<= 0.00036894,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-40trace-1day-naiv-s10-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.136606 +/- 0.00677858,>= 0.999642,<= 0.00036895,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-40trace-1day-naiv-s15-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.171496 +/- 0.00743574,>= 0.999643,<= 0.00036896,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.978158 +/- 0.00290734,<= 0.00036882,<= 0.00036882
A-50trace-1day-naiv-s5-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.701641 +/- 0.00901608,>= 0.999644,<= 0.00036897,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-50trace-1day-naiv-s10-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.000861697 +/- 0.000580126,>= 0.999645,<= 0.00036898,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-50trace-1day-naiv-s15-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.104616 +/- 0.0060456,>= 0.999646,<= 0.00036899,>= 0.999631,>= 0.999631,>= 0.999631,0.980258 +/- 0.0027687,<= 0.00036882,<= 0.00036882
