Config,E1,E2,E3,E4,E5,E6,E7,E8,A[]1,A[]2,A1,A2,A3,A4,A5,A6,A7,A8,A9,P1,P2,P3,P4,P5,P6,P7,P8,P9
A-1trace-1day-persist-s5-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,>= 0.999631,>= 0.999631,<= 0.00036882,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-1trace-1day-persist-s10-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,>= 0.999631,>= 0.999631,<= 0.00036882,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-1trace-1day-persist-s15-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,>= 0.999631,>= 0.999631,<= 0.00036883,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-10trace-1day-persist-s5-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,>= 0.999631,>= 0.999631,<= 0.00036884,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-10trace-1day-persist-s10-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0.958465 +/- 0.00395537,>= 0.999631,<= 0.00036885,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-10trace-1day-persist-s15-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.244175 +/- 0.00845823,>= 0.999632,<= 0.00036886,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-20trace-1day-persist-s5-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,>= 0.999631,>= 0.999633,<= 0.00036887,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-20trace-1day-persist-s10-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.132407 +/- 0.00669037,>= 0.999634,<= 0.00036888,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-20trace-1day-persist-s15-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.272366 +/- 0.0877373,>= 0.999635,<= 0.00036889,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-30trace-1day-persist-s5-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,>= 0.999631,>= 0.999636,<= 0.00036890,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-30trace-1day-persist-s10-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.381934 +/- 0.0095714,>= 0.999637,<= 0.00036891,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-30trace-1day-persist-s15-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.220482 +/- 0.00817351,>= 0.999638,<= 0.00036892,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-40trace-1day-persist-s5-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,>= 0.999631,>= 0.999639,<= 0.00036893,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-40trace-1day-persist-s10-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.394531 +/- 0.009623804,>= 0.999640,<= 0.00036894,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-40trace-1day-persist-s15-skipmin4-skipmax4-k6,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.139405 +/- 0.0068364,>= 0.999641,<= 0.00036895,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-50trace-1day-persist-s5-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,>= 0.999631,>= 0.999642,<= 0.00036896,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-50trace-1day-persist-s10-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.22678 +/- 0.0082553,>= 0.999643,<= 0.00036897,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882,<= 0.00036882
A-50trace-1day-persist-s15-skipmin4-skipmax4-k4,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.132407 +/- 0.0066903,>= 0.999644,<= 0.00036898,>= 0.999631,>= 0.999631,>= 0.999631, 0.99972 +/- 0.00277253,<= 0.00036882,<= 0.00036882
