Config,E1,E2,E3,E4,E5,E6,E7,A[]1,A1,A2,A3,A4,A5,A6,A7,P1,P2,P3,P4,P5,P6,P7
A-1trace-1beat-sax-s5--w24-k4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.0036882,>= 0.999631,>= 0.999631
A-1trace-1beat-sax-s10--w24-k4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882
A-1trace-1beat-sax-s15--w24-k4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882
A-1trace-1beat-sax-s5--w48-k4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036882
A-1trace-1beat-sax-s10--w48-k4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036883
A-1trace-1beat-sax-s15--w48-k4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,>= 0.999631,<= 0.00036883
A-25trace-1beat-sax-s5--w24-k4,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0.878789,0.999627,0.902082,>= 0.999631,0.320952,0.998144,0.861594
A-25trace-1beat-sax-s10--w24-k4,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0.922276,0.996748,0.996748,>= 0.999631,0.687945,>= 0.999631,0.345545
A-25trace-1beat-sax-s15--w24-k4,,1,1,1,1,1,1,1,0,1,1,1,0,1,0,,0.999336,0.998543,>= 0.999631,0.885687,0.996548,0.280464
A-25trace-1beat-sax-s5--w48-k4,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0.867393,0.998244,0.989254,>= 0.999631,0.796413,0.999434,0.177994
A-25trace-1beat-sax-s10--w48-k4,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0.985555,0.961964,>= 0.999631,0.720236,0.999336,0.0632282
A-25trace-1beat-sax-s15--w48-k4,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0.851097,0.848998,>= 0.999631,0.687645,0.982757,0.214083
A-50trace-1beat-sax-s5--w24-k4,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0.87509,0.996748,0.862394,>= 0.999631,0.331449,0.988854,0.845899
A-50trace-1beat-sax-s10--w24-k4,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0.997746,0.948168,>= 0.999631,0.67055,0.999627,0.287662
A-50trace-1beat-sax-s15--w24-k4,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0.998045,0.984256,>= 0.999631,0.812109,0.997247,0.441817
A-50trace-1beat-sax-s5---w48-k4,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0.997646,0.958665,>= 0.999631,0.750327,0.993251,0.29566
A-50trace-1beat-sax-s10---w48-k4,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0.983156,0.934872,>= 0.999631,0.693544,0.998543,0.144204
A-50trace-1beat-sax-s15---w48-k4,,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0.887287,0.884188,>= 0.999631,0.624164,0.997247,0.19199
