Config;E1;E2;E3;E4;E5;E6;E7;E8;A[]1;A[]2;A1;A2;A3;A4;A5;A6;A7;A8;A9;P1;P2;P3;P4;P5;P6;P7;P8;P9
A-1trace-1day-sax-s5--w24-k4;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-1trace-1day-sax-s5--w48-k4;1;0;1;1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0.575978 +/- 0.00973478;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-1trace-1day-sax-s10--w24-k4;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-1trace-1day-sax-s10--w48-k4;1;0;1;1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0.571779 +/- 0.00974708;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-1trace-1day-sax-s15--w24-k4;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-1trace-1day-sax-s15--w48-k4;1;0;1;1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0.572679 +/- 0.0097445;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-10trace-1day-sax-s5--w24-k4;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0.872691 +/- 0.00658026;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-10trace-1day-sax-s5--w48-k4;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0.793714 +/- 0.00797884;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-10trace-1day-sax-s10--w24-k4;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0.730533 +/- 0.00874443;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-10trace-1day-sax-s10--w48-k4;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0.487004 +/- 0.00984531;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
A-10trace-1day-sax-s15--w24-k4;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0.817807 +/- 0.00761343;>= 0.999631;>= 0.00036882;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.999631;>= 0.00036882;>= 0.00036882
