time_seconds;temperature
0;20.68000
300;20.68000
600;20.58000
900;20.66000
1200;20.68000
1500;20.66000
1800;20.76000
2100;20.63000
2400;20.58000
2700;20.63000
3000;20.56000
3300;20.78000
3600;20.76000
3900;20.61000
4200;20.71000
4500;20.58000
4800;20.56000
5100;20.73000
5400;20.66000
5700;20.61000
6000;20.63000
6300;20.66000
6600;20.73000
6900;20.58000
7200;20.73000
7500;20.58000
7800;20.73000
8100;20.56000
8400;20.71000
8700;20.68000
9000;20.68000
9300;20.56000
9600;20.61000
9900;20.61000
10200;20.54000
10500;20.63000
10800;20.61000
11100;20.68000
11400;20.73000
11700;20.71000
12000;20.71000
12300;20.56000
12600;20.58000
12900;20.71000
13200;20.56000
13500;20.66000
13800;20.73000
14100;20.56000
14400;20.49000
14700;20.54000
15000;20.66000
15300;20.51000
15600;20.68000
15900;20.58000
16200;21.05000
16500;21.47000
16800;21.39000
17100;21.32000
17400;21.49000
17700;21.56000
18000;21.54000
18300;21.59000
18600;21.23000
18900;21.00000
19200;20.96000
19500;20.96000
19800;21.03000
20100;21.00000
20400;21.21000
20700;21.47000
21000;21.49000
21300;21.51000
21600;21.63000
21900;21.51000
22200;21.44000
22500;21.63000
22800;21.63000
23100;21.83000
23400;21.71000
23700;21.59000
24000;21.61000
24300;21.68000
24600;21.68000
24900;21.66000
25200;21.66000
25500;21.71000
25800;21.71000
26100;21.56000
26400;21.51000
26700;21.61000
27000;21.61000
27300;21.44000
27600;21.63000
27900;21.71000
28200;21.71000
28500;21.78000
28800;21.83000
29100;21.75000
29400;21.75000
29700;22.06000
30000;22.04000
30300;22.01000
30600;21.92000
30900;22.01000
31200;21.97000
31500;21.83000
31800;21.95000
32100;21.92000
32400;21.80000
32700;21.75000
33000;21.85000
33300;21.90000
33600;21.80000
33900;21.63000
34200;21.66000
34500;21.42000
34800;21.47000
35100;21.49000
35400;21.37000
35700;21.83000
36000;22.06000
36300;21.92000
36600;21.97000
36900;22.01000
37200;21.99000
37500;21.87000
37800;21.68000
38100;21.63000
38400;21.63000
38700;21.90000
39000;21.85000
39300;21.83000
39600;22.04000
39900;21.80000
40200;21.95000
40500;21.61000
40800;21.95000
41100;21.87000
41400;21.80000
41700;21.80000
42000;21.68000
42300;21.51000
42600;21.63000
42900;21.66000
43200;21.54000
43500;21.61000
43800;21.59000
44100;21.63000
44400;21.61000
44700;21.68000
45000;21.78000
45300;21.80000
45600;21.28000
45900;21.87000
46200;21.61000
46500;21.78000
46800;21.73000
47100;21.71000
47400;21.87000
47700;21.78000
48000;21.78000
48300;21.75000
48600;21.85000
48900;21.83000
49200;21.75000
49500;21.61000
49800;21.71000
50100;21.73000
50400;21.73000
50700;21.75000
51000;21.75000
51300;21.71000
51600;21.71000
51900;21.87000
52200;21.23000
52500;21.10000
52800;21.00000
53100;20.96000
53400;20.82000
53700;20.89000
54000;20.89000
54300;20.89000
54600;20.89000
54900;20.82000
55200;20.87000
55500;20.87000
55800;20.85000
56100;20.87000
56400;20.80000
56700;20.96000
57000;20.85000
57300;20.87000
57600;20.91000
57900;20.87000
58200;20.87000
58500;20.82000
58800;20.89000
59100;20.91000
59400;20.68000
59700;20.91000
60000;20.85000
60300;20.78000
60600;20.87000
60900;20.87000
61200;20.78000
61500;20.78000
61800;20.80000
62100;20.76000
62400;20.76000
62700;20.73000
63000;20.68000
63300;20.68000
63600;20.85000
63900;20.68000
64200;20.63000
64500;20.71000
64800;20.73000
65100;20.63000
65400;20.66000
65700;20.63000
66000;20.73000
66300;20.78000
66600;20.71000
66900;21.16000
67200;20.76000
67500;20.66000
67800;20.61000
68100;20.71000
68400;20.66000
68700;20.76000
69000;20.68000
69300;20.68000
69600;20.80000
69900;20.68000
70200;20.73000
70500;20.82000
70800;20.71000
71100;20.76000
71400;20.76000
71700;20.66000
72000;20.68000
72300;20.61000
72600;20.56000
72900;20.61000
73200;20.61000
73500;20.63000
73800;20.58000
74100;20.76000
74400;20.63000
74700;20.68000
75000;20.76000
75300;20.61000
75600;20.58000
75900;20.58000
76200;20.76000
76500;20.61000
76800;20.78000
77100;20.68000
77400;20.56000
77700;20.71000
78000;20.66000
78300;20.66000
78600;20.61000
78900;20.63000
79200;20.49000
79500;20.56000
79800;20.58000
80100;20.66000
80400;20.51000
80700;20.61000
81000;20.51000
81300;20.63000
81600;20.61000
81900;20.58000
82200;20.66000
82500;20.61000
82800;20.51000
83100;20.46000
83400;20.73000
83700;20.58000
84000;20.61000
84300;20.71000
84600;20.63000
84900;20.68000
85200;20.68000
85500;20.56000
85800;20.54000
86100;20.51000
