time_seconds;temperature
0;25.96000
300;25.84000
600;25.93000
900;25.96000
1200;25.84000
1500;25.89000
1800;25.96000
2100;25.86000
2400;25.86000
2700;25.86000
3000;25.82000
3300;25.86000
3600;25.89000
3900;25.79000
4200;25.82000
4500;25.74000
4800;25.82000
5100;25.74000
5400;25.70000
5700;25.70000
6000;23.98000
6300;25.04000
6600;25.28000
6900;25.60000
7200;25.56000
7500;25.53000
7800;25.72000
8100;25.86000
8400;25.79000
8700;25.79000
9000;25.82000
9300;25.74000
9600;25.79000
9900;25.72000
10200;25.77000
10500;25.77000
10800;25.67000
11100;25.70000
11400;25.84000
11700;25.77000
12000;25.60000
12300;25.72000
12600;25.74000
12900;25.86000
13200;25.82000
13500;25.67000
13800;25.77000
14100;25.84000
14400;25.74000
14700;25.72000
15000;25.86000
15300;25.67000
15600;25.79000
15900;25.89000
16200;25.82000
16500;25.74000
16800;25.84000
17100;25.82000
17400;25.86000
17700;25.86000
18000;26.03000
18300;25.72000
18600;25.70000
18900;25.70000
19200;25.60000
19500;25.77000
19800;25.82000
20100;25.72000
20400;25.65000
20700;25.67000
21000;25.79000
21300;26.00000
21600;25.96000
21900;26.03000
22200;26.14000
22500;26.10000
22800;25.96000
23100;26.14000
23400;26.03000
23700;25.79000
24000;25.46000
24300;25.60000
24600;25.63000
24900;25.70000
25200;25.65000
25500;25.67000
25800;25.49000
26100;25.53000
26400;25.49000
26700;25.70000
27000;25.49000
27300;25.60000
27600;25.11000
27900;25.07000
28200;24.81000
28500;24.79000
28800;24.88000
29100;24.88000
29400;24.68000
29700;24.88000
30000;25.00000
30300;25.00000
30600;25.00000
30900;25.14000
31200;25.30000
31500;25.30000
31800;25.30000
32100;25.30000
32400;25.32000
32700;25.04000
33000;25.02000
33300;24.77000
33600;24.81000
33900;25.21000
34200;25.42000
34500;25.32000
34800;25.11000
35100;25.49000
35400;25.32000
35700;25.44000
36000;25.53000
36300;25.49000
36600;25.60000
36900;25.53000
37200;25.67000
37500;26.10000
37800;26.26000
38100;26.42000
38400;26.42000
38700;26.42000
39000;26.44000
39300;26.48000
39600;26.60000
39900;26.60000
40200;26.39000
40500;26.62000
40800;26.62000
41100;26.78000
41400;26.73000
41700;26.64000
42000;26.76000
42300;26.73000
42600;26.73000
42900;26.83000
43200;26.80000
43500;26.80000
43800;26.90000
44100;26.78000
44400;26.85000
44700;26.87000
45000;26.97000
45300;26.85000
45600;26.90000
45900;26.87000
46200;26.94000
46500;27.04000
46800;26.92000
47100;27.01000
47400;26.90000
47700;27.06000
48000;27.04000
48300;27.11000
48600;26.99000
48900;27.01000
49200;27.11000
49500;27.04000
49800;27.06000
50100;27.11000
50400;27.01000
50700;26.99000
51000;26.92000
51300;26.92000
51600;27.04000
51900;26.83000
52200;27.04000
52500;26.87000
52800;26.99000
53100;26.94000
53400;27.04000
53700;26.99000
54000;27.08000
54300;26.94000
54600;27.04000
54900;26.83000
55200;26.92000
55500;26.97000
55800;27.06000
56100;26.94000
