time_seconds;temperature
0;20.56000
300;20.68000
600;20.39000
900;19.98000
1200;19.78000
1500;20.03000
1800;19.75000
2100;19.71000
2400;19.89000
2700;20.10000
3000;20.17000
3300;20.29000
3600;20.49000
3900;20.39000
4200;20.39000
4500;20.91000
4800;20.71000
5100;20.54000
5400;20.91000
5700;20.63000
6000;20.32000
6300;20.82000
6600;20.73000
6900;21.44000
7200;21.85000
7500;21.83000
7800;20.66000
8100;20.51000
8400;20.46000
8700;20.15000
9000;20.27000
9300;20.22000
9600;20.12000
9900;20.32000
10200;20.68000
10500;20.76000
10800;20.68000
11100;20.51000
11400;20.51000
11700;20.56000
12000;20.61000
12300;20.73000
12600;20.56000
12900;20.44000
13200;20.01000
13500;20.15000
13800;20.01000
14100;19.98000
14400;20.19000
14700;20.49000
15000;20.96000
15300;21.21000
15600;21.51000
15900;21.63000
16200;21.66000
16500;21.75000
16800;22.15000
17100;22.08000
17400;22.19000
17700;22.31000
86400;22.10000
86700;22.29000
87000;21.99000
87300;22.13000
87600;22.10000
87900;22.06000
88200;22.01000
88500;22.06000
88800;21.97000
89100;22.06000
89400;22.06000
89700;22.15000
90000;22.01000
90300;22.04000
90600;22.44000
90900;22.44000
91200;22.33000
91500;22.38000
91800;22.51000
92100;22.35000
92400;22.54000
92700;22.31000
93000;22.42000
93300;22.38000
93600;22.29000
93900;22.38000
94200;22.22000
94500;22.33000
94800;22.40000
95100;22.29000
95400;22.29000
95700;22.19000
96000;22.31000
96300;22.29000
96600;22.19000
96900;22.19000
97200;22.24000
97500;22.22000
97800;22.33000
98100;22.31000
98400;22.31000
98700;22.35000
99000;22.47000
99300;22.29000
99600;22.29000
99900;22.35000
100200;22.42000
100500;22.54000
100800;22.31000
101100;22.33000
101400;22.47000
101700;22.33000
102000;22.31000
102300;22.35000
102600;22.66000
102900;22.75000
103200;22.38000
103500;22.35000
103800;22.87000
104100;23.50000
172800;21.71000
173100;21.83000
173400;21.95000
173700;21.85000
174000;21.90000
174300;21.95000
174600;21.85000
174900;21.80000
175200;21.99000
175500;21.73000
175800;21.80000
176100;21.87000
176400;21.85000
176700;21.85000
177000;22.10000
177300;21.87000
177600;21.95000
177900;21.83000
178200;21.71000
178500;21.63000
178800;21.66000
179100;21.61000
179400;21.44000
179700;21.44000
180000;21.56000
180300;21.49000
180600;21.32000
180900;21.30000
181200;21.37000
181500;21.35000
181800;21.37000
182100;21.23000
182400;21.12000
182700;21.25000
183000;21.35000
183300;21.19000
183600;21.21000
183900;21.37000
184200;21.28000
184500;21.21000
184800;21.37000
185100;21.28000
185400;21.39000
185700;21.30000
186000;21.32000
186300;21.35000
186600;21.39000
186900;21.25000
187200;21.37000
187500;21.23000
187800;21.49000
188100;21.95000
188400;22.08000
188700;22.24000
189000;22.49000
189300;22.13000
189600;21.87000
189900;21.87000
190200;21.90000
190500;21.95000
259200;21.97000
259500;22.10000
259800;22.13000
260100;22.35000
260400;22.06000
260700;22.13000
261000;21.97000
261300;21.95000
261600;22.06000
261900;22.04000
262200;22.04000
262500;22.04000
262800;21.90000
263100;21.99000
263400;22.35000
263700;22.10000
264000;22.04000
264300;21.87000
264600;21.75000
264900;21.61000
265200;21.78000
265500;21.68000
265800;21.75000
266100;21.80000
266400;21.75000
266700;21.66000
267000;21.68000
267300;21.59000
267600;21.61000
267900;21.59000
268200;21.66000
268500;21.61000
268800;21.73000
269100;21.73000
269400;21.61000
269700;21.51000
270000;21.59000
270300;21.51000
270600;21.59000
270900;21.59000
271200;21.47000
271500;21.39000
271800;21.49000
272100;21.42000
272400;21.25000
272700;21.37000
273000;21.32000
273300;21.42000
273600;21.47000
273900;21.35000
274200;21.30000
274500;21.42000
