Condition,Method,Params,Status,Precision,Recall,F1,States,Edges
clean,naive,bins=5,ok,0.967,0.983,0.975,7,10
clean,sax,"w=24, bins=5",ok,0.968,1.000,0.984,10,10
clean,sax,"w=48, bins=5",ok,0.966,0.950,0.958,10,10
clean,sax,"w=144, bins=5",ok,0.951,0.967,0.959,3,7
clean,persist,bins=6,ok,0.926,0.833,0.877,6,13
noisy,naive,bins=5,ok,1.000,0.917,0.957,9,17
noisy,sax,"w=24, bins=5",ok,0.595,0.833,0.694,20,28
noisy,sax,"w=48, bins=5",ok,0.491,0.900,0.635,8,15
noisy,sax,"w=144, bins=5",ok,0.622,0.850,0.718,13,23
noisy,persist,bins=6,ok,0.564,0.950,0.708,27,53
