Condition,Method,Params,Status,Precision,Recall,F1,States,Edges
clean,naive,bins=15,ok,1.000,0.467,0.636,112,164
clean,sax,"w=24, bins=15",ok,1.000,0.867,0.929,79,114
clean,sax,"w=48, bins=15",ok,1.000,0.850,0.919,63,89
clean,sax,"w=144, bins=15",ok,1.000,0.617,0.763,105,160
clean,persist,bins=16,ok,0.947,0.300,0.456,167,262
noisy,naive,bins=15,ok,1.000,0.433,0.605,133,257
noisy,sax,"w=24, bins=15",ok,0.348,0.133,0.193,222,331
noisy,sax,"w=48, bins=15",ok,0.250,0.083,0.125,313,478
noisy,sax,"w=144, bins=15",ok,0.531,0.283,0.370,182,311
noisy,persist,bins=16,ok,0.824,0.467,0.596,151,261
