time_s;temperature
0;21.38059
300;21.31330
600;21.32606
900;21.29005
1200;21.29738
1500;21.19158
1800;21.19409
2100;21.16237
2400;21.17447
2700;21.06223
3000;21.13899
3300;21.08654
3600;20.97290
3900;21.07515
4200;21.10289
4500;21.01821
4800;21.01690
5100;20.92774
5400;20.81884
5700;20.78867
6000;20.87312
6300;20.81081
6600;20.77527
6900;20.79901
7200;20.81465
7500;20.69353
7800;20.72661
8100;20.80803
8400;20.66285
8700;20.74480
9000;20.66239
9300;20.69986
9600;20.71400
9900;20.68341
10200;20.67966
10500;20.56512
10800;20.66755
11100;20.55905
11400;20.60514
11700;20.59623
12000;20.59941
12300;20.58451
12600;20.51866
12900;20.48723
13200;20.59290
13500;20.55383
13800;20.59795
14100;20.53489
14400;20.46420
14700;20.58080
15000;20.51270
15300;20.54775
15600;20.49841
15900;20.61383
16200;20.48932
16500;20.51850
16800;20.54367
17100;20.48730
17400;20.56275
17700;20.63183
18000;20.53240
18300;20.58307
18600;20.43290
18900;20.57617
19200;20.57089
19500;20.55471
19800;20.65947
20100;20.59952
20400;20.61804
20700;20.61980
21000;20.55520
21300;20.60747
21600;20.72579
21900;20.58654
22200;20.66864
22500;20.70250
22800;20.82581
23100;20.79380
23400;20.74484
23700;20.85584
24000;20.77209
24300;20.87863
24600;20.77985
24900;20.92162
25200;20.86835
25500;20.85847
25800;20.92079
26100;20.96778
26400;20.95193
26700;21.02761
27000;20.99449
27300;21.07884
27600;21.09458
27900;21.09450
28200;21.10099
28500;21.15656
28800;21.20283
29100;21.30514
29400;21.27612
29700;21.30542
30000;21.43888
30300;21.33842
30600;21.36534
30900;21.40512
31200;21.34858
31500;21.40623
31800;21.43278
32100;21.52039
32400;21.50947
32700;21.55549
33000;21.63356
33300;21.65316
33600;21.63291
33900;21.63866
34200;21.76025
34500;21.77365
34800;21.68623
35100;21.78259
35400;21.83832
35700;21.90087
36000;21.93938
36300;21.94006
36600;21.98716
36900;21.99316
37200;21.98831
37500;22.04099
37800;22.08702
38100;22.11632
38400;22.05569
38700;22.16195
39000;22.21640
39300;22.23118
39600;22.26446
39900;22.33261
40200;22.28553
40500;22.28919
40800;22.38411
41100;22.47046
41400;22.54717
41700;22.53221
42000;22.44977
42300;22.54139
42600;22.59541
42900;22.62074
43200;22.66783
43500;22.62370
43800;22.70118
44100;22.74699
44400;22.79495
44700;22.74072
45000;22.79071
45300;22.69936
45600;22.82966
45900;22.86029
46200;22.86088
46500;22.94506
46800;22.95845
47100;22.87231
47400;23.01959
47700;22.98546
48000;23.07874
48300;23.01243
48600;23.09959
48900;23.10497
49200;23.15478
49500;23.16583
49800;23.16625
50100;23.12104
50400;23.14227
50700;23.20464
51000;23.25053
51300;23.23705
51600;23.31464
51900;23.28472
52200;23.26512
52500;23.31353
52800;23.35215
53100;23.36990
53400;23.45972
53700;23.34385
54000;23.38446
54300;23.41962
54600;23.40666
54900;23.39165
55200;23.34739
55500;23.40680
55800;23.38547
56100;23.35895
56400;23.41093
56700;23.40311
57000;23.48871
57300;23.49293
57600;23.42035
57900;23.45450
58200;23.37586
58500;23.44463
58800;23.48916
59100;23.50963
59400;23.43120
59700;23.51722
60000;23.38592
60300;23.39571
60600;23.48926
60900;23.53232
61200;23.46774
61500;23.43467
61800;23.31987
62100;23.32076
62400;23.41993
62700;23.38646
63000;23.33931
63300;23.38745
63600;23.37884
63900;23.40856
64200;23.35579
64500;23.39735
64800;23.32266
65100;23.30220
65400;23.34626
65700;23.22859
66000;23.40210
66300;23.26340
66600;23.24634
66900;23.23564
67200;23.28474
67500;23.21145
67800;23.07196
68100;23.20222
68400;23.09429
68700;23.09546
69000;23.00439
69300;23.07240
69600;22.99076
69900;23.00509
70200;22.96216
70500;23.04843
70800;23.02665
71100;22.90478
71400;22.88014
71700;22.83234
72000;22.87998
72300;22.78151
72600;22.74978
72900;22.79231
73200;22.68863
73500;22.68549
73800;22.57982
74100;22.66529
74400;22.69802
74700;22.60764
75000;22.61500
75300;22.46968
75600;22.49364
75900;22.40427
76200;22.40943
76500;22.42861
76800;22.36409
77100;22.25720
77400;22.23076
77700;22.19599
78000;22.25803
78300;22.30495
78600;22.23808
78900;22.04327
79200;22.17718
79500;22.12095
79800;21.96484
80100;21.99489
80400;22.03277
80700;21.97347
81000;21.84847
81300;21.91249
81600;21.74315
81900;21.80703
82200;21.84331
82500;21.75567
82800;21.69825
83100;21.73625
83400;21.70926
83700;21.69491
84000;21.64220
84300;21.62181
84600;21.57386
84900;21.52017
85200;21.48129
85500;21.43513
85800;21.35681
86100;21.34037
