time_s;temperature
0;21.15663
300;21.18374
600;21.10044
900;21.11785
1200;21.07069
1500;20.99143
1800;21.10004
2100;21.02386
2400;20.98635
2700;20.97372
3000;20.83297
3300;20.87512
3600;20.80109
3900;20.86191
4200;20.85074
4500;20.82083
4800;20.85257
5100;20.69923
5400;20.71518
5700;20.75749
6000;20.73220
6300;20.63608
6600;20.74514
6900;20.74656
7200;20.67540
7500;20.56403
7800;20.63348
8100;20.62917
8400;20.58588
8700;20.65483
9000;20.57033
9300;20.67070
9600;20.59465
9900;20.56001
10200;20.58363
10500;20.60625
10800;20.56745
11100;20.51221
11400;20.47721
11700;20.44902
12000;20.37872
12300;20.50581
12600;20.47477
12900;20.47522
13200;20.54186
13500;20.48403
13800;20.58431
14100;20.46155
14400;20.44302
14700;20.43077
15000;20.53259
15300;20.55755
15600;20.47448
15900;20.45595
16200;20.59131
16500;20.44864
16800;20.57873
17100;20.50744
17400;20.56430
17700;20.60744
18000;20.58725
18300;20.55920
18600;20.65497
18900;20.61150
19200;20.79372
19500;20.53754
19800;20.55066
20100;20.70088
20400;20.66473
20700;20.72174
21000;20.64361
21300;20.71827
21600;20.75607
21900;20.72427
22200;20.78189
22500;20.72165
22800;20.82947
23100;20.90257
23400;20.78955
23700;20.80820
24000;20.95481
24300;20.85227
24600;20.98333
24900;20.96782
25200;20.96841
25500;21.08736
25800;21.08564
26100;21.07887
26400;20.98335
26700;21.15313
27000;21.09093
27300;21.16076
27600;21.19995
27900;21.32258
28200;21.24356
28500;21.21394
28800;21.38776
29100;21.38009
29400;21.41178
29700;21.47819
30000;21.52035
30300;21.42029
30600;21.42626
30900;21.56912
31200;21.54528
31500;21.58143
31800;21.56575
32100;21.68302
32400;21.70609
32700;21.71051
33000;21.68131
33300;21.84374
33600;21.82873
33900;21.90459
34200;21.77637
34500;21.91724
34800;21.91147
35100;21.98207
35400;22.06037
35700;22.06466
36000;22.07999
36300;22.11261
36600;22.06682
36900;22.13224
37200;22.26632
37500;22.21756
37800;22.33232
38100;22.34895
38400;22.38378
38700;22.38849
39000;22.38189
39300;22.42779
39600;22.49882
39900;22.39175
40200;22.59121
40500;22.53475
40800;22.58591
41100;22.61654
41400;22.64832
41700;22.61422
42000;22.71675
42300;22.76781
42600;22.66444
42900;22.72983
43200;22.86750
43500;22.88563
43800;22.89211
44100;22.86969
44400;22.96576
44700;22.89558
45000;22.97415
45300;22.94051
45600;23.02208
45900;23.00252
46200;23.11518
46500;23.12189
46800;23.09401
47100;23.19884
47400;23.11774
47700;23.18448
48000;23.17562
48300;23.26302
48600;23.27703
48900;23.32833
49200;23.28514
49500;23.15017
49800;23.29314
50100;23.40886
50400;23.32963
50700;23.26464
51000;23.39698
51300;23.41405
51600;23.36416
51900;23.40020
52200;23.38151
52500;23.46066
52800;23.44734
53100;23.39551
53400;23.46192
53700;23.43365
54000;23.55055
54300;23.52868
54600;23.48368
54900;23.49893
55200;23.54993
55500;23.49422
55800;23.54377
56100;23.58194
56400;23.48504
56700;23.59268
57000;23.57820
57300;23.52222
57600;23.48623
57900;23.51815
58200;23.49132
58500;23.46039
58800;23.52241
59100;23.43968
59400;23.46827
59700;23.46257
60000;23.40352
60300;23.49694
60600;23.44414
60900;23.51134
61200;23.42433
61500;23.40571
61800;23.36960
62100;23.40491
62400;23.39264
62700;23.41429
63000;23.36669
63300;23.45353
63600;23.35649
63900;23.26855
64200;23.24790
64500;23.31118
64800;23.21588
65100;23.27829
65400;23.27449
65700;23.25626
66000;23.14681
66300;23.21577
66600;23.16470
66900;23.09651
67200;23.09672
67500;23.10552
67800;23.02506
68100;23.05004
68400;23.08298
68700;23.03417
69000;22.96487
69300;22.94682
69600;22.88211
69900;22.85699
70200;22.77867
70500;22.84073
70800;22.83454
71100;22.76874
71400;22.69991
71700;22.71823
72000;22.75281
72300;22.70110
72600;22.62489
72900;22.69860
73200;22.70075
73500;22.51112
73800;22.49189
74100;22.50767
74400;22.39595
74700;22.45244
75000;22.38324
75300;22.36476
75600;22.28525
75900;22.24233
76200;22.15000
76500;22.29095
76800;22.23112
77100;22.18497
77400;22.13590
77700;21.97039
78000;22.01513
78300;22.00694
78600;21.93272
78900;21.86916
79200;21.87205
79500;21.89048
79800;21.85766
80100;21.86780
80400;21.89291
80700;21.79146
81000;21.71592
81300;21.78238
81600;21.58108
81900;21.52421
82200;21.55197
82500;21.60526
82800;21.54163
83100;21.44556
83400;21.43463
83700;21.37817
84000;21.34770
84300;21.45713
84600;21.34251
84900;21.40858
85200;21.24633
85500;21.28647
85800;21.24469
86100;21.24911
