time_s;temperature
0;22.89247
300;22.90498
600;22.86091
900;22.77368
1200;22.86599
1500;22.81882
1800;22.92017
2100;22.78583
2400;22.85120
2700;22.85180
3000;23.10924
3300;23.06307
3600;22.91417
3900;23.06014
4200;23.23629
4500;23.11288
4800;23.02663
5100;23.10513
5400;23.20916
5700;23.32529
6000;23.15592
6300;23.04687
6600;23.29892
6900;23.25612
7200;23.13929
7500;23.16646
7800;23.28152
8100;23.18688
8400;23.23032
8700;23.41694
9000;23.47496
9300;23.44044
9600;23.32253
9900;23.45403
10200;23.29676
10500;23.50619
10800;23.40276
11100;23.68033
11400;23.54504
11700;23.54571
12000;23.51318
12300;23.62827
12600;23.43332
12900;23.44540
13200;23.40789
13500;23.55042
13800;23.42346
14100;23.51124
14400;23.54013
14700;23.64043
15000;23.29611
15300;23.37210
15600;23.59901
15900;23.69489
16200;23.52042
16500;23.48908
16800;23.44774
17100;23.57052
17400;23.46300
17700;23.36015
18000;23.56029
18300;23.34357
18600;23.45498
18900;23.41435
19200;23.30424
19500;23.40137
19800;23.34066
20100;23.45938
20400;23.47984
20700;23.39868
21000;23.41142
21300;23.35954
21600;23.10951
21900;23.19780
22200;23.26875
22500;23.22408
22800;23.30171
23100;23.14394
23400;23.32071
23700;23.10906
24000;23.00367
24300;23.16360
24600;23.04824
24900;23.05929
25200;23.21405
25500;23.07719
25800;23.05525
26100;23.03738
26400;22.82714
26700;22.87826
27000;22.84739
27300;22.97030
27600;22.84351
27900;22.86628
28200;22.81757
28500;22.71624
28800;22.89493
29100;22.87694
29400;22.81304
29700;22.81478
30000;22.57569
30300;22.66632
30600;22.68963
30900;22.68193
31200;22.37102
31500;22.37927
31800;22.55243
32100;22.33162
32400;22.29810
32700;22.29455
33000;22.42886
33300;22.33504
33600;22.21663
33900;22.22027
34200;22.29811
34500;22.06772
34800;22.08885
35100;21.90428
35400;22.12960
35700;22.06990
36000;21.80320
36300;21.93536
36600;21.66690
36900;21.84191
37200;21.91088
37500;21.65632
37800;21.64807
38100;21.80704
38400;21.63796
38700;21.66822
39000;21.73079
39300;21.80132
39600;21.55034
39900;21.64459
40200;21.75846
40500;21.55203
40800;21.48100
41100;21.36559
41400;21.51616
41700;21.37529
42000;21.46512
42300;21.49432
42600;21.25561
42900;21.29121
43200;21.27001
43500;21.27840
43800;21.21072
44100;21.03783
44400;21.12636
44700;21.11716
45000;21.08637
45300;20.96678
45600;20.95172
45900;21.07429
46200;20.76361
46500;21.01455
46800;20.91720
47100;20.91041
47400;20.74070
47700;20.84785
48000;20.80361
48300;20.95996
48600;21.01580
48900;20.79327
49200;20.99918
49500;20.83619
49800;20.73314
50100;20.80601
50400;20.71407
50700;20.76246
51000;20.80225
51300;20.59726
51600;20.59981
51900;20.74758
52200;20.54100
52500;20.46358
52800;20.52511
53100;20.58058
53400;20.60386
53700;20.63525
54000;20.63694
54300;20.56216
54600;20.65270
54900;20.33244
55200;20.52399
55500;20.42767
55800;20.48880
56100;20.62674
56400;20.41619
56700;20.57865
57000;20.42309
57300;20.53440
57600;20.39447
57900;20.54967
58200;20.68925
58500;20.56042
58800;20.43487
59100;20.49272
59400;20.54348
59700;20.55319
60000;20.54739
60300;20.44611
60600;20.62167
60900;20.38637
61200;20.51974
61500;20.57366
61800;20.64069
62100;20.49380
62400;20.64821
62700;20.77453
63000;20.54688
63300;20.69263
63600;20.62198
63900;20.79335
64200;20.51118
64500;20.62992
64800;20.57588
65100;20.54770
65400;20.85471
65700;20.78167
66000;20.80212
66300;20.86241
66600;20.64223
66900;20.86745
67200;20.76798
67500;20.75361
67800;20.73960
68100;20.82350
68400;20.75332
68700;20.90318
69000;20.89292
69300;21.07028
69600;21.25668
69900;20.93938
70200;21.16986
70500;21.04022
70800;21.09913
71100;21.13562
71400;21.18085
71700;21.26989
72000;21.11933
72300;21.39541
72600;21.17386
72900;21.39721
73200;21.24394
73500;21.49226
73800;21.42751
74100;21.42181
74400;21.70637
74700;21.49631
75000;21.49041
75300;21.60058
75600;21.67723
75900;21.69262
76200;21.77797
76500;21.77470
76800;21.61702
77100;21.73084
77400;21.79514
77700;21.92902
78000;21.74352
78300;21.90507
78600;21.98094
78900;21.82066
79200;21.99682
79500;22.04236
79800;22.03065
80100;22.07953
80400;22.06562
80700;22.04128
81000;22.18443
81300;22.23934
81600;22.15720
81900;22.29783
82200;22.23213
82500;22.47680
82800;22.67910
83100;22.37513
83400;22.61976
83700;22.38176
84000;22.48163
84300;22.23781
84600;22.50879
84900;22.66277
85200;22.54095
85500;22.72564
85800;22.72627
86100;22.76965
