time_s;temperature
0;22.77702
300;22.59188
600;22.78469
900;23.02275
1200;22.99141
1500;22.96758
1800;23.05814
2100;22.88220
2400;23.15936
2700;23.08368
3000;23.10739
3300;22.93212
3600;22.98440
3900;23.17046
4200;23.20026
4500;23.25055
4800;23.29274
5100;23.13917
5400;23.20141
5700;23.38198
6000;23.30364
6300;23.40606
6600;23.37280
6900;23.40759
7200;23.38650
7500;23.43327
7800;23.38634
8100;23.39047
8400;23.52415
8700;23.54758
9000;23.48588
9300;23.33487
9600;23.34166
9900;23.45276
10200;23.45304
10500;23.39880
10800;23.25567
11100;23.66596
11400;23.23439
11700;23.59072
12000;23.57815
12300;23.61563
12600;23.31295
12900;23.61445
13200;23.44534
13500;23.34905
13800;23.39414
14100;23.56886
14400;23.48026
14700;23.50696
15000;23.36742
15300;23.49684
15600;23.36184
15900;23.52075
16200;23.31381
16500;23.59435
16800;23.46383
17100;23.44840
17400;23.43812
17700;23.41641
18000;23.46071
18300;23.42795
18600;23.57436
18900;23.27841
19200;23.49843
19500;23.25732
19800;23.37976
20100;23.41963
20400;23.32931
20700;23.34548
21000;23.23879
21300;23.26661
21600;23.27275
21900;23.31605
22200;23.21096
22500;23.29381
22800;23.07512
23100;23.19404
23400;23.26951
23700;23.15621
24000;23.18296
24300;23.16669
24600;23.12797
24900;22.96944
25200;23.02363
25500;23.07210
25800;23.08013
26100;22.94790
26400;23.03576
26700;22.78614
27000;23.12755
27300;22.90826
27600;22.78765
27900;22.88868
28200;22.62240
28500;22.65116
28800;22.82117
29100;22.75862
29400;22.75901
29700;22.67237
30000;22.65807
30300;22.74203
30600;22.38198
30900;22.60325
31200;22.55059
31500;22.47107
31800;22.40893
32100;22.49852
32400;22.56489
32700;22.41000
33000;22.34237
33300;22.41703
33600;22.28066
33900;22.54413
34200;22.19837
34500;22.32080
34800;22.07282
35100;22.06991
35400;22.01061
35700;22.02926
36000;22.01491
36300;22.01349
36600;21.91758
36900;22.00887
37200;22.05454
37500;21.87050
37800;21.75938
38100;21.87190
38400;21.78547
38700;21.71695
39000;21.80615
39300;21.70531
39600;21.77950
39900;21.55929
40200;21.45759
40500;21.34961
40800;21.65623
41100;21.42502
41400;21.36038
41700;21.56229
42000;21.44317
42300;21.28169
42600;21.29420
42900;21.15061
43200;21.20314
43500;21.17511
43800;21.18556
44100;21.21220
44400;21.08797
44700;21.20916
45000;21.20172
45300;20.97363
45600;20.86667
45900;20.98755
46200;20.83732
46500;20.74415
46800;20.95491
47100;20.92173
47400;20.82532
47700;20.85751
48000;20.76228
48300;20.86136
48600;20.59824
48900;20.80878
49200;20.69958
49500;20.68057
49800;20.72167
50100;20.56605
50400;20.66962
50700;20.71759
51000;20.68166
51300;20.59155
51600;20.69933
51900;20.36720
52200;20.63298
52500;20.76003
52800;20.42418
53100;20.62077
53400;20.39204
53700;20.69387
54000;20.50629
54300;20.68204
54600;20.67186
54900;20.62046
55200;20.40165
55500;20.56027
55800;20.48190
56100;20.46130
56400;20.45116
56700;20.41815
57000;20.48405
57300;20.48972
57600;20.62370
57900;20.53608
58200;20.57264
58500;20.38999
58800;20.63773
59100;20.51212
59400;20.56263
59700;20.42919
60000;20.65988
60300;20.68108
60600;20.40415
60900;20.58556
61200;20.54579
61500;20.56550
61800;20.40494
62100;20.47166
62400;20.76635
62700;20.61713
63000;20.83960
63300;20.69391
63600;20.62434
63900;20.62037
64200;20.69364
64500;20.75409
64800;20.71293
65100;20.77158
65400;20.83170
65700;20.62000
66000;20.71180
66300;20.72975
66600;20.80889
66900;20.98321
67200;20.80846
67500;20.92503
67800;21.03993
68100;20.71762
68400;20.87870
68700;21.01037
69000;20.97995
69300;20.98111
69600;20.95718
69900;21.03506
70200;21.03876
70500;21.10624
70800;21.14037
71100;21.24803
71400;21.21708
71700;21.32264
72000;21.19920
72300;21.39668
72600;21.31370
72900;21.49569
73200;21.42119
73500;21.37002
73800;21.43087
74100;21.70744
74400;21.32090
74700;21.48059
75000;21.56845
75300;21.68979
75600;21.64946
75900;21.64731
76200;21.59416
76500;21.67440
76800;21.94019
77100;21.61164
77400;21.69412
77700;21.71390
78000;21.84563
78300;21.93277
78600;22.02383
78900;21.92735
79200;21.80474
79500;21.88079
79800;22.03987
80100;21.88236
80400;22.18977
80700;22.09387
81000;22.03831
81300;22.20046
81600;22.26376
81900;22.32878
82200;22.47233
82500;22.48764
82800;22.29521
83100;22.39518
83400;22.31562
83700;22.56009
84000;22.49928
84300;22.56083
84600;22.59827
84900;22.62704
85200;22.43901
85500;22.72675
85800;22.72032
86100;22.76118
