time_s;temperature
0;20.73744
300;20.26613
600;20.39895
900;20.23467
1200;20.33579
1500;20.77373
1800;20.40963
2100;21.01495
2400;20.56207
2700;20.57930
3000;20.30383
3300;20.34400
3600;20.66934
3900;20.71405
4200;20.43680
4500;20.52359
4800;20.31492
5100;20.42398
5400;20.38590
5700;20.37403
6000;20.66586
6300;20.35412
6600;20.18493
6900;20.29803
7200;20.29885
7500;20.52358
7800;20.23109
8100;20.74406
8400;20.33421
8700;20.89500
9000;20.44197
9300;20.60322
9600;20.75404
9900;20.83487
10200;20.66841
10500;21.27992
10800;20.50821
11100;20.06884
11400;20.52614
11700;20.79058
12000;20.70482
12300;20.27969
12600;20.50113
12900;20.37758
13200;20.43979
13500;20.63005
13800;20.81772
14100;20.47923
14400;20.52827
14700;20.95304
15000;20.50463
15300;20.51335
15600;21.46602
15900;20.67168
16200;20.30576
16500;20.50555
16800;20.30415
17100;21.42194
17400;20.93082
17700;20.66605
18000;21.17292
18300;21.54488
18600;21.00687
18900;21.57544
19200;21.01237
19500;20.78828
19800;21.71259
20100;20.98189
20400;21.05758
20700;21.56816
21000;21.29657
21300;21.28256
21600;21.26929
21900;21.17601
22200;21.46052
22500;21.58307
22800;21.40065
23100;21.66855
23400;21.65334
23700;21.67710
24000;21.50701
24300;21.51226
24600;21.76640
24900;21.32698
25200;22.58843
25500;20.99575
25800;21.61375
26100;21.96802
26400;22.06453
26700;21.62390
27000;21.71394
27300;21.95566
27600;21.56487
27900;21.64316
28200;22.29828
28500;22.31177
28800;22.10136
29100;22.35988
29400;22.18785
29700;21.95843
30000;21.87369
30300;22.43899
30600;22.07945
30900;22.55447
31200;22.24984
31500;22.76075
31800;22.11322
32100;22.08740
32400;22.51957
32700;22.38163
33000;22.55837
33300;22.51983
33600;22.41447
33900;22.51550
34200;21.96575
34500;23.09583
34800;22.48219
35100;22.83072
35400;22.10095
35700;22.48343
36000;22.84864
36300;23.33922
36600;22.95293
36900;23.00790
37200;22.71578
37500;22.88053
37800;22.84609
38100;23.01815
38400;23.31818
38700;22.86034
39000;22.99234
39300;22.88488
39600;22.94306
39900;23.37846
40200;23.18944
40500;23.16681
40800;23.04905
41100;22.84291
41400;23.32519
41700;23.38183
42000;23.40771
42300;23.15130
42600;22.93441
42900;23.37119
43200;23.51356
43500;23.45123
43800;22.97460
44100;23.33027
44400;22.64148
44700;23.63433
45000;23.29025
45300;23.30472
45600;23.71475
45900;23.07870
46200;23.29516
46500;23.00478
46800;22.81676
47100;23.35129
47400;23.33856
47700;22.63189
48000;23.48739
48300;23.25491
48600;23.49148
48900;23.33388
49200;23.57393
49500;23.60450
49800;23.31166
50100;23.52354
50400;23.50551
50700;22.87971
51000;22.96217
51300;22.91604
51600;23.40967
51900;22.98906
52200;22.58167
52500;22.87816
52800;23.05483
53100;23.29564
53400;23.53308
53700;23.41783
54000;23.17179
54300;22.85590
54600;22.48765
54900;22.92727
55200;22.97125
55500;23.07039
55800;23.29145
56100;23.20644
56400;23.01456
56700;22.84789
57000;22.49093
57300;22.68748
57600;22.61750
57900;23.66350
58200;23.46244
58500;22.46410
58800;22.93686
59100;22.39053
59400;22.83925
59700;22.60085
60000;22.68088
60300;23.01389
60600;22.78475
60900;22.90816
61200;22.77173
61500;22.37462
61800;22.17401
62100;22.45015
62400;22.42189
62700;22.32745
63000;22.24457
63300;22.44724
63600;22.79470
63900;21.73911
64200;21.96676
64500;22.38828
64800;21.72267
65100;21.81669
65400;22.85396
65700;22.35739
66000;22.95872
66300;21.61456
66600;22.72133
66900;21.67119
67200;22.30188
67500;21.34883
67800;22.05745
68100;22.04696
68400;21.77247
68700;21.45754
69000;21.75933
69300;21.88373
69600;21.43461
69900;21.68622
70200;21.69746
70500;21.82039
70800;21.17549
71100;21.44321
71400;21.64307
71700;21.43964
72000;21.19816
72300;21.77734
72600;21.75629
72900;21.66089
73200;21.29448
73500;21.31214
73800;21.71827
74100;21.55426
74400;21.66325
74700;21.27971
75000;21.40817
75300;21.39566
75600;21.60062
75900;20.45563
76200;21.14830
76500;21.36977
76800;21.40948
77100;20.89368
77400;21.11985
77700;21.19732
78000;21.32722
78300;21.03221
78600;20.97768
78900;20.79473
79200;21.18826
79500;21.20130
79800;21.11811
80100;21.00491
80400;20.83367
80700;20.56222
81000;20.49516
81300;21.00554
81600;21.01623
81900;20.73052
82200;20.71121
82500;20.68331
82800;20.96097
83100;20.81102
83400;20.43811
83700;20.70384
84000;20.06068
84300;20.33537
84600;19.98155
84900;20.23554
85200;20.25030
85500;19.84211
85800;20.80691
86100;20.29140
