time_s;temperature
0;21.30640
300;21.21397
600;21.15004
900;21.14452
1200;21.19496
1500;21.17607
1800;21.03780
2100;21.05284
2400;21.03624
2700;20.95965
3000;20.98387
3300;20.96511
3600;21.00053
3900;20.98307
4200;20.88592
4500;20.87190
4800;20.89656
5100;20.81537
5400;20.85590
5700;20.80446
6000;20.74335
6300;20.72752
6600;20.83183
6900;20.73637
7200;20.81151
7500;20.68973
7800;20.71649
8100;20.80871
8400;20.62397
8700;20.57034
9000;20.71859
9300;20.60259
9600;20.63321
9900;20.59592
10200;20.63024
10500;20.56159
10800;20.59306
11100;20.61815
11400;20.53952
11700;20.54988
12000;20.56313
12300;20.50536
12600;20.55264
12900;20.57736
13200;20.54977
13500;20.55519
13800;20.56746
14100;20.53604
14400;20.60444
14700;20.64342
15000;20.55082
15300;20.60139
15600;20.56892
15900;20.60363
16200;20.66876
16500;20.62170
16800;20.51405
17100;20.63255
17400;20.67928
17700;20.61500
18000;20.68496
18300;20.61042
18600;20.58104
18900;20.67341
19200;20.59019
19500;20.67832
19800;20.76757
20100;20.62128
20400;20.66694
20700;20.69407
21000;20.75785
21300;20.75867
21600;20.86343
21900;20.85829
22200;20.85299
22500;20.85373
22800;20.88488
23100;20.84143
23400;20.94722
23700;20.86912
24000;20.98736
24300;21.02628
24600;20.99938
24900;21.00237
25200;21.05401
25500;20.91420
25800;21.09611
26100;21.09950
26400;21.12722
26700;21.19008
27000;21.17642
27300;21.14895
27600;21.22506
27900;21.26205
28200;21.29131
28500;21.32089
28800;21.39232
29100;21.31392
29400;21.40518
29700;21.48936
30000;21.36686
30300;21.49157
30600;21.48256
30900;21.52277
31200;21.52575
31500;21.59241
31800;21.72304
32100;21.59802
32400;21.63318
32700;21.65713
33000;21.83930
33300;21.76063
33600;21.81339
33900;21.82554
34200;21.82954
34500;21.89615
34800;22.06201
35100;22.03991
35400;21.95889
35700;22.06515
36000;22.02240
36300;22.00634
36600;22.17728
36900;22.21538
37200;22.24068
37500;22.19580
37800;22.24176
38100;22.31828
38400;22.33092
38700;22.32207
39000;22.29104
39300;22.40776
39600;22.48589
39900;22.40173
40200;22.52300
40500;22.53686
40800;22.58676
41100;22.62156
41400;22.57167
41700;22.55369
42000;22.63570
42300;22.73436
42600;22.69000
42900;22.70926
43200;22.67940
43500;22.88423
43800;22.86365
44100;22.88622
44400;22.92108
44700;22.92607
45000;22.90914
45300;22.93685
45600;22.94689
45900;23.12278
46200;23.04114
46500;23.01197
46800;23.07976
47100;23.02676
47400;23.17284
47700;23.08435
48000;23.16171
48300;23.20867
48600;23.19277
48900;23.19586
49200;23.20872
49500;23.22182
49800;23.21169
50100;23.23334
50400;23.34448
50700;23.27917
51000;23.25878
51300;23.28511
51600;23.37818
51900;23.36855
52200;23.37375
52500;23.34319
52800;23.39442
53100;23.34261
53400;23.37018
53700;23.43937
54000;23.44166
54300;23.35524
54600;23.36729
54900;23.42055
55200;23.50580
55500;23.32742
55800;23.44015
56100;23.35978
56400;23.39853
56700;23.41302
57000;23.41052
57300;23.40448
57600;23.43047
57900;23.40162
58200;23.35284
58500;23.46186
58800;23.45674
59100;23.45681
59400;23.33249
59700;23.41868
60000;23.43108
60300;23.33859
60600;23.38283
60900;23.36811
61200;23.45693
61500;23.45130
61800;23.26147
62100;23.45835
62400;23.27622
62700;23.35872
63000;23.34529
63300;23.23345
63600;23.29375
63900;23.24896
64200;23.26670
64500;23.23458
64800;23.26634
65100;23.19320
65400;23.16338
65700;23.20835
66000;23.16380
66300;23.15207
66600;23.06241
66900;23.02301
67200;23.02602
67500;23.00199
67800;23.05048
68100;23.03762
68400;22.95825
68700;23.01427
69000;22.98742
69300;22.90701
69600;22.82915
69900;22.92401
70200;22.81679
70500;22.80035
70800;22.75089
71100;22.69684
71400;22.64101
71700;22.71885
72000;22.62048
72300;22.78475
72600;22.54930
72900;22.51227
73200;22.57191
73500;22.59388
73800;22.49140
74100;22.48731
74400;22.33683
74700;22.36523
75000;22.31534
75300;22.24401
75600;22.31419
75900;22.16563
76200;22.18096
76500;22.18939
76800;22.14376
77100;22.17414
77400;22.13851
77700;22.13678
78000;22.09852
78300;22.08673
78600;21.99837
78900;21.98241
79200;21.96160
79500;21.91192
79800;21.85384
80100;21.82600
80400;21.77074
80700;21.80179
81000;21.74520
81300;21.68605
81600;21.65554
81900;21.59773
82200;21.67694
82500;21.60187
82800;21.52492
83100;21.57882
83400;21.48091
83700;21.40939
84000;21.50181
84300;21.39519
84600;21.37316
84900;21.36752
85200;21.39475
85500;21.31110
85800;21.22294
86100;21.28323
