time_s;temperature
0;21.19956
300;21.22621
600;21.14243
900;21.15934
1200;21.11165
1500;21.03185
1800;21.13990
2100;21.06314
2400;21.02503
2700;21.01178
3000;20.87040
3300;20.91189
3600;20.83720
3900;20.89733
4200;20.88545
4500;20.85482
4800;20.88582
5100;20.73173
5400;20.74691
5700;20.78844
6000;20.76235
6300;20.66541
6600;20.77365
6900;20.77423
7200;20.70221
7500;20.58997
7800;20.65854
8100;20.65335
8400;20.60916
8700;20.67719
9000;20.59177
9300;20.69120
9600;20.61421
9900;20.57861
10200;20.60127
10500;20.62292
10800;20.58315
11100;20.52692
11400;20.49093
11700;20.46174
12000;20.39043
12300;20.51651
12600;20.48446
12900;20.48389
13200;20.54950
13500;20.49064
13800;20.58989
14100;20.46610
14400;20.44653
14700;20.43324
15000;20.53403
15300;20.55794
15600;20.47384
15900;20.45426
16200;20.58859
16500;20.44487
16800;20.57393
17100;20.50160
17400;20.55743
17700;20.59955
18000;20.57833
18300;20.54926
18600;20.64402
18900;20.59954
19200;20.78075
19500;20.52358
19800;20.53571
20100;20.68494
20400;20.64782
20700;20.70386
21000;20.62476
21300;20.69847
21600;20.73534
21900;20.70260
22200;20.75930
22500;20.69815
22800;20.80507
23100;20.87729
23400;20.76339
23700;20.78118
24000;20.92693
24300;20.82355
24600;20.95379
24900;20.93748
25200;20.93727
25500;21.05544
25800;21.05295
26100;21.04543
26400;20.94918
26700;21.11824
27000;21.05534
27300;21.12449
27600;21.16301
27900;21.28500
28200;21.20534
28500;21.17511
28800;21.34833
29100;21.34009
29400;21.37123
29700;21.43710
30000;21.47874
30300;21.37818
30600;21.38368
30900;21.52608
31200;21.50180
31500;21.53753
31800;21.52145
32100;21.63835
32400;21.66107
32700;21.66516
33000;21.63565
33300;21.79779
33600;21.78252
33900;21.85813
34200;21.72968
34500;21.87035
34800;21.86441
35100;21.93485
35400;22.01302
35700;22.01720
36000;22.03244
36300;22.06500
36600;22.01916
36900;22.08457
37200;22.21864
37500;22.16991
37800;22.28472
38100;22.30142
38400;22.33634
38700;22.34117
39000;22.33471
39300;22.38077
39600;22.45198
39900;22.34512
40200;22.54480
40500;22.48860
40800;22.54003
41100;22.57095
41400;22.60305
41700;22.56928
42000;22.67217
42300;22.72361
42600;22.62064
42900;22.68646
43200;22.82456
43500;22.84316
43800;22.85013
44100;22.82820
44400;22.92480
44700;22.85516
45000;22.93429
45300;22.90123
45600;22.98340
45900;22.96445
46200;23.07775
46500;23.08511
46800;23.05791
47100;23.16342
47400;23.08303
47700;23.15049
48000;23.14237
48300;23.23052
48600;23.24530
48900;23.29738
49200;23.25500
49500;23.12084
49800;23.26464
50100;23.38120
50400;23.30282
50700;23.23870
51000;23.37191
51300;23.38987
51600;23.34089
51900;23.37783
52200;23.36007
52500;23.44016
52800;23.42778
53100;23.37690
53400;23.44427
53700;23.41697
54000;23.53486
54300;23.51397
54600;23.46996
54900;23.48621
55200;23.53822
55500;23.48352
55800;23.53408
56100;23.57328
56400;23.47740
56700;23.58607
57000;23.57262
57300;23.51768
57600;23.48272
57900;23.51568
58200;23.48989
58500;23.46000
58800;23.52306
59100;23.44137
59400;23.47100
59700;23.46634
60000;23.40832
60300;23.50277
60600;23.45100
60900;23.51924
61200;23.43325
61500;23.41564
61800;23.38055
62100;23.41687
62400;23.40561
62700;23.42826
63000;23.38165
63300;23.46947
63600;23.37340
63900;23.28643
64200;23.26674
64500;23.33097
64800;23.23661
65100;23.29996
65400;23.29707
65700;23.27976
66000;23.17121
66300;23.24106
66600;23.19086
66900;23.12353
67200;23.12459
67500;23.13423
67800;23.05460
68100;23.08039
68400;23.11412
68700;23.06609
69000;22.99756
69300;22.98026
69600;22.91628
69900;22.89188
70200;22.81426
70500;22.87700
70800;22.87148
71100;22.80633
71400;22.73813
71700;22.75706
72000;22.79224
72300;22.74110
72600;22.66545
72900;22.73970
73200;22.74236
73500;22.55323
73800;22.53448
74100;22.55071
74400;22.43943
74700;22.49633
75000;22.42753
75300;22.40943
75600;22.33027
75900;22.28768
76200;22.19566
76500;22.33690
76800;22.27734
77100;22.23143
77400;22.18258
77700;22.01728
78000;22.06219
78300;22.05415
78600;21.98007
78900;21.91662
79200;21.91960
79500;21.93810
79800;21.90532
80100;21.91548
80400;21.94058
80700;21.83910
81000;21.76352
81300;21.82991
81600;21.62852
81900;21.57153
82200;21.59915
82500;21.65228
82800;21.58846
83100;21.49219
83400;21.48103
83700;21.42432
84000;21.39358
84300;21.50272
84600;21.38778
84900;21.45351
85200;21.29091
85500;21.33066
85800;21.28849
86100;21.29249
