time_s;temperature
0;21.40301
300;21.15219
600;21.20252
900;21.13693
1200;21.11709
1500;21.15955
1800;21.07953
2100;21.07428
2400;20.98800
2700;20.99385
3000;21.03728
3300;20.89320
3600;20.93808
3900;20.84921
4200;20.93984
4500;20.82093
4800;20.82764
5100;20.89743
5400;20.86032
5700;20.82888
6000;20.75192
6300;20.76828
6600;20.75474
6900;20.78671
7200;20.77134
7500;20.66130
7800;30.59379
8100;20.66361
8400;20.66242
8700;20.57202
9000;20.57824
9300;20.64402
9600;20.61883
9900;20.59777
10200;20.59919
10500;20.54755
10800;20.50315
11100;20.49478
11400;20.54292
11700;20.61370
12000;20.52469
12300;20.54855
12600;20.62599
12900;20.54256
13200;20.57984
13500;20.54464
13800;20.50378
14100;20.46436
14400;20.51306
14700;20.61190
15000;20.49208
15300;20.43683
15600;20.49680
15900;20.47128
16200;20.50009
16500;20.56128
16800;20.51292
17100;20.49488
17400;20.56672
17700;20.51689
18000;20.58377
18300;30.47792
18600;20.61965
18900;20.53333
19200;20.59855
19500;20.63895
19800;20.57043
20100;20.68783
20400;20.60606
20700;20.69361
21000;20.66131
21300;20.74063
21600;20.73402
21900;20.70222
22200;20.79315
22500;20.74164
22800;20.83317
23100;20.70243
23400;20.77209
23700;20.83332
24000;20.75780
24300;20.84418
24600;20.78806
24900;20.86061
25200;20.91659
25500;21.04754
25800;21.01376
26100;21.04729
26400;20.86145
26700;21.08164
27000;21.08414
27300;21.17141
27600;21.08391
27900;21.23879
28200;21.25317
28500;21.14453
28800;21.28788
29100;21.32996
29400;21.28686
29700;21.30773
30000;21.40094
30300;21.41108
30600;21.41507
30900;21.54346
31200;21.52105
31500;21.51983
31800;21.57494
32100;21.55422
32400;21.55118
32700;21.64612
33000;21.73094
33300;21.61355
33600;21.56105
33900;21.81437
34200;21.92449
34500;21.83581
34800;21.90784
35100;21.93087
35400;22.01594
35700;21.99573
36000;21.95770
36300;21.97956
36600;22.06595
36900;22.05910
37200;22.10102
37500;22.21328
37800;22.18732
38100;22.21351
38400;22.33774
38700;22.28968
39000;22.32278
39300;22.40491
39600;22.44886
39900;22.46548
40200;22.49843
40500;22.42768
40800;22.41511
41100;22.45132
41400;22.54489
41700;22.62812
42000;22.64992
42300;22.76435
42600;22.75969
42900;22.71723
43200;22.78248
43500;22.83635
43800;22.82705
44100;22.87463
44400;22.77267
44700;22.84813
45000;22.86055
45300;23.01257
45600;22.95880
45900;22.99796
46200;22.94350
46500;22.98956
46800;23.08944
47100;22.99194
47400;23.14975
47700;23.11514
48000;23.18714
48300;23.27750
48600;23.19865
48900;23.15722
49200;23.18238
49500;23.25743
49800;23.23870
50100;23.30616
50400;23.29486
50700;23.34862
51000;23.32082
51300;23.33348
51600;23.34553
51900;23.43782
52200;23.36108
52500;23.40225
52800;23.37428
53100;23.43886
53400;23.49481
53700;23.38320
54000;23.44259
54300;23.46225
54600;23.43287
54900;23.47497
55200;23.44135
55500;23.51137
55800;23.54917
56100;23.43977
56400;23.54852
56700;23.49792
57000;23.45086
57300;23.43406
57600;23.43065
57900;23.49253
58200;23.41199
58500;23.52621
58800;23.46456
59100;23.49836
59400;23.48821
59700;23.59802
60000;23.41817
60300;23.50259
60600;23.52501
60900;23.44527
61200;23.45111
61500;23.43392
61800;23.43792
62100;23.45754
62400;23.39707
62700;23.34916
63000;23.41255
63300;23.43795
63600;23.29511
63900;23.44234
64200;23.35025
64500;23.30057
64800;23.24833
65100;23.22474
65400;23.29624
65700;23.22533
66000;23.20744
66300;23.19393
66600;23.18055
66900;23.12730
67200;23.14530
67500;23.15572
67800;23.08671
68100;22.97899
68400;23.01262
68700;23.04861
69000;23.02532
69300;22.92714
69600;23.06254
69900;22.84913
70200;22.95749
70500;22.88571
70800;22.85353
71100;22.75153
71400;22.76998
71700;22.77054
72000;22.75383
72300;22.73689
72600;22.69630
72900;22.59787
73200;22.54946
73500;22.67916
73800;22.53650
74100;22.50278
74400;22.50064
74700;22.49970
75000;22.54452
75300;22.33482
75600;22.41954
75900;22.29424
76200;22.29879
76500;22.27998
76800;22.28496
77100;22.23159
77400;22.25204
77700;22.10807
78000;22.16113
78300;32.06283
78600;21.94685
78900;22.03837
79200;22.00953
79500;21.99334
79800;22.00492
80100;22.01045
80400;21.85776
80700;21.87264
81000;21.82565
81300;21.82229
81600;21.68763
81900;21.74598
82200;21.68441
82500;21.57805
82800;21.58814
83100;21.50906
83400;21.47607
83700;21.49850
84000;21.48801
84300;21.50193
84600;21.43869
84900;21.42005
85200;21.38043
85500;21.36424
85800;21.30986
86100;21.26782
