time_s;temperature
0;36.19304
300;36.16531
600;36.17673
900;36.19145
1200;36.03528
1500;36.24300
1800;36.10421
2100;36.03630
2400;36.05532
2700;36.04714
3000;35.98088
3300;35.87340
3600;35.87185
3900;35.96859
4200;35.94206
4500;35.85154
4800;35.80900
5100;35.78515
5400;35.85701
5700;35.86824
6000;35.77331
6300;35.73076
6600;35.73933
6900;35.74990
7200;35.68860
7500;35.61122
7800;35.66060
8100;35.62353
8400;35.63577
8700;35.57641
9000;35.56894
9300;35.58244
9600;35.59775
9900;35.64073
10200;35.48702
10500;35.51424
10800;35.61365
11100;35.50432
11400;35.56203
11700;35.49045
12000;35.52727
12300;35.44197
12600;35.49918
12900;35.51617
13200;35.51453
13500;35.58062
13800;35.52280
14100;35.49858
14400;35.52273
14700;35.53586
15000;35.54761
15300;35.50135
15600;35.51333
15900;35.46000
16200;35.44270
16500;35.62195
16800;35.42394
17100;35.50316
17400;35.55029
17700;35.61331
18000;35.58801
18300;35.55685
18600;35.47405
18900;35.49767
19200;35.66950
19500;35.56841
19800;35.56491
20100;35.59982
20400;35.61648
20700;35.73480
21000;35.60314
21300;35.65433
21600;35.73493
21900;35.69289
22200;35.77410
22500;35.74420
22800;35.80925
23100;35.75299
23400;35.80508
23700;35.76255
24000;35.89178
24300;35.85547
24600;35.96226
24900;35.80538
25200;35.90634
25500;35.99771
25800;35.94590
26100;35.92473
26400;36.10848
26700;36.12832
27000;36.11965
27300;36.19256
27600;36.09955
27900;36.09721
28200;36.08629
28500;36.29290
28800;36.36112
29100;36.35351
29400;36.31054
29700;36.20822
30000;36.41457
30300;36.28735
30600;36.49553
30900;36.45397
31200;36.43450
31500;36.47418
31800;36.59697
32100;36.60649
32400;36.64345
32700;36.69130
33000;36.64254
33300;36.56692
33600;36.69928
33900;36.83703
34200;36.92852
34500;36.83028
34800;36.88758
35100;36.90863
35400;36.86952
35700;36.98292
36000;36.96934
36300;37.03607
36600;37.04765
36900;37.10270
37200;37.13502
37500;37.25340
37800;37.18801
38100;37.23142
38400;37.18604
38700;37.27143
39000;37.35922
39300;37.37913
39600;37.36757
39900;37.34391
40200;37.50836
40500;37.57267
40800;37.51310
41100;37.43736
41400;37.56197
41700;37.60172
42000;37.65102
42300;37.70868
42600;37.70021
42900;37.60988
43200;37.75990
43500;37.82550
43800;37.73515
44100;37.84495
44400;37.97885
44700;37.97909
45000;37.86577
45300;38.01549
45600;37.97027
45900;37.96089
46200;37.96870
46500;37.99531
46800;38.03824
47100;38.10641
47400;38.11362
47700;38.05416
48000;38.15841
48300;38.08062
48600;38.17281
48900;38.18265
49200;38.20072
49500;38.23113
49800;38.23459
50100;38.33257
50400;38.29170
50700;38.35431
51000;38.21551
51300;38.31872
51600;38.45425
51900;38.33187
52200;38.38486
52500;38.38311
52800;38.46866
53100;38.44821
53400;38.38729
53700;38.47389
54000;38.47154
54300;38.41655
54600;38.36399
54900;38.40722
55200;38.36669
55500;38.46957
55800;38.44413
56100;38.48623
56400;38.46152
56700;38.52121
57000;38.57590
57300;38.58899
57600;38.47159
57900;38.43958
58200;38.64064
58500;38.51288
58800;38.43388
59100;38.52957
59400;38.44145
59700;38.52144
60000;38.41255
60300;38.45933
60600;38.42139
60900;38.48261
61200;38.50718
61500;38.36661
61800;38.31524
62100;38.40748
62400;38.42124
62700;38.48273
63000;38.28807
63300;38.31166
63600;38.31627
63900;38.40018
64200;38.30722
64500;38.26500
64800;38.23130
65100;38.31206
65400;38.29839
65700;38.18927
66000;38.25088
66300;38.27777
66600;38.21099
66900;38.12489
67200;38.13092
67500;38.11307
67800;37.99997
68100;38.12076
68400;38.01592
68700;38.02357
69000;38.01104
69300;37.96477
69600;38.00661
69900;37.91547
70200;37.90818
70500;37.93096
70800;37.86689
71100;37.82974
71400;37.82869
71700;37.78238
72000;37.74026
72300;37.75804
72600;37.70492
72900;37.64240
73200;37.66897
73500;37.58745
73800;37.55203
74100;37.52506
74400;37.51646
74700;37.48384
75000;37.39617
75300;37.39846
75600;37.48235
75900;37.39032
76200;37.37207
76500;37.22825
76800;37.29561
77100;37.18438
77400;37.22389
77700;37.15818
78000;37.09242
78300;37.17796
78600;37.08938
78900;37.08486
79200;36.94968
79500;36.95008
79800;36.96955
80100;36.99500
80400;36.93226
80700;36.84107
81000;36.79085
81300;36.80902
81600;36.71375
81900;36.72292
82200;36.67723
82500;36.62527
82800;36.63625
83100;36.61053
83400;36.58675
83700;36.53633
84000;36.54044
84300;36.54202
84600;36.42649
84900;36.41367
85200;36.39504
85500;36.29071
85800;36.25903
86100;36.37043
