time_s;temperature
0;22.82458
300;22.75645
600;22.90727
900;22.81591
1200;22.87703
1500;22.86295
1800;22.89347
2100;22.79671
2400;22.99108
2700;23.02162
3000;23.09703
3300;22.97058
3600;23.11152
3900;23.10056
4200;23.10751
4500;23.07455
4800;23.17042
5100;23.19098
5400;23.13275
5700;23.19516
6000;23.26428
6300;23.36548
6600;23.29522
6900;23.30041
7200;23.30046
7500;23.40957
7800;23.36038
8100;23.31888
8400;23.30727
8700;23.32804
9000;23.37009
9300;23.38542
9600;23.43679
9900;23.48417
10200;23.38152
10500;23.48599
10800;23.40877
11100;23.54004
11400;23.37848
11700;23.47859
12000;23.55671
12300;23.51267
12600;23.49647
12900;23.45916
13200;23.57730
13500;23.47105
13800;23.41979
14100;23.53813
14400;23.52470
14700;23.54449
15000;23.49932
15300;23.53934
15600;23.52563
15900;23.47300
16200;23.52528
16500;23.55843
16800;23.44035
17100;23.48926
17400;23.39889
17700;23.46848
18000;23.54190
18300;23.43749
18600;23.40284
18900;23.43405
19200;23.45189
19500;23.41450
19800;23.43681
20100;23.34951
20400;23.27660
20700;23.36297
21000;23.32028
21300;23.33570
21600;23.32464
21900;23.37720
22200;23.24726
22500;23.23274
22800;23.19974
23100;23.14233
23400;23.17266
23700;23.14411
24000;23.22875
24300;23.13661
24600;23.16424
24900;23.16190
25200;23.15562
25500;23.07397
25800;23.00159
26100;22.92381
26400;22.95025
26700;22.91265
27000;22.89719
27300;22.82982
27600;22.94805
27900;22.80094
28200;22.92442
28500;22.70003
28800;22.78160
29100;22.65659
29400;22.73936
29700;22.76694
30000;22.67027
30300;22.63635
30600;22.52267
30900;22.58440
31200;22.51498
31500;22.48877
31800;22.37554
32100;22.51636
32400;22.40912
32700;22.41531
33000;22.34412
33300;22.25455
33600;22.24943
33900;22.22564
34200;22.17143
34500;22.20286
34800;22.08153
35100;22.07019
35400;22.04188
35700;21.95205
36000;21.98031
36300;21.97268
36600;21.93858
36900;21.92043
37200;21.88931
37500;21.82477
37800;21.85587
38100;21.71668
38400;21.72250
38700;21.77858
39000;21.69147
39300;21.74698
39600;21.62789
39900;21.51961
40200;21.53129
40500;21.41094
40800;21.51744
41100;21.48024
41400;21.44239
41700;21.37573
42000;21.40310
42300;21.36383
42600;21.33664
42900;21.37892
43200;21.14283
43500;21.18299
43800;21.16445
44100;21.14271
44400;21.13049
44700;21.04033
45000;21.10142
45300;21.14621
45600;20.94441
45900;20.98315
46200;20.96241
46500;20.93522
46800;20.91296
47100;21.04343
47400;20.93366
47700;20.89144
48000;20.81878
48300;20.87609
48600;20.82028
48900;20.82276
49200;20.74714
49500;20.79629
49800;20.77327
50100;20.77560
50400;20.63515
50700;20.73970
51000;20.67043
51300;20.60658
51600;20.58061
51900;20.78695
52200;20.63210
52500;20.64066
52800;20.52377
53100;20.59637
53400;20.53372
53700;20.70155
54000;20.55908
54300;20.56742
54600;20.47992
54900;20.49473
55200;20.45811
55500;20.54844
55800;20.48659
56100;20.50084
56400;20.51071
56700;20.45454
57000;20.41610
57300;20.48539
57600;20.43716
57900;20.44341
58200;20.52428
58500;20.47869
58800;20.45948
59100;20.51670
59400;20.53788
59700;20.51968
60000;20.50196
60300;20.48809
60600;20.58553
60900;20.60514
61200;20.55790
61500;20.56920
61800;20.58110
62100;20.48836
62400;20.59894
62700;20.62212
63000;20.59930
63300;20.65355
63600;20.61910
63900;20.58094
64200;20.74029
64500;20.71655
64800;20.73474
65100;20.71334
65400;20.83694
65700;20.83400
66000;20.74557
66300;20.78792
66600;20.83657
66900;20.84231
67200;20.85591
67500;20.87496
67800;20.96524
68100;20.86128
68400;20.87239
68700;20.94462
69000;20.96908
69300;21.01335
69600;21.09172
69900;21.17914
70200;21.03496
70500;21.18359
70800;21.06734
71100;21.11353
71400;21.20445
71700;21.26335
72000;21.26815
72300;21.23445
72600;21.33451
72900;21.32498
73200;21.40927
73500;21.49829
73800;21.46434
74100;21.46937
74400;21.39616
74700;21.59767
75000;21.47646
75300;21.57489
75600;21.61856
75900;21.63239
76200;21.67427
76500;21.75952
76800;21.64538
77100;21.79796
77400;21.81573
77700;21.89310
78000;21.94553
78300;21.88240
78600;21.92748
78900;22.01639
79200;22.06323
79500;22.04882
79800;22.05701
80100;22.13048
80400;22.13888
80700;22.08047
81000;22.19558
81300;22.19807
81600;22.28799
81900;22.20217
82200;22.28948
82500;22.35241
82800;22.42287
83100;22.45309
83400;22.42203
83700;22.38983
84000;22.57838
84300;22.48509
84600;22.56244
84900;22.69487
85200;22.71824
85500;22.70082
85800;22.71372
86100;22.72433
